domain,base_model_id,classification,justification,overfit_class,leakage_risk,seed_std_balanced_accuracy,split_std_balanced_accuracy,noise_degradation_balanced_accuracy,realism_degradation_balanced_accuracy,base_precision_test,base_balanced_accuracy_test,base_recall_test,retrained_delta_balanced_accuracy_test
adhd,domain_adhd_research_full,possible_leakage_model,high leakage risk detected,likely_generalizing,high,0.0,0.0018856180831641283,0.0,0.04800000000000004,1.0,1.0,1.0,0.0
anxiety,domain_anxiety_strict_full,accepted_but_experimental,baseline accepted with caveats,likely_generalizing,medium,0.0,0.0052607744080807,-0.002272727272727315,0.020454545454545392,0.9701492537313433,0.9878787878787879,0.9848484848484849,0.002272727272727315
conduct,domain_conduct_research_full,accepted_but_experimental,baseline accepted with caveats,likely_generalizing,medium,0.006373774391990993,0.0062426316260251,0.03507281553398067,0.038895631067961234,0.9753086419753086,0.9888956310679612,0.9875,-0.06632281553398067
depression,domain_depression_strict_full,accepted_but_experimental,baseline accepted with caveats,likely_generalizing,medium,0.002129991080681012,0.013352411615611846,0.0,0.004347826086956608,0.9739130434782609,0.9781845919145691,0.9739130434782609,-0.028934655479277982
elimination,domain_elimination_strict_full,high_risk_of_overfit,overfit pattern in train/val/test gap or suspiciously perfect metrics,suspicious_perfect_score,low,0.0,0.0,0.04710559006211179,0.07200000000000006,1.0,1.0,1.0,0.0
