domain,base_model_id,retrained_model_id,params_json,threshold_recommended,base_precision_test,retrained_precision_test,base_balanced_accuracy_test,retrained_balanced_accuracy_test,base_recall_test,retrained_recall_test,delta_precision_test,delta_balanced_accuracy_test,delta_recall_test
adhd,domain_adhd_research_full,retrained_adhd_anti_overfit_v1,"{""n_estimators"": 180, ""max_depth"": 6, ""min_samples_split"": 20, ""min_samples_leaf"": 8, ""max_features"": 0.5, ""class_weight"": ""balanced_subsample""}",0.05,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
anxiety,domain_anxiety_strict_full,retrained_anxiety_anti_overfit_v1,"{""n_estimators"": 180, ""max_depth"": 6, ""min_samples_split"": 20, ""min_samples_leaf"": 8, ""max_features"": 0.5, ""class_weight"": ""balanced_subsample""}",0.75,0.9701492537313433,0.9848484848484849,0.9878787878787879,0.9901515151515152,0.9848484848484849,0.9848484848484849,0.014699231117141554,0.002272727272727315,0.0
conduct,domain_conduct_research_full,retrained_conduct_anti_overfit_v1,"{""n_estimators"": 180, ""max_depth"": 6, ""min_samples_split"": 20, ""min_samples_leaf"": 8, ""max_features"": 0.5, ""class_weight"": ""balanced_subsample""}",0.85,0.9753086419753086,0.9855072463768116,0.9888956310679612,0.9225728155339805,0.9875,0.85,0.010198604401502998,-0.06632281553398067,-0.13750000000000007
depression,domain_depression_strict_full,retrained_depression_anti_overfit_v1,"{""n_estimators"": 180, ""max_depth"": 6, ""min_samples_split"": 20, ""min_samples_leaf"": 8, ""max_features"": 0.5, ""class_weight"": ""balanced_subsample""}",0.7999999999999999,0.9739130434782609,0.9904761904761905,0.9781845919145691,0.9492499364352911,0.9739130434782609,0.9043478260869565,0.0165631469979296,-0.028934655479277982,-0.06956521739130439
elimination,domain_elimination_strict_full,retrained_elimination_anti_overfit_v1,"{""n_estimators"": 180, ""max_depth"": 6, ""min_samples_split"": 20, ""min_samples_leaf"": 8, ""max_features"": 0.5, ""class_weight"": ""balanced_subsample""}",0.05,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
