domain,source,metric,mean,std,min,max,cv
adhd,seed,val_precision,1.0,0.0,1.0,1.0,0.0
adhd,seed,val_balanced_accuracy,0.9906832298136645,0.0,0.9906832298136645,0.9906832298136645,0.0
adhd,seed,test_precision,1.0,0.0,1.0,1.0,0.0
adhd,seed,test_balanced_accuracy,1.0,0.0,1.0,1.0,0.0
anxiety,seed,val_precision,1.0,0.0,1.0,1.0,0.0
anxiety,seed,val_balanced_accuracy,1.0,0.0,1.0,1.0,0.0
anxiety,seed,test_precision,0.9701492537313433,0.0,0.9701492537313433,0.9701492537313433,0.0
anxiety,seed,test_balanced_accuracy,0.9878787878787879,0.0,0.9878787878787879,0.9878787878787879,0.0
conduct,seed,val_precision,1.0,0.0,1.0,1.0,0.0
conduct,seed,val_balanced_accuracy,0.9887500000000001,0.004677071733467445,0.98125,0.99375,0.004730287467476556
conduct,seed,test_precision,0.9744854934095439,0.00033079098915413585,0.974025974025974,0.975,0.0003394519378598029
conduct,seed,test_balanced_accuracy,0.9726456310679611,0.006373774391990993,0.9638956310679612,0.9826456310679612,0.006553028347017416
depression,seed,val_precision,0.9827586206896551,0.0,0.9827586206896551,0.9827586206896551,0.0
depression,seed,val_balanced_accuracy,0.9941860465116278,1.1102230246251565e-16,0.9941860465116279,0.9941860465116279,1.1167155569329062e-16
depression,seed,test_precision,0.9740029985007496,0.00011017195244900099,0.9739130434782609,0.9741379310344828,0.00011311253930284098
depression,seed,test_balanced_accuracy,0.9799237223493517,0.002129991080681012,0.9781845919145691,0.9825324180015256,0.0021736294694186934
elimination,seed,val_precision,1.0,0.0,1.0,1.0,0.0
elimination,seed,val_balanced_accuracy,1.0,0.0,1.0,1.0,0.0
elimination,seed,test_precision,1.0,0.0,1.0,1.0,0.0
elimination,seed,test_balanced_accuracy,1.0,0.0,1.0,1.0,0.0
adhd,split,val_precision,1.0,0.0,1.0,1.0,0.0
adhd,split,val_balanced_accuracy,0.9958592132505176,0.003873351332064159,0.9906832298136645,1.0,0.0038894567430082924
adhd,split,test_precision,0.9979423868312757,0.002909904449327369,0.9938271604938271,1.0,0.002915904252315673
adhd,split,test_balanced_accuracy,0.9986666666666667,0.0018856180831641283,0.996,1.0,0.0018881355972938533
anxiety,split,val_precision,1.0,0.0,1.0,1.0,0.0
anxiety,split,val_balanced_accuracy,0.9924242424242425,0.010713739108887075,0.9772727272727273,1.0,0.010795523376893846
anxiety,split,test_precision,0.9849992461932761,0.012186982397521348,0.9701492537313433,1.0,0.012372580430513369
anxiety,split,test_balanced_accuracy,0.9926767676767677,0.0052607744080807,0.9878787878787879,1.0,0.00529958449656565
conduct,split,val_precision,0.9754969244064866,0.019683021221184937,0.9518072289156626,1.0,0.020177430321638903
conduct,split,val_balanced_accuracy,0.9805622977346279,0.003158968123843818,0.9763956310679611,0.9840412621359224,0.003221588399984289
conduct,split,test_precision,0.9751928288513655,0.019923277551753805,0.9512195121951219,1.0,0.020430090298367464
conduct,split,test_balanced_accuracy,0.9701456310679611,0.0062426316260251,0.9625,0.9777912621359224,0.006434736627276311
depression,split,val_precision,0.9822940120468348,0.0074281893394311455,0.972972972972973,0.9911504424778761,0.007562083498761038
depression,split,val_balanced_accuracy,0.9824901400788794,0.012622533530799595,0.9649632802937576,0.9941860465116279,0.012847491303868142
depression,split,test_precision,0.9709890668700737,0.017839007189073136,0.9478260869565217,0.9912280701754386,0.01837199593459495
depression,split,test_balanced_accuracy,0.9743113823205357,0.013352411615611846,0.956369183829138,0.9883803712178998,0.013704460255621932
elimination,split,val_precision,1.0,0.0,1.0,1.0,0.0
elimination,split,val_balanced_accuracy,1.0,0.0,1.0,1.0,0.0
elimination,split,test_precision,1.0,0.0,1.0,1.0,0.0
elimination,split,test_balanced_accuracy,1.0,0.0,1.0,1.0,0.0
