domain,model_id,scope,target,split_source,threshold,train_balanced_accuracy,val_balanced_accuracy,test_balanced_accuracy,train_precision,val_precision,test_precision,train_recall,val_recall,test_recall,train_val_gap_balanced_accuracy,val_test_gap_balanced_accuracy,prob_overconfidence_share_test,suspicious_near_perfect_flag,overfit_class
adhd,domain_adhd_research_full,research_extended_hybrid,target_domain_adhd,reused,0.05,1.0,0.9906832298136645,1.0,1.0,1.0,1.0,1.0,0.9813664596273292,1.0,0.009316770186335477,0.009316770186335477,0.5629370629370629,False,likely_generalizing
anxiety,domain_anxiety_strict_full,strict_no_leakage_hybrid,target_domain_anxiety,reused,0.05,0.99951171875,1.0,0.9878787878787879,0.9967741935483871,1.0,0.9701492537313433,1.0,1.0,0.9848484848484849,0.00048828125,0.012121212121212088,0.23426573426573427,False,likely_generalizing
conduct,domain_conduct_research_full,research_extended_hybrid,target_domain_conduct,reused,0.7,0.9824797843665769,0.9850728155339805,0.9888956310679612,1.0,0.9873417721518988,0.9753086419753086,0.9649595687331537,0.975,0.9875,0.0025930311674036144,0.0038228155339806724,0.28321678321678323,False,likely_generalizing
depression,domain_depression_strict_full,strict_no_leakage_hybrid,target_domain_depression,reused,0.75,0.997191011235955,0.9941860465116279,0.9781845919145691,1.0,0.9827586206896551,0.9739130434782609,0.9943820224719101,1.0,0.9739130434782609,0.003004964724327097,0.016001454597058817,0.3951048951048951,False,likely_generalizing
elimination,domain_elimination_strict_full,strict_no_leakage_hybrid,target_domain_elimination,reused,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5629370629370629,True,suspicious_perfect_score
