domain,model_id,feature,correlation_with_target,risk_level,risk_reason
adhd,domain_adhd_research_full,q_qi_0178,0.39239513900563383,low,questionnaire_item_requires_monitoring
adhd,domain_adhd_research_full,q_qi_0180,0.41409361129533684,low,questionnaire_item_requires_monitoring
adhd,domain_adhd_research_full,q_qi_0182,0.41409361129533684,low,questionnaire_item_requires_monitoring
adhd,domain_adhd_research_full,q_items_answered,-0.0004993839582397669,none,no_strong_signal
adhd,domain_adhd_research_full,q_completion_ratio,-0.0004993839582396942,none,no_strong_signal
adhd,domain_adhd_research_full,has_any_target_disorder,0.7366254454054163,none,no_strong_signal
adhd,domain_adhd_research_full,n_diagnoses,0.7013320346253185,none,no_strong_signal
adhd,domain_adhd_research_full,q_qi_0148,0.2747266188959436,low,questionnaire_item_requires_monitoring
adhd,domain_adhd_research_full,q_qi_0147,0.2747266188959436,low,questionnaire_item_requires_monitoring
adhd,domain_adhd_research_full,q_qi_0128,0.7013320346253185,low,questionnaire_item_requires_monitoring
adhd,domain_adhd_research_full,diag_clinician_n_diagnoses,0.7013320346253185,none,no_strong_signal
adhd,domain_adhd_research_full,comorbidity_count_5targets,0.7200329417713218,none,no_strong_signal
adhd,domain_adhd_research_full,domain_any_positive,0.7125968937345455,none,no_strong_signal
adhd,domain_adhd_research_full,q_qi_0012,-0.006683186093068326,low,questionnaire_item_requires_monitoring
adhd,domain_adhd_research_full,q_qi_0019,0.39239513900563383,low,questionnaire_item_requires_monitoring
adhd,domain_adhd_research_full,q_qi_0082,0.4388522402997185,low,questionnaire_item_requires_monitoring
adhd,domain_adhd_research_full,q_qi_0104,0.26987653798593514,low,questionnaire_item_requires_monitoring
adhd,domain_adhd_research_full,diag_domain_conduct_broad,0.35443245309434096,none,no_strong_signal
adhd,domain_adhd_research_full,internal_exact_comorbidity_count,0.6381601117851887,none,no_strong_signal
adhd,domain_adhd_research_full,diag_domain_depression_source_count,0.19845509253702023,none,no_strong_signal
adhd,domain_adhd_research_full,diag_domain_adhd_source_count,0.9728786444078376,high,extreme_target_correlation
