domain,mode,active_model_id,promotion_decision,model_family,feature_set_id,config_id,calibration,threshold_policy,threshold,old_precision,precision,old_recall,recall,old_balanced_accuracy,balanced_accuracy,old_f1,f1,old_roc_auc,roc_auc,old_pr_auc,pr_auc,old_brier,brier,delta_precision,delta_recall,delta_balanced_accuracy,delta_f1,delta_pr_auc,delta_brier,old_secondary_anomaly,new_secondary_anomaly,generalization_ok,material_gain_ok,anomaly_resolution_ok,class_upgrade_candidate,anomaly_guard_ok,root_cause_hypothesis
adhd,psychologist_full,adhd__psychologist_full__rebuild_v2__rf__engineered_full,HOLD_FOR_LIMITATION,extra_trees,engineered_full,extra_regularized_v2,none,balanced,0.32499999999999996,0.9294117647058824,0.8598130841121495,0.8404255319148937,0.9787234042553191,0.9124407452320582,0.969931650314188,0.88268156424581,0.9154228855721394,0.9892652408775218,0.9957005842795723,0.9271313857162288,0.982759062045502,0.0302329344052168,0.021775943883739757,-0.06959868059373286,0.13829787234042545,0.05749090508212984,0.03274132132632934,0.055627676329273235,-0.008456990521477043,yes,yes,yes,yes,no,no,no,secondary_metric_anomaly
anxiety,caregiver_2_3,anxiety__caregiver_2_3__final_honest_improvement_v1__rf__engineered_pruned,HOLD_FOR_LIMITATION,logreg,engineered_pruned_no_eng_v1,logreg_regularized_v2,none,balanced,0.8649999999999999,0.8681318681318682,0.9,0.9186046511627908,0.8372093023255814,0.9440738991854564,0.9084523668988314,0.8926553672316384,0.8674698795180723,0.9919135875339392,0.9765080864124661,0.9572096459522188,0.9296147704456827,0.0268054004251118,0.056781334454788696,0.031868131868131866,-0.08139534883720934,-0.03562153228662501,-0.0251854877135661,-0.027594875506536054,0.029975934029676896,yes,no,yes,no,no,no,yes,secondary_metric_anomaly
anxiety,caregiver_full,anxiety__caregiver_full__final_honest_improvement_v1__rf__engineered_compact,HOLD_FOR_LIMITATION,logreg,full_eligible,logreg_regularized_v2,none,balanced,0.73,0.8695652173913043,0.8390804597701149,0.9302325581395348,0.8488372093023255,0.9498878526738284,0.9066521071892338,0.898876404494382,0.8439306358381503,0.9929465234328888,0.9746488017943572,0.9704386771709956,0.9164530208073066,0.0260018685275156,0.05338598797413931,-0.030484757621189407,-0.08139534883720922,-0.04323574548459452,-0.054945768656231686,-0.053985656363689016,0.027384119446623705,yes,no,yes,no,no,no,yes,secondary_metric_anomaly
anxiety,psychologist_2_3,anxiety__psychologist_2_3__final_honest_improvement_v1__rf__engineered_pruned,HOLD_FOR_LIMITATION,logreg,engineered_pruned_no_eng_v1,logreg_regularized_v2,none,balanced,0.83,0.8247422680412371,0.9012345679012346,0.9302325581395348,0.8488372093023255,0.9435426750088538,0.9142663203872035,0.8743169398907104,0.874251497005988,0.9918840750796836,0.97709833549758,0.966312961726849,0.9256387045673744,0.0276760963771888,0.05404786898716495,0.0764922998599975,-0.08139534883720922,-0.029276354621650347,-6.544288472232207e-05,-0.04067425715947459,0.026371772609976155,yes,no,yes,no,no,no,yes,secondary_metric_anomaly
anxiety,psychologist_full,anxiety__psychologist_full__final_honest_improvement_v1__rf__engineered_pruned,HOLD_FOR_LIMITATION,hgb,full_eligible,hgb_regularized_v2,none,balanced,0.295,0.8421052631578947,0.865979381443299,0.9302325581395348,0.9767441860465116,0.9460807460748436,0.9718746310943218,0.8839779005524862,0.9180327868852459,0.9919135875339392,0.9943040963286507,0.9591820433560584,0.9718411360725614,0.026434653046354,0.021605190353099504,0.02387411828540431,0.04651162790697683,0.025793885019478213,0.03405488633275977,0.012659092716503006,-0.004829462693254495,yes,yes,yes,yes,no,no,no,secondary_metric_anomaly
depression,caregiver_1_3,depression__caregiver_1_3__rebuild_v2__rf__precision_oriented_subset,HOLD_FOR_LIMITATION,rf,precision_oriented_subset,rf_regularized_v3,none,balanced,0.33499999999999996,0.8059701492537313,0.646551724137931,0.6585365853658537,0.9146341463414634,0.8129366343914696,0.9058095354822895,0.7248322147651006,0.7575757575757576,0.958282264983454,0.962679249908077,0.764765007527117,0.807214525426529,0.0600670985657974,0.06013503889630824,-0.1594184251158003,0.25609756097560976,0.09287290109081991,0.032743542810656945,0.04244951789941209,6.794033051083642e-05,no,no,no,yes,no,no,yes,limited_separability_or_underfit|recall_tradeoff
depression,caregiver_2_3,depression__caregiver_2_3__rebuild_v2__rf__full_eligible,PROMOTE_NOW,rf,precision_oriented_subset,rf_regularized_v3,none,balanced,0.43999999999999995,0.8313253012048193,0.7789473684210526,0.8414634146341463,0.9024390243902439,0.9031437676185808,0.9248376026473832,0.8363636363636363,0.8361581920903954,0.9573630346856232,0.9791334722392451,0.8434143874736915,0.9185052705693368,0.0454553863622029,0.04398048897286791,-0.05237793278376668,0.060975609756097615,0.0216938350288024,-0.00020544427324087344,0.07509088309564538,-0.0014748973893349906,no,no,yes,yes,no,no,yes,confidence_alignment_check
depression,caregiver_full,depression__caregiver_full__boosted_v3__catboost__full_eligible,HOLD_FOR_LIMITATION,rf,precision_oriented_subset,rf_regularized_v3,none,balanced,0.4799999999999999,0.8409090909090909,0.8333333333333334,0.9487179487179488,0.9146341463414634,0.9569460390355912,0.9384728520652041,0.891566265060241,0.872093023255814,0.9909108304630694,0.9843424439269519,0.9434742112852106,0.9263461083284807,0.0293666393254193,0.03984172490532812,-0.007575757575757569,-0.03408380237648534,-0.018473186970387023,-0.019473241804427,-0.01712810295672984,0.010475085579908821,yes,yes,yes,no,no,no,yes,secondary_metric_anomaly
depression,psychologist_1_3,depression__psychologist_1_3__rebuild_v2__rf__stability_pruned_subset,HOLD_FOR_LIMITATION,rf,stability_pruned_subset,rf_regularized_v3,none,balanced,0.38999999999999996,0.7974683544303798,0.7227722772277227,0.7682926829268293,0.8902439024390244,0.8640458389508519,0.9099460718225273,0.782608695652174,0.7978142076502732,0.9483852187768108,0.9623728398088001,0.7681311253035743,0.8306690857463678,0.0565304346753685,0.05976001146830903,-0.07469607720265703,0.12195121951219512,0.04590023287167544,0.015205511998099275,0.06253796044279347,0.0032295767929405306,no,no,no,yes,no,no,yes,limited_separability_or_underfit|precision_tradeoff
depression,psychologist_full,depression__psychologist_full__boosted_v3__hgb__full_eligible,HOLD_FOR_LIMITATION,hgb,full_eligible,hgb_regularized_v2,none,balanced,0.33999999999999997,0.8690476190476191,0.8539325842696629,0.935897435897436,0.926829268292683,0.9542671259089168,0.9470829758548842,0.9012345679012346,0.8888888888888888,0.9923140706722796,0.9853229562446378,0.9533076719585644,0.9303967978564984,0.0253330721238639,0.03634989604242476,-0.015115034777956171,-0.009068167604753041,-0.007184150054032612,-0.012345679012345734,-0.022910874102065937,0.011016823918560858,yes,yes,yes,no,no,no,yes,secondary_metric_anomaly
