threshold,val_precision,val_balanced_accuracy,val_recall,test_precision,test_balanced_accuracy,test_recall,test_roc_auc,test_pr_auc
0.05,0.71875,0.748,1.0,0.706140350877193,0.732,1.0,0.9996521739130435,0.9997265085410411
0.1,0.805,0.844,1.0,0.7815533980582524,0.8200000000000001,1.0,0.9996521739130435,0.9997265085410411
0.15,0.8702702702702703,0.904,1.0,0.8341968911917098,0.872,1.0,0.9996521739130435,0.9997265085410411
0.2,0.9044943820224719,0.9319999999999999,1.0,0.8846153846153846,0.9159999999999999,1.0,0.9996521739130435,0.9997265085410411
0.25,0.9470588235294117,0.964,1.0,0.9096045197740112,0.9359999999999999,1.0,0.9996521739130435,0.9997265085410411
0.3,0.9698795180722891,0.98,1.0,0.92,0.944,1.0,0.9996521739130435,0.9997265085410411
0.35,0.9757575757575757,0.984,1.0,0.930635838150289,0.952,1.0,0.9996521739130435,0.9997265085410411
0.39999999999999997,0.9757575757575757,0.984,1.0,0.9526627218934911,0.968,1.0,0.9996521739130435,0.9997265085410411
0.44999999999999996,0.9877300613496932,0.992,1.0,0.9757575757575757,0.984,1.0,0.9996521739130435,0.9997265085410411
0.49999999999999994,0.9877300613496932,0.992,1.0,0.9817073170731707,0.988,1.0,0.9996521739130435,0.9997265085410411
0.5499999999999999,1.0,1.0,1.0,0.9817073170731707,0.988,1.0,0.9996521739130435,0.9997265085410411
0.6,1.0,1.0,1.0,0.99375,0.9897888198757764,0.9875776397515528,0.9996521739130435,0.9997265085410411
0.65,1.0,0.9875776397515528,0.9751552795031055,1.0,0.9782608695652174,0.9565217391304348,0.9996521739130435,0.9997265085410411
0.7,1.0,0.9782608695652174,0.9565217391304348,1.0,0.9409937888198758,0.8819875776397516,0.9996521739130435,0.9997265085410411
0.75,1.0,0.9472049689440993,0.8944099378881988,1.0,0.9068322981366459,0.8136645962732919,0.9996521739130435,0.9997265085410411
0.7999999999999999,1.0,0.9316770186335404,0.8633540372670807,1.0,0.8788819875776397,0.7577639751552795,0.9996521739130435,0.9997265085410411
0.85,1.0,0.8757763975155279,0.7515527950310559,1.0,0.8509316770186335,0.7018633540372671,0.9996521739130435,0.9997265085410411
0.9,1.0,0.8322981366459627,0.6645962732919255,1.0,0.7826086956521738,0.5652173913043478,0.9996521739130435,0.9997265085410411
0.95,1.0,0.7981366459627329,0.5962732919254659,1.0,0.7236024844720497,0.4472049689440994,0.9996521739130435,0.9997265085410411
