issue_type,feature_name,balanced_accuracy,precision,recall
short_rule_combo,target_encopresis_exact|target_enuresis_exact,1.0,1.0,1.0
short_rule_combo,target_encopresis_exact|target_enuresis_exact|domain_comorbidity_count,1.0,1.0,1.0
short_rule_combo,target_encopresis_exact|target_enuresis_exact|domain_comorbidity_count|q_qi_0087,1.0,1.0,1.0
short_rule_combo,target_encopresis_exact|target_enuresis_exact|domain_comorbidity_count|q_qi_0087|q_qi_0088,1.0,1.0,1.0
short_rule_combo,target_encopresis_exact|target_enuresis_exact|domain_comorbidity_count|q_qi_0087|q_qi_0088|internal_exact_comorbidity_count,1.0,1.0,1.0
short_rule_combo,target_encopresis_exact|target_enuresis_exact|domain_comorbidity_count|q_qi_0087|q_qi_0088|internal_exact_comorbidity_count|internal_exact_any_positive,1.0,1.0,1.0
short_rule_combo,target_encopresis_exact|target_enuresis_exact|domain_comorbidity_count|q_qi_0087|q_qi_0088|internal_exact_comorbidity_count|internal_exact_any_positive|domain_any_positive,1.0,1.0,1.0
short_rule_combo,target_encopresis_exact|target_enuresis_exact|domain_comorbidity_count|q_qi_0087|q_qi_0088|internal_exact_comorbidity_count|internal_exact_any_positive|domain_any_positive|q_qi_0083,1.0,1.0,1.0
short_rule_combo,target_encopresis_exact|target_enuresis_exact|domain_comorbidity_count|q_qi_0087|q_qi_0088|internal_exact_comorbidity_count|internal_exact_any_positive|domain_any_positive|q_qi_0083|q_qi_0082,1.0,1.0,1.0
short_rule_combo,target_encopresis_exact|target_enuresis_exact|domain_comorbidity_count|q_qi_0087|q_qi_0088|internal_exact_comorbidity_count|internal_exact_any_positive|domain_any_positive|q_qi_0083|q_qi_0082|cbcl_112,1.0,1.0,1.0
single_feature_rule,target_encopresis_exact,0.931098696461825,1.0,0.8621973929236499
single_feature_rule,q_qi_0087,0.931098696461825,1.0,0.8621973929236499
single_feature_rule,q_qi_0088,0.931098696461825,1.0,0.8621973929236499
single_feature_rule,target_enuresis_exact,0.909683426443203,1.0,0.819366852886406
single_feature_rule,q_qi_0083,0.909683426443203,1.0,0.819366852886406
single_feature_rule,q_qi_0082,0.909683426443203,1.0,0.819366852886406
single_feature_rule,internal_exact_comorbidity_count,0.9025522860657886,0.9159663865546218,0.9134078212290503
single_feature_rule,cbcl_112,0.8836126629422718,1.0,0.7672253258845437
single_feature_rule,domain_comorbidity_count,0.8730293985169648,0.9122632103688934,0.8519553072625698
single_feature_rule,cbcl_108,0.8594040968342644,1.0,0.7188081936685289
single_feature_rule,internal_exact_any_positive,0.8243080625752106,0.7862371888726208,1.0
single_feature_rule,domain_any_positive,0.8243080625752106,0.7862371888726208,1.0
single_feature_rule,cbcl_099,0.8191702129089944,0.9240963855421687,0.7141527001862198
single_feature_rule,sdq_total_difficulties,0.8124642854741881,0.887292817679558,0.7476722532588455
single_feature_rule,sdq_hyperactivity_inattention,0.7992927683547453,0.8828213879408419,0.7225325884543762
single_feature_rule,cbcl_118,0.7885246287369999,0.8346693386773547,0.7756052141527002
single_feature_rule,q_qi_0128,0.7646085015697585,0.7518968133535661,0.9227188081936686
single_feature_rule,n_diagnoses,0.7646085015697585,0.7518968133535661,0.9227188081936686
single_feature_rule,q_qi_0022,0.758842076249252,0.744776119402985,0.9292364990689013
single_feature_rule,comorbidity_count_5targets,0.758842076249252,0.744776119402985,0.9292364990689013
