mode,domain,winner_feature_set_id,winner_config_id,winner_seed,ablation_case,impacted_features,precision,recall,balanced_accuracy,pr_auc,brier,delta_balanced_accuracy_vs_winner,delta_precision_vs_winner,delta_recall_vs_winner
psychologist_2_3,adhd,balanced_subset,rf_regularized,20260712,drop_top_1,adhd_inattention_symptom_count,0.7169811320754716,0.8085106382978723,0.865395215521993,0.6285840932117527,0.0824608654982773,-0.0773343622533349,-0.00176886792452835,-0.17021276595744683
psychologist_2_3,adhd,balanced_subset,rf_regularized,20260712,drop_top_3,adhd_inattention_symptom_count|adhd_hyperimpulsive_symptom_count|adhd_onset_before_12,0.0,0.0,0.5,0.19583333333333333,0.19583294166766665,-0.44272957777532795,-0.71875,-0.9787234042553191
psychologist_2_3,adhd,balanced_subset,rf_regularized,20260712,drop_top_5,adhd_inattention_symptom_count|adhd_hyperimpulsive_symptom_count|adhd_onset_before_12|sdq_total_difficulties|swan_hyperactive_impulsive_total,0.0,0.0,0.5,0.19583333333333333,0.19583294166766665,-0.44272957777532795,-0.71875,-0.9787234042553191
psychologist_2_3,anxiety,compact_robust_subset,rf_positive_push_strong,20260729,drop_top_1,scared_p_total,0.9473684210526315,0.8372093023255814,0.913528509030811,0.9255832045748021,0.042082041082702686,-0.04270452130799196,0.027828191167574068,-0.09302325581395343
psychologist_2_3,anxiety,compact_robust_subset,rf_positive_push_strong,20260729,drop_top_3,scared_p_total|scared_p_separation_anxiety|mfq_p_total,0.9459459459459459,0.813953488372093,0.9019006020540667,0.9289606939199099,0.04737395440998545,-0.05433242828473617,0.026405716060888484,-0.11627906976744184
psychologist_2_3,anxiety,compact_robust_subset,rf_positive_push_strong,20260729,drop_top_5,scared_p_total|scared_p_separation_anxiety|mfq_p_total|sep_anx_impairment|scared_p_generalized_anxiety,0.0,0.0,0.5,0.7698192114251672,0.1546179625860637,-0.4562330303388029,-0.9195402298850575,-0.9302325581395349
psychologist_2_3,conduct,stability_pruned_subset,rf_positive_push_strong,20260712,drop_top_1,conduct_impairment_global,0.0,0.0,0.5,0.3333333333333333,0.33333266666766664,-0.5,-1.0,-1.0
psychologist_2_3,conduct,stability_pruned_subset,rf_positive_push_strong,20260712,drop_top_3,conduct_impairment_global|conduct_symptom_count_12m|conduct_recent_6m_count,0.0,0.0,0.5,0.3333333333333333,0.33333266666766664,-0.5,-1.0,-1.0
psychologist_2_3,conduct,stability_pruned_subset,rf_positive_push_strong,20260712,drop_top_5,conduct_impairment_global|conduct_symptom_count_12m|conduct_recent_6m_count|conduct_aggression_count|ari_p_symptom_total,0.0,0.0,0.5,0.3333333333333333,0.33333266666766664,-0.5,-1.0,-1.0
psychologist_2_3,depression,stability_pruned_subset,rf_positive_push_strong,20260729,drop_top_1,mdd_symptom_count,0.0,0.0,0.5,0.6938416705584678,0.10036905208421205,-0.3923887731339626,-0.8918918918918919,-0.8048780487804879
psychologist_2_3,depression,stability_pruned_subset,rf_positive_push_strong,20260729,drop_top_3,mdd_symptom_count|mdd_duration_weeks|mdd_impairment,0.0,0.0,0.5,0.7188817375586791,0.10730244234834921,-0.3923887731339626,-0.8918918918918919,-0.8048780487804879
