mode,domain,winner_feature_set_id,winner_config_id,winner_seed,seed_std_val_balanced_accuracy,seed_std_val_precision,seed_std_val_recall,precision_boot_mean,precision_boot_ci_low,precision_boot_ci_high,recall_boot_mean,recall_boot_ci_low,recall_boot_ci_high,balanced_accuracy_boot_mean,balanced_accuracy_boot_ci_low,balanced_accuracy_boot_ci_high,pr_auc_boot_mean,pr_auc_boot_ci_low,pr_auc_boot_ci_high,brier_boot_mean,brier_boot_ci_low,brier_boot_ci_high
caregiver_1_3,adhd,precision_oriented_subset,rf_regularized,20260712,0.004677147709314562,0.004777748521530678,0.007522412565814307,0.6214611295305783,0.5440024038461538,0.6925482752929526,0.9892590839749535,0.9671924849344204,1.0,0.9205796349591999,0.9011310928248195,0.9426371600131607,0.6450036159767326,0.5460287547536214,0.7344978037046295,0.0791899868669961,0.06506621329284655,0.09183846170492026
caregiver_1_3,anxiety,compact_robust_subset,rf_recall_guard,20260712,0.00642748461236736,0.018847515307361992,0.016444343748524312,0.9008739978265716,0.8225806451612904,0.9650940438871474,0.6309557325565002,0.5324395220052462,0.7296475995914199,0.8079287980763696,0.7583729259936404,0.8567910145500233,0.8037741488080192,0.7226464477970028,0.8817242579677058,0.05952965291179893,0.04188526367938997,0.08029356328531989
caregiver_1_3,conduct,full_eligible,rf_baseline,20260712,0.013445544214062658,0.023712371043079546,0.048919337063220256,0.8821265723989495,0.8291910499139415,0.9280284825086669,0.9079873332681129,0.8568742882333492,0.9475199187626934,0.9236380797015276,0.8933325791033856,0.9497631958737603,0.9322036601222184,0.8951998357220593,0.9631846339247965,0.05622996335278762,0.04171408757612122,0.07223671479166424
caregiver_1_3,depression,precision_oriented_subset,rf_recall_guard,20260712,0.0025349765105658543,0.008893507969562762,0.008623253429104246,0.7559356985994997,0.6702390694411972,0.8313950094848972,0.8397199675902055,0.7592530120481927,0.916209349593496,0.8917915176300321,0.8500931360762896,0.9295639667350193,0.79251395435254,0.7135427616174547,0.8728740113722226,0.056173351849770126,0.04172480046907637,0.07307730160487372
caregiver_1_3,elimination,stability_pruned_subset,rf_precision_push,20260712,0.0008260593238160308,0.01269906056008493,0.0,0.7742564911526257,0.6681972789115646,0.8838820078226858,0.8252951944220366,0.7169811320754716,0.9223846153846155,0.8981055513969297,0.8444116305709793,0.9501871330724071,0.9361678246936401,0.8907048844381886,0.9768752714394249,0.02294913341312934,0.015385760893977734,0.030124419524081066
caregiver_2_3,adhd,stability_pruned_subset,rf_positive_push_strong,20260712,0.0018318828528148963,0.008373925975626504,0.0,0.7256615514447828,0.6424070847851336,0.8,0.9689029630766927,0.924277289546716,1.0,0.9394533409104074,0.9143436132810093,0.9623792171260526,0.7445356822243269,0.6456213011013774,0.8297003996133852,0.05938709312048546,0.04424850869173532,0.07352416096252357
caregiver_2_3,anxiety,precision_oriented_subset,rf_positive_push_strong,20260729,0.0,0.0,0.0,0.9503150642084228,0.8983297219212713,0.9974431818181819,0.8869298264959704,0.8211137177429312,0.9457793409848204,0.9384906974847379,0.906004072047462,0.9696786009190671,0.9411937414720576,0.8860335260920849,0.97910125216848,0.02028130682793821,0.011521398237585708,0.02957929799762103
caregiver_2_3,conduct,stability_pruned_subset,rf_positive_push_strong,20260712,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0004638453995762899,1.0000000000372623e-12,0.001819001564044274
caregiver_2_3,depression,full_eligible,rf_precision_push,20260729,0.0008883251019931343,0.0070193463127191475,0.0,0.7504455421314863,0.6763913690476191,0.8232661668228679,0.88219979294465,0.8129017857142857,0.9470483641536273,0.911030976519457,0.8759685282099076,0.9458378845793186,0.883520250295084,0.8159998678637181,0.9379070541030795,0.0460538425613861,0.03179342711567597,0.062165484079566145
caregiver_2_3,elimination,precision_oriented_subset,rf_positive_push_strong,20260712,0.0,0.0,0.0,0.9815037645550824,0.9380625,1.0,1.0,1.0,1.0,0.9988553458187203,0.9964501659377983,1.0,1.0,1.0,1.0,0.0001497001051196309,1.0000000000314183e-12,0.0005529054974650092
caregiver_full,adhd,compact_robust_subset,rf_positive_push_strong,20260712,0.0028452648564997445,0.0029914617924338095,0.007522412565814307,0.7478615417115433,0.665225360576923,0.8214285714285715,0.9898342378018694,0.9674701963534361,1.0,0.9539230118390356,0.938756300030805,0.9708646431385793,0.775244599410006,0.6809052877680235,0.8555850907202267,0.05334693467261705,0.03937838211211513,0.06623630657157284
caregiver_full,anxiety,balanced_subset,rf_positive_push_strong,20260729,0.0,0.0,0.0,0.9111318236494322,0.8533333333333334,0.9626463414634147,0.9537996741789831,0.9,1.0,0.966926721091183,0.9382812361895893,0.9885928813005067,0.9337375257909278,0.8786021189392886,0.9782798861817367,0.02522903703750844,0.015415199127572058,0.036664657610651546
caregiver_full,conduct,stability_pruned_subset,rf_positive_push_strong,20260712,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0004242847350932287,1.0000000000372623e-12,0.0016638617033263867
caregiver_full,depression,precision_oriented_subset,rf_positive_push_strong,20260729,0.0,0.0,0.0,0.8033302750523185,0.7242763157894737,0.8759987113402062,0.9031205442336282,0.8351939237233356,0.9645145287030475,0.9288808023248624,0.8938276108844433,0.9648780299875763,0.9125508558779497,0.8437950662453738,0.9572292381986184,0.03778670219255807,0.02422945214676572,0.05264008988397094
caregiver_full,elimination,precision_oriented_subset,rf_positive_push_strong,20260712,0.0,0.0,0.0,0.9815037645550824,0.9380625,1.0,1.0,1.0,1.0,0.9988553458187203,0.9964501659377983,1.0,1.0,1.0,1.0,0.0008381301329007676,1.0000000000314183e-12,0.002986854223600795
psychologist_1_3,adhd,full_eligible,rf_baseline,20260729,0.0009159414264074482,0.003055158918529917,0.0,0.6162873489520176,0.54373519542045,0.6848313823857303,0.9779974506558271,0.9464912280701755,1.0,0.9158771768185174,0.8946306890328892,0.9357809071819355,0.6265486262437909,0.5407364077326483,0.7015264834602024,0.07746050567466228,0.06574056265746078,0.0904904095528134
psychologist_1_3,anxiety,precision_oriented_subset,rf_recall_guard,20260712,0.0008973436309473392,0.007132461148332154,0.0,0.8889243442259517,0.8203635620915033,0.9427832512315271,0.8233568487327039,0.7275252525252526,0.8950718194254447,0.9005041389246085,0.8532735105420719,0.9392452265716413,0.9301772269841296,0.8897421147570719,0.9629641978215884,0.04350124706427394,0.030285308031488004,0.05764405670701432
psychologist_1_3,conduct,full_eligible,rf_baseline,20260712,0.014588519379091206,0.034408072291780376,0.05781376198380576,0.9145837421416984,0.8653751653751655,0.9555356755584472,0.8894040032224626,0.8346394655013026,0.9325687599090093,0.9239491786153681,0.8909084306468561,0.9483962441134574,0.9403348523885665,0.9098605003631727,0.9666347842234628,0.0596673954252044,0.04467071975874413,0.07742226082901861
psychologist_1_3,depression,balanced_subset,rf_recall_guard,20260712,0.006088276918538391,0.01363635096958629,0.008623253429104246,0.7621053742892385,0.6797940534642662,0.8466491596638656,0.8014462893581783,0.7182732447817837,0.8764859361079292,0.8748254298456586,0.8323808414325656,0.9128791881159626,0.7979414597012662,0.7090163655627768,0.8709649337018363,0.058611246369100804,0.0435862038493018,0.07674831650552362
psychologist_1_3,elimination,full_eligible,rf_baseline,20260712,0.01277214800669445,0.011607342903239705,0.02719641466102112,0.7827718799170514,0.6752167914860071,0.8934460486322189,0.785896580160384,0.660124362244898,0.8934460486322189,0.8797882721406158,0.8192702006061526,0.9349569090032349,0.8695375876831877,0.7991612332293645,0.946741087163883,0.031821194594580514,0.020301053613568647,0.04343646305241684
psychologist_2_3,adhd,balanced_subset,rf_regularized,20260712,0.0,0.0,0.0,0.722230494501077,0.6395578420467186,0.7952320253001162,0.979339289220907,0.9481811145510836,1.0,0.9434182941360595,0.923658272892916,0.9624110753258969,0.736584745821201,0.6435247349257522,0.8246627098302156,0.0588216833513557,0.04293152520189624,0.0732847213219425
psychologist_2_3,anxiety,compact_robust_subset,rf_positive_push_strong,20260729,0.0,0.0,0.0,0.9195466392736503,0.8613049095607235,0.9673106784519828,0.9299689026672072,0.8756859756097561,0.9870648734177215,0.956277631929046,0.9286258835667427,0.9848823529411765,0.9428538118745521,0.8904055248794495,0.9828438927285289,0.024353731901472237,0.01449278308346229,0.036194879801484454
psychologist_2_3,conduct,stability_pruned_subset,rf_positive_push_strong,20260712,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006706317291758728,1.0000000000372623e-12,0.002629928346787736
psychologist_2_3,depression,stability_pruned_subset,rf_positive_push_strong,20260729,0.0,0.0,0.0,0.8925384591532857,0.8219012605042016,0.9615696202531646,0.8066314661809524,0.7230783866057838,0.894421052631579,0.8933493881030808,0.8481919306184013,0.9388385562641974,0.8810519757952718,0.8196203103911903,0.929272683053334,0.043114165647188,0.029709748781577793,0.05799708730163009
psychologist_2_3,elimination,balanced_subset,rf_positive_push_strong,20260712,0.0,0.0,0.0,0.9815037645550824,0.9380625,1.0,1.0,1.0,1.0,0.9988553458187203,0.9964501659377983,1.0,1.0,1.0,1.0,0.00042960342394161475,1.0000000000322184e-12,0.0012776451114534686
psychologist_full,adhd,full_eligible,rf_positive_push_strong,20260729,0.0,0.0,0.0,0.9468180726365049,0.9027562111801243,0.9885143570536828,0.978247068884945,0.9449763593380615,1.0,0.982486469857752,0.9657406203674239,0.9950832718074097,0.9803514692877204,0.9518700118379348,0.9990428942831955,0.010906977678574476,0.003913337108904492,0.020125036951150116
psychologist_full,anxiety,balanced_subset,rf_positive_push_strong,20260729,0.0,0.0,0.0,0.917678622757314,0.8591549295774648,0.9662059499489275,0.9068592225502623,0.8446230158730159,0.9619981916817361,0.9447227918705737,0.9134828834848577,0.9741821090605032,0.941323967820964,0.8920386809345794,0.9794651281830368,0.027979063819221415,0.018309724527489548,0.0394093656891365
psychologist_full,conduct,balanced_subset,rf_positive_push_strong,20260712,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.084752191364503e-06,1.0000000000377359e-12,1.557823575552541e-05
psychologist_full,depression,full_eligible,rf_precision_push,20260712,0.005958278123124764,0.02041827823443071,0.017246506858208492,0.8210695523388608,0.7417898134863702,0.9040073775989269,0.8613290766301516,0.775,0.9283385093167702,0.911204598818373,0.8699461486864156,0.9442646274028065,0.9456630794744746,0.9172059258750985,0.9711776559999911,0.034523050377956326,0.025431656114446827,0.04585726419713044
psychologist_full,elimination,precision_oriented_subset,rf_positive_push_strong,20260712,0.0,0.0,0.0,0.9815037645550824,0.9380625,1.0,1.0,1.0,1.0,0.9988553458187203,0.9964501659377983,1.0,1.0,1.0,1.0,7.830941185131047e-05,1.0000000000314183e-12,0.00022154569138052238
