domain,mode,role,active_model_id,source_campaign,feature_set_id,final_operational_class,overfit_flag,generalization_flag,operational_caveat,secondary_max_metric,secondary_gt_098,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,feature_audit_status,best_single_feature,best_single_rule,best_single_feature_ba,shortcut_gap_vs_model_ba,shortcut_dominance_flag
adhd,psychologist_full,psychologist,adhd__psychologist_full__rebuild_v2__rf__engineered_full,rebuild_v2,engineered_full,ACTIVE_HIGH_CONFIDENCE,no,yes,none,0.9892652408775218,yes,0.9294117647058824,0.8404255319148937,0.9844559585492229,0.9124407452320582,0.88268156424581,0.9892652408775218,0.9271313857162288,0.0302329344052168,exact_v2,eng_adhd_core_mean,eng_adhd_core_mean >= 1.44444,0.8936445816337779,-0.01879616359828029,no
anxiety,caregiver_2_3,caregiver,anxiety__caregiver_2_3__rebuild_v2__rf__compact_subset,rebuild_v2,compact_subset,ACTIVE_HIGH_CONFIDENCE,no,yes,none,0.9918840750796836,yes,0.8735632183908046,0.8837209302325582,0.9720812182741116,0.9279010742533348,0.8786127167630058,0.9918840750796836,0.9524808419049928,0.0306755822953721,exact_v2,social_anxiety_almost_always_triggered,social_anxiety_almost_always_triggered >= 2,0.8847538661315075,-0.04314720812182726,no
anxiety,caregiver_full,caregiver,anxiety__caregiver_full__rebuild_v2__rf__precision_oriented_subset,rebuild_v2,precision_oriented_subset,ACTIVE_HIGH_CONFIDENCE,no,yes,none,0.9911462637232912,yes,0.9166666666666666,0.8953488372093024,0.9822335025380712,0.9387911698736868,0.9058823529411764,0.9911462637232912,0.9465380549682876,0.0274435048754308,exact_v2,social_anxiety_almost_always_triggered,social_anxiety_almost_always_triggered >= 2,0.8847538661315075,-0.0540373037421793,no
anxiety,psychologist_1_3,psychologist,anxiety__psychologist_1_3__rebuild_v2__rf__engineered_full,rebuild_v2,engineered_full,ACTIVE_MODERATE_CONFIDENCE,no,yes,none,0.9923857868020304,yes,0.953846153846154,0.7209302325581395,0.9923857868020304,0.856658009680085,0.8211920529801324,0.9836058316609608,0.9167286511795306,0.0355709159204354,exact_v2,eng_anxiety_core_mean,eng_anxiety_core_mean >= 1.22222,0.9364596859874867,0.07980167630740176,yes
anxiety,psychologist_2_3,psychologist,anxiety__psychologist_2_3__rebuild_v2__rf__precision_oriented_subset,rebuild_v2,precision_oriented_subset,ACTIVE_HIGH_CONFIDENCE,no,yes,none,0.9898182032817848,yes,0.9058823529411764,0.8953488372093024,0.9796954314720812,0.937522134340692,0.9005847953216374,0.9898182032817848,0.930287612715468,0.0302180148379456,exact_v2,social_anxiety_almost_always_triggered,social_anxiety_almost_always_triggered >= 2,0.8847538661315075,-0.052768268209184455,no
anxiety,psychologist_full,psychologist,anxiety__psychologist_full__rebuild_v2__rf__precision_oriented_subset,rebuild_v2,precision_oriented_subset,ACTIVE_HIGH_CONFIDENCE,no,yes,none,0.9911610199504192,yes,0.9156626506024096,0.8837209302325582,0.9822335025380712,0.9329772163853146,0.8994082840236687,0.9911610199504192,0.9442183163908962,0.026760853373639,exact_v2,social_anxiety_almost_always_triggered,social_anxiety_almost_always_triggered >= 2,0.8847538661315075,-0.048223350253807085,no
depression,caregiver_1_3,caregiver,depression__caregiver_1_3__rebuild_v2__rf__precision_oriented_subset,rebuild_v2,precision_oriented_subset,ACTIVE_LIMITED_USE,yes,no,limited reliability; escalate to richer mode; overfit risk; low recall; short mode fragile,0.9673366834170856,no,0.8059701492537313,0.6585365853658537,0.9673366834170856,0.8129366343914696,0.7248322147651006,0.958282264983454,0.764765007527117,0.0600670985657974,exact_v2,mdd_08_concentration_or_decision_difficulty,mdd_08_concentration_or_decision_difficulty >= 2,0.8390734158597868,0.026136781468317216,no
depression,caregiver_full,caregiver,depression__caregiver_full__boosted_v3__catboost__full_eligible,boosted_v3,full_eligible,ACTIVE_HIGH_CONFIDENCE,no,yes,none,0.9909108304630694,yes,0.8409090909090909,0.9487179487179488,0.965174129353234,0.9569460390355912,0.891566265060241,0.9909108304630694,0.9434742112852106,0.0293666393254193,mapped_v2_by_name_por_confirmar,mdd_impairment,mdd_impairment >= 2,0.8887731339624954,-0.06817290507309581,no
depression,psychologist_1_3,psychologist,depression__psychologist_1_3__rebuild_v2__rf__stability_pruned_subset,rebuild_v2,stability_pruned_subset,ACTIVE_LIMITED_USE,yes,no,limited reliability; escalate to richer mode; overfit risk; low precision; short mode fragile,0.9597989949748744,no,0.7974683544303798,0.7682926829268293,0.9597989949748744,0.8640458389508519,0.782608695652174,0.9483852187768108,0.7681311253035743,0.0565304346753685,exact_v2,mdd_08_concentration_or_decision_difficulty,mdd_08_concentration_or_decision_difficulty >= 2,0.8390734158597868,-0.024972423091065066,no
depression,psychologist_full,psychologist,depression__psychologist_full__boosted_v3__hgb__full_eligible,boosted_v3,full_eligible,ACTIVE_HIGH_CONFIDENCE,no,yes,none,0.9923140706722796,yes,0.8690476190476191,0.935897435897436,0.972636815920398,0.9542671259089168,0.9012345679012346,0.9923140706722796,0.9533076719585644,0.0253330721238639,mapped_v2_by_name_por_confirmar,mdd_impairment,mdd_impairment >= 2,0.8887731339624954,-0.06549399194642147,no
elimination,caregiver_1_3,caregiver,elimination__caregiver_1_3__boosted_v3__extra_trees__boosted_eng_full,boosted_v3,boosted_eng_full,ACTIVE_HIGH_CONFIDENCE,no,yes,none,0.9967777320718496,yes,0.8679245283018868,0.9019607843137256,0.9836829836829836,0.9428218839983546,0.8846153846153846,0.9967777320718496,0.9700376570280697,0.0204136197916666,base_only_por_confirmar_engv3,enuresis_event_frequency_per_week,enuresis_event_frequency_per_week >= 1.11,0.8644859813084111,-0.0783359026899435,no
elimination,caregiver_2_3,caregiver,elimination__caregiver_2_3__rebuild_v2__rf__engineered_compact,rebuild_v2,engineered_compact,ACTIVE_HIGH_CONFIDENCE,no,yes,none,0.9970794392523366,yes,0.925925925925926,0.9615384615384616,0.9906542056074766,0.9760963335729692,0.9433962264150944,0.9970794392523366,0.955947602524266,0.010039232809337,exact_v2,eng_elimination_intensity,eng_elimination_intensity >= 0.969,0.9658519051042416,-0.01024442846872764,no
elimination,caregiver_full,caregiver,elimination__caregiver_full__rebuild_v2__rf__engineered_compact,rebuild_v2,engineered_compact,ACTIVE_HIGH_CONFIDENCE,no,yes,none,0.997214234363767,yes,0.9615384615384616,0.9615384615384616,0.9953271028037384,0.9784327821711,0.9615384615384616,0.997214234363767,0.9582613967229352,0.0081337265474628,exact_v2,eng_elimination_intensity,eng_elimination_intensity >= 0.969,0.9658519051042416,-0.012580877066858398,no
elimination,psychologist_1_3,psychologist,elimination__psychologist_1_3__boosted_v3__extra_trees__boosted_eng_full,boosted_v3,boosted_eng_full,ACTIVE_HIGH_CONFIDENCE,no,yes,none,0.9965720553955848,yes,0.9019607843137256,0.9019607843137256,0.9883449883449884,0.9451528863293568,0.9019607843137256,0.9965720553955848,0.9724347146967124,0.0210442838541666,base_only_por_confirmar_engv3,enuresis_event_frequency_per_week,enuresis_event_frequency_per_week >= 1.11,0.8644859813084111,-0.08066690502094565,no
elimination,psychologist_2_3,psychologist,elimination__psychologist_2_3__rebuild_v2__rf__engineered_pruned,rebuild_v2,engineered_pruned,ACTIVE_HIGH_CONFIDENCE,no,yes,none,0.997191768511862,yes,0.9615384615384616,0.9615384615384616,0.9953271028037384,0.9784327821711,0.9615384615384616,0.997191768511862,0.957704540598432,0.0082233824203011,exact_v2,eng_elimination_intensity,eng_elimination_intensity >= 0.969,0.9658519051042416,-0.012580877066858398,no
elimination,psychologist_full,psychologist,elimination__psychologist_full__rebuild_v2__rf__engineered_compact,rebuild_v2,engineered_compact,ACTIVE_HIGH_CONFIDENCE,no,yes,none,0.998090402588066,yes,0.9433962264150944,0.9615384615384616,0.9929906542056076,0.9772645578720344,0.9523809523809524,0.998090402588066,0.9734743104312084,0.009137193084548,exact_v2,eng_elimination_intensity,eng_elimination_intensity >= 0.969,0.9658519051042416,-0.011412652767792797,no
