domain,mode,role,active_model_id,source_campaign,feature_set_id,overfit_flag,secondary_gt_098,shortcut_dominance_flag,best_single_feature
anxiety,psychologist_1_3,psychologist,anxiety__psychologist_1_3__rebuild_v2__rf__engineered_full,rebuild_v2,engineered_full,no,yes,yes,eng_anxiety_core_mean
depression,caregiver_1_3,caregiver,depression__caregiver_1_3__rebuild_v2__rf__precision_oriented_subset,rebuild_v2,precision_oriented_subset,yes,no,no,mdd_08_concentration_or_decision_difficulty
depression,psychologist_1_3,psychologist,depression__psychologist_1_3__rebuild_v2__rf__stability_pruned_subset,rebuild_v2,stability_pruned_subset,yes,no,no,mdd_08_concentration_or_decision_difficulty
