domain,mode,active_model_id,source_campaign,feature_set_id_old,config_id_old,calibration_old,threshold_policy_old,threshold_old,seed_old,n_features_old,precision_old,recall_old,specificity_old,balanced_accuracy_old,f1_old,roc_auc_old,pr_auc_old,brier_old,overfit_flag_old,generalization_flag_old,feature_set_id_new,config_id_new,calibration_new,threshold_policy_new,threshold_new,seed_new,n_features_new,precision_new,recall_new,specificity_new,balanced_accuracy_new,f1_new,roc_auc_new,pr_auc_new,brier_new,quality_label_new,overfit_gap_train_val_ba_new,generalization_gap_val_holdout_ba_new,secondary_max_metric_new,secondary_cap_ok,generalization_ok,promotion_decision,delta_precision,delta_recall,delta_specificity,delta_balanced_accuracy,delta_f1,delta_roc_auc,delta_pr_auc,delta_brier
anxiety,psychologist_1_3,anxiety__psychologist_1_3__rebuild_v2__rf__engineered_full,rebuild_v2,engineered_full,rf_precision_push,isotonic,precision_min_recall,0.61,20261119,69,0.953846153846154,0.7209302325581395,0.9923857868020304,0.856658009680085,0.8211920529801324,0.9836058316609608,0.9167286511795306,0.0355709159204354,no,yes,engineered_full,rf_precision_guard_v2,isotonic,balanced,0.12499999999999999,20270421,69,0.8478260869565217,0.9069767441860465,0.9644670050761421,0.9357218746310942,0.8764044943820225,0.9855536536418369,0.9297878034703914,0.03359938270574026,bueno,0.03626096879549834,0.004544917955377259,0.9855536536418369,no,yes,HOLD_FOR_LIMITATION,-0.10602006688963228,0.18604651162790697,-0.027918781725888242,0.07906386495100926,0.05521244140189008,0.0019478219808760633,0.013059152290860743,-0.001971533214695141
depression,caregiver_1_3,depression__caregiver_1_3__rebuild_v2__rf__precision_oriented_subset,rebuild_v2,precision_oriented_subset,rf_baseline,none,recall_constrained,0.5299999999999999,20261101,20,0.8059701492537313,0.6585365853658537,0.9673366834170856,0.8129366343914696,0.7248322147651006,0.958282264983454,0.764765007527117,0.0600670985657974,yes,no,stability_pruned_subset,rf_regularized_v2,none,balanced,0.4499999999999999,20270421,24,0.7009345794392523,0.9146341463414634,0.9195979899497487,0.9171160681456061,0.7936507936507936,0.9611471994116926,0.7657378461540334,0.06236252049204518,malo,0.035406065045555324,0.01703640151979413,0.9611471994116926,yes,no,HOLD_FOR_LIMITATION,-0.10503556981447904,0.25609756097560976,-0.047738693467336835,0.10417943375413652,0.06881857888569298,0.0028649344282385414,0.0009728386269164391,0.0022954219262477787
depression,psychologist_1_3,depression__psychologist_1_3__rebuild_v2__rf__stability_pruned_subset,rebuild_v2,stability_pruned_subset,rf_baseline,isotonic,default_0_5,0.5,20261101,30,0.7974683544303798,0.7682926829268293,0.9597989949748744,0.8640458389508519,0.782608695652174,0.9483852187768108,0.7681311253035743,0.0565304346753685,yes,no,stability_pruned_subset,rf_precision_guard_v2,none,balanced,0.3999999999999999,20270421,30,0.723404255319149,0.8292682926829268,0.9346733668341709,0.8819708297585489,0.7727272727272727,0.9566736119622503,0.789219642252575,0.060187771819267925,malo,0.03798989993191948,0.05110920455938217,0.9566736119622503,yes,no,HOLD_FOR_LIMITATION,-0.0740640991112308,0.060975609756097504,-0.025125628140703515,0.01792499080769705,-0.00988142292490124,0.008288393185439502,0.021088516949000713,0.0036573371438994237
