mode,feature_set,family,n_features,calibration,threshold,fit_seconds,precision,recall,specificity,balanced_accuracy,f1,pr_auc,brier,uncertain_rate,prob_hash,ablation_config,delta_ba_vs_winner
caregiver,baseline_current,lightgbm,17,isotonic,0.44000000000000006,0.21340394020080566,0.9391304347826087,0.6708074534161491,0.944,0.8074037267080745,0.782608695652174,0.8999981765759297,0.14801597783454373,0.15034965034965034,aaf72dc49d085b44182f694db962f858286e4bdecd9840f8eebceebe97685579,baseline_current,-0.15754037267080756
psychologist,winner_selected,lightgbm,25,isotonic,0.29000000000000004,0.16927051544189453,1.0,0.937888198757764,1.0,0.968944099378882,0.967948717948718,0.9862807778140408,0.03422938188684162,0.07692307692307693,4013a58f793bf914ec46f76f3316e5a7cc30a7d7854cd070f574c01ab2a0c83c,winner_selected,0.0
psychologist,compact_clinical_engineered_only,lightgbm,25,isotonic,0.29000000000000004,0.1664741039276123,1.0,0.937888198757764,1.0,0.968944099378882,0.967948717948718,0.9862807778140408,0.03422938188684162,0.07692307692307693,4013a58f793bf914ec46f76f3316e5a7cc30a7d7854cd070f574c01ab2a0c83c,compact_clinical_engineered_only,0.0
psychologist,shortcut_rule_any_cbcl108_or_112,rule,2,none,0.5,,1.0,0.937888198757764,1.0,0.968944099378882,0.967948717948718,0.9864266168613994,0.03496503496503497,,,shortcut_rule_any_cbcl108_or_112,0.0
psychologist,subtype_aware_only,lightgbm,50,isotonic,0.5050000000000001,0.19308805465698242,0.9934640522875817,0.9440993788819876,0.992,0.9680496894409938,0.9681528662420382,0.9871045162065007,0.03338915650747976,0.01048951048951049,a7a3279a7ea7f7fac5fb90e8d39e856ff069c646f30729c308c380b646685ae0,subtype_aware_only,-0.000894409937888252
psychologist,minus_proxy_pruned,lightgbm,42,isotonic,0.2,0.1922774314880371,0.993421052631579,0.937888198757764,0.992,0.964944099378882,0.9648562300319489,0.9843790044380474,0.03578148699797643,0.4160839160839161,973ce0f0fcbd60ba47b16eba84a8432ccf7d6ba8ea3eb586b2ecc42911fa3eb7,minus_proxy_pruned,-0.0040000000000000036
psychologist,minus_compact_clinical_engineered,lightgbm,32,isotonic,0.2,0.13655400276184082,0.993421052631579,0.937888198757764,0.992,0.964944099378882,0.9648562300319489,0.9847798559621948,0.03374707971318623,0.13286713286713286,016cd5f3d15f6207779ff9aff7ab97355852c8376910758992b60e29869084ae,minus_compact_clinical_engineered,-0.0040000000000000036
psychologist,proxy_pruned_only,lightgbm,15,isotonic,0.2,0.16426920890808105,0.993421052631579,0.937888198757764,0.992,0.964944099378882,0.9648562300319489,0.9852344424620342,0.03506129166800665,0.3916083916083916,6aa84cab97166208153d076b3a245bc2ea3f6bb6747d0e79db2ca6ff0c35936f,proxy_pruned_only,-0.0040000000000000036
psychologist,winner_minus_cbcl108_112,lightgbm,23,isotonic,0.5050000000000001,0.2157726287841797,0.9933333333333333,0.9254658385093167,0.992,0.9587329192546583,0.9581993569131833,0.9833467406613642,0.04122144594328764,0.0,1c12aba2bc0c9c6db005808e304e672bb304582c2b3e7ede30bde434c7d3da4f,winner_minus_cbcl108_112,-0.010211180124223729
psychologist,union_three_families,lightgbm,57,isotonic,0.29000000000000004,0.21548938751220703,0.9805194805194806,0.937888198757764,0.976,0.956944099378882,0.9587301587301588,0.986719329688409,0.03900441675197485,0.027972027972027972,0d58f1ec1b3a909926a3f458ecff352f32a45e098d9ef7aaa62a7c5fce717883,union_three_families,-0.01200000000000001
psychologist,minus_subtype_aware,lightgbm,7,isotonic,0.5050000000000001,0.1776432991027832,0.9395973154362416,0.8695652173913043,0.928,0.8987826086956522,0.9032258064516129,0.9628228482464288,0.08308071829784341,0.01048951048951049,5be10af56c9fa076a68793b5e4ce90a07e5768744daeb28b42a2bf5b8e9399af,minus_subtype_aware,-0.07016149068322985
psychologist,baseline_current,lightgbm,20,isotonic,0.44000000000000006,0.20912599563598633,0.8421052631578947,0.7950310559006211,0.808,0.8015155279503106,0.8178913738019169,0.9010729950418378,0.14731328979917524,0.07692307692307693,17ed591d07e25f57a8ef43087c40a60fb8ff467e6f802cd32d64d17aafd58d0f,baseline_current,-0.16742857142857148
