mode,feature_set,family,n_features,calibration,threshold,fit_seconds,precision,recall,specificity,balanced_accuracy,f1,pr_auc,brier,uncertain_rate,prob_hash,ablation_config,delta_ba_vs_winner
caregiver,shortcut_rule_any_cbcl108_or_112,rule,2,none,0.5,,1.0,0.937888198757764,1.0,0.968944099378882,0.967948717948718,0.9864266168613994,0.03496503496503497,,,shortcut_rule_any_cbcl108_or_112,0.0040000000000000036
caregiver,winner_selected,lightgbm,15,isotonic,0.2,0.1516270637512207,0.993421052631579,0.937888198757764,0.992,0.964944099378882,0.9648562300319489,0.9852344424620342,0.03506129166800665,0.3916083916083916,6aa84cab97166208153d076b3a245bc2ea3f6bb6747d0e79db2ca6ff0c35936f,winner_selected,0.0
caregiver,minus_proxy_pruned,lightgbm,29,isotonic,0.2,0.17826461791992188,0.993421052631579,0.937888198757764,0.992,0.964944099378882,0.9648562300319489,0.9865464495751162,0.035227305909645235,0.40559440559440557,57de3a8da3390f748e46c51524651189c384cbad76f244fc4a4556e3d5e3a293,minus_proxy_pruned,0.0
caregiver,proxy_pruned_only,lightgbm,15,isotonic,0.2,0.16929364204406738,0.993421052631579,0.937888198757764,0.992,0.964944099378882,0.9648562300319489,0.9852344424620342,0.03506129166800665,0.3916083916083916,6aa84cab97166208153d076b3a245bc2ea3f6bb6747d0e79db2ca6ff0c35936f,proxy_pruned_only,0.0
caregiver,compact_clinical_engineered_only,lightgbm,22,isotonic,0.29500000000000004,0.16434979438781738,0.9869281045751634,0.937888198757764,0.984,0.960944099378882,0.9617834394904459,0.9852274069150185,0.036323821043589395,0.07692307692307693,d03c8b11342e36601b5b2bfc1ae674c1b7331dde2a0ea99a7b5f189ea68085e6,compact_clinical_engineered_only,-0.0040000000000000036
caregiver,winner_minus_cbcl108_112,lightgbm,13,isotonic,0.2,0.17648768424987793,0.9869281045751634,0.937888198757764,0.984,0.960944099378882,0.9617834394904459,0.9802398460902679,0.04008108487567094,0.15034965034965034,1537004fff277dae06408f7eebb5a012159f45e646291b82d13b358673e3228f,winner_minus_cbcl108_112,-0.0040000000000000036
caregiver,union_three_families,lightgbm,44,isotonic,0.2,0.18572592735290527,0.9806451612903225,0.9440993788819876,0.976,0.9600496894409938,0.9620253164556962,0.9854364628025039,0.039056774403193106,0.16433566433566432,520806a331ed7e87a35ebaa04ed461e729fbedfeed3fb8b52e931d225227ed72,union_three_families,-0.0048944099378882555
caregiver,subtype_aware_only,lightgbm,38,isotonic,0.2,0.18042397499084473,0.9806451612903225,0.9440993788819876,0.976,0.9600496894409938,0.9620253164556962,0.9861377803016154,0.03482534878874318,0.24125874125874125,853a229d795854bf2733d5eb1b2107acb780b825201971e32c177242b4ab5a45,subtype_aware_only,-0.0048944099378882555
caregiver,minus_compact_clinical_engineered,lightgbm,22,isotonic,0.2,0.12703919410705566,0.9805194805194806,0.937888198757764,0.976,0.956944099378882,0.9587301587301588,0.9860069588248155,0.038786261791179805,0.45104895104895104,df5158864f7a557fa6204db58da59b3f363b1751554fe36710f46e37e1ce6eba,minus_compact_clinical_engineered,-0.008000000000000007
caregiver,minus_subtype_aware,lightgbm,6,isotonic,0.255,0.16707372665405273,0.9637681159420289,0.8260869565217391,0.96,0.8930434782608696,0.8896321070234113,0.9581349872212569,0.08951460707999653,0.26573426573426573,e21c4e88aac3fdc7397e8f77e8b828742652eb739ba99b87e4ff2a4c57f83116,minus_subtype_aware,-0.07190062111801243
