domain,mode,role,active_model_required,active_model_id,source_line,source_campaign,model_family,feature_set_id,config_id,calibration,threshold_policy,threshold,seed,n_features,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,final_operational_class,overfit_flag,generalization_flag,dataset_ease_flag,confidence_pct,confidence_band,operational_caveat,recommended_for_default_use,notes
adhd,caregiver_1_3,caregiver,yes,adhd__caregiver_1_3__rebuild_v2__rf__engineered_full,hybrid_no_external_scores_rebuild_v2,rebuild_v2,rf,engineered_full,rf_regularized,isotonic,default_0_5,0.5,20261119,58,0.6212121212121212,0.8723404255319149,0.8704663212435233,0.8714033733877191,0.7256637168141593,0.9276402822180576,0.6319179403335605,0.0868278728044155,ACTIVE_LIMITED_USE,no,yes,no,6.9,limited,shortcut risk; mode fragility; low precision,no,clean_universe_no_external_scores
adhd,caregiver_2_3,caregiver,yes,adhd__caregiver_2_3__rebuild_v2__rf__engineered_compact,hybrid_no_external_scores_rebuild_v2,rebuild_v2,rf,engineered_compact,rf_regularized,isotonic,default_0_5,0.5,20261101,43,0.7017543859649122,0.851063829787234,0.911917098445596,0.881490464116415,0.7692307692307693,0.9492613824275162,0.7044217957677258,0.072567246649348,ACTIVE_LIMITED_USE,no,yes,no,30.8,limited,mode fragility; low precision,no,clean_universe_no_external_scores
adhd,caregiver_full,caregiver,yes,adhd__caregiver_full__rebuild_v2__rf__engineered_compact,hybrid_no_external_scores_rebuild_v2,rebuild_v2,rf,engineered_compact,rf_balanced_subsample,isotonic,recall_constrained,0.4049999999999999,20261119,53,0.7403846153846154,0.8191489361702128,0.9300518134715026,0.8746003748208577,0.7777777777777778,0.9506394002866276,0.7118788252075036,0.0687218130961477,ACTIVE_LIMITED_USE,no,yes,no,35.4,limited,mode fragility; low precision,no,clean_universe_no_external_scores
adhd,psychologist_1_3,psychologist,yes,adhd__psychologist_1_3__rebuild_v2__rf__engineered_compact,hybrid_no_external_scores_rebuild_v2,rebuild_v2,rf,engineered_compact,rf_balanced_subsample,isotonic,balanced,0.18,20261101,30,0.6148148148148148,0.8829787234042553,0.8652849740932642,0.8741318487487597,0.7248908296943232,0.9259453202513506,0.6375451264670481,0.0841732751976726,ACTIVE_LIMITED_USE,no,yes,no,29.3,limited,mode fragility; low precision,no,clean_universe_no_external_scores
adhd,psychologist_2_3,psychologist,yes,adhd__psychologist_2_3__rebuild_v2__rf__engineered_pruned,hybrid_no_external_scores_rebuild_v2,rebuild_v2,rf,engineered_pruned,rf_regularized,isotonic,precision_min_recall,0.5049999999999999,20261101,70,0.7289719626168224,0.8297872340425532,0.9248704663212436,0.8773288501818983,0.7761194029850746,0.9539604233270864,0.7337389775224177,0.0680043361765456,ACTIVE_LIMITED_USE,no,yes,no,29.6,limited,mode fragility; low precision,no,clean_universe_no_external_scores
adhd,psychologist_full,psychologist,yes,adhd__psychologist_full__rebuild_v2__rf__engineered_full,hybrid_no_external_scores_rebuild_v2,rebuild_v2,rf,engineered_full,rf_precision_push,isotonic,precision_min_recall,0.5049999999999999,20261101,161,0.9294117647058824,0.8404255319148937,0.9844559585492229,0.9124407452320582,0.88268156424581,0.9892652408775218,0.9271313857162288,0.0302329344052168,ACTIVE_LIMITED_USE,no,yes,no,46.3,limited,secondary metric anomaly; mode fragility,no,clean_universe_no_external_scores
anxiety,caregiver_1_3,caregiver,yes,anxiety__caregiver_1_3__rebuild_v2__rf__engineered_full,hybrid_no_external_scores_rebuild_v2,rebuild_v2,rf,engineered_full,rf_pos_weight_mid,isotonic,recall_constrained,0.3199999999999999,20261101,58,0.8875,0.8255813953488372,0.9771573604060914,0.9013693778774644,0.8554216867469879,0.9767441860465116,0.9266917820093952,0.0368358394115982,ACTIVE_LOW_CONFIDENCE,no,yes,no,66.5,low,mode fragility,no,clean_universe_no_external_scores
anxiety,caregiver_2_3,caregiver,yes,anxiety__caregiver_2_3__final_honest_improvement_v1__rf__engineered_pruned,hybrid_final_honest_improvement_v1,final_honest_improvement_v1,rf,engineered_pruned,rf_precision_guard_v2,none,balanced,0.4799999999999999,20270421,68,0.8681318681318682,0.9186046511627908,0.9695431472081218,0.9440738991854564,0.8926553672316384,0.9919135875339392,0.9572096459522188,0.0268054004251118,ACTIVE_LOW_CONFIDENCE,no,yes,no,66.1,low,secondary metric anomaly; mode fragility,no,final_honest_improvement_v1_replacement
anxiety,caregiver_full,caregiver,yes,anxiety__caregiver_full__final_honest_improvement_v1__rf__engineered_compact,hybrid_final_honest_improvement_v1,final_honest_improvement_v1,rf,engineered_compact,rf_precision_guard_v2,none,balanced,0.4449999999999999,20270421,53,0.8695652173913043,0.9302325581395348,0.9695431472081218,0.9498878526738284,0.898876404494382,0.9929465234328888,0.9704386771709956,0.0260018685275156,ACTIVE_LOW_CONFIDENCE,no,yes,no,70.9,low,secondary metric anomaly; mode fragility,no,final_honest_improvement_v1_replacement
anxiety,psychologist_1_3,psychologist,yes,anxiety__psychologist_1_3__rebuild_v2__rf__engineered_full,hybrid_no_external_scores_rebuild_v2,rebuild_v2,rf,engineered_full,rf_precision_push,isotonic,precision_min_recall,0.61,20261119,69,0.953846153846154,0.7209302325581395,0.9923857868020304,0.856658009680085,0.8211920529801324,0.9836058316609608,0.9167286511795306,0.0355709159204354,ACTIVE_LIMITED_USE,no,yes,no,21.4,limited,secondary metric anomaly; shortcut risk; mode fragility; low recall,no,clean_universe_no_external_scores
