domain,role,mode,active_model_id,feature,importance_rank,importance
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_onset_before_12,1,0.12007874009063566
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_inatt_08_easily_distracted,2,0.10915179227146402
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_impairment_school,3,0.10638676709928183
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_impairment_home,4,0.08659775931240415
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_inatt_06_avoids_sustained_effort,5,0.06288811333307033
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,conduct_impairment_global,6,0.04885178020523396
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_inatt_03_seems_not_listening,7,0.046064095839901315
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_impairment_social,8,0.04492134376167682
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_inatt_09_forgetful_daily_activities,9,0.042251535315343355
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_hypimp_02_leaves_seat,10,0.040791844341730034
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_inatt_02_sustained_attention_difficulty,11,0.04071851791779372
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_inatt_01_attention_to_detail_errors,12,0.03605277507207934
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_inatt_07_loses_things,13,0.028332561007239992
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_context_other,14,0.026592817871237483
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_hypimp_04_cannot_play_quietly,15,0.023358237683359807
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_inatt_04_fails_to_finish_tasks,16,0.019889503079422548
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_hypimp_09_interrupts_intrudes,17,0.016778054914484794
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_hypimp_01_fidgets,18,0.014577194768366396
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_hypimp_07_blurts_out,19,0.013833928363542138
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_hypimp_06_talks_excessively,20,0.01225719978037894
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_inatt_05_organization_difficulty,21,0.010566011547660133
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_hypimp_08_difficulty_waiting_turn,22,0.009100068376920432
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_hypimp_05_driven_by_motor,23,0.008985979577047276
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,dmdd_outbursts_frequency_per_week,24,0.0072858619355104315
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_hypimp_03_runs_or_climbs_inappropriately,25,0.006806724970967426
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_context_home,26,0.005073374888479449
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,dmdd_duration_months,27,0.003297296409473397
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,mdd_impairment,28,0.0022213524198901637
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,sep_anx_impairment,29,0.0016008516594962264
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,social_anxiety_impairment,30,0.0012756732820321686
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,gad_impairment,31,0.001268864472682298
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,agor_impairment,32,0.0009196268370393517
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_context_school,33,0.0007793618684986113
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,enuresis_event_frequency_per_week,34,0.0003144957863529177
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,enuresis_distress_impairment,35,9.6642629829784e-05
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,encopresis_event_frequency_per_month,36,3.325130947346166e-05
adhd,caregiver,caregiver_2_3,adhd__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_onset_before_12,1,0.21166810484327067
adhd,caregiver,caregiver_2_3,adhd__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_inatt_08_easily_distracted,2,0.15601290087130368
adhd,caregiver,caregiver_2_3,adhd__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_impairment_school,3,0.13505015094458678
adhd,caregiver,caregiver_2_3,adhd__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_impairment_home,4,0.11685725883836923
adhd,caregiver,caregiver_2_3,adhd__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_inatt_06_avoids_sustained_effort,5,0.08425302977367181
adhd,caregiver,caregiver_2_3,adhd__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_inatt_09_forgetful_daily_activities,6,0.04254395841240109
adhd,caregiver,caregiver_2_3,adhd__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_inatt_03_seems_not_listening,7,0.03217645905050947
adhd,caregiver,caregiver_2_3,adhd__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd_inatt_02_sustained_attention_difficulty,8,0.029670214759384722
