mode,domain,role,direct_features,derived_features,engineered_features,eligible_base_features,severely_impoverished_mode
caregiver_1_3,adhd,caregiver,49,0,9,49,no
caregiver_1_3,conduct,caregiver,49,0,9,49,no
caregiver_1_3,elimination,caregiver,49,0,9,49,no
caregiver_1_3,anxiety,caregiver,49,0,9,49,no
caregiver_1_3,depression,caregiver,49,0,9,49,no
caregiver_2_3,adhd,caregiver,98,0,9,98,no
caregiver_2_3,conduct,caregiver,98,0,9,98,no
caregiver_2_3,elimination,caregiver,98,0,9,98,no
caregiver_2_3,anxiety,caregiver,98,0,9,98,no
caregiver_2_3,depression,caregiver,98,0,9,98,no
caregiver_full,adhd,caregiver,127,0,9,127,no
caregiver_full,conduct,caregiver,127,0,9,127,no
caregiver_full,elimination,caregiver,127,0,9,127,no
caregiver_full,anxiety,caregiver,127,0,9,127,no
caregiver_full,depression,caregiver,127,0,9,127,no
psychologist_1_3,adhd,psychologist,60,0,9,60,no
psychologist_1_3,conduct,psychologist,60,0,9,60,no
psychologist_1_3,elimination,psychologist,60,0,9,60,no
psychologist_1_3,anxiety,psychologist,60,0,9,60,no
psychologist_1_3,depression,psychologist,60,0,9,60,no
psychologist_2_3,adhd,psychologist,102,0,9,102,no
psychologist_2_3,conduct,psychologist,102,0,9,102,no
psychologist_2_3,elimination,psychologist,102,0,9,102,no
psychologist_2_3,anxiety,psychologist,102,0,9,102,no
psychologist_2_3,depression,psychologist,102,0,9,102,no
psychologist_full,adhd,psychologist,152,0,9,152,no
psychologist_full,conduct,psychologist,152,0,9,152,no
psychologist_full,elimination,psychologist,152,0,9,152,no
psychologist_full,anxiety,psychologist,152,0,9,152,no
psychologist_full,depression,psychologist,152,0,9,152,no
