domain,model_expected,model_observed,status_expected,status_observed,delta_precision,delta_recall,delta_specificity,delta_balanced_accuracy,max_metric_delta,status_match,severity,specificity_source
adhd,adhd_trial_compact_signal,adhd_trial_compact_signal,recovered_generalizing_model,recovered_generalizing_model,2.9729729729588428e-05,2.1118012422438603e-05,0.0,1.055900621116379e-05,2.9729729729588428e-05,True,none,derived_from_balacc_and_recall
anxiety,retrained_anxiety_anti_overfit_v1,retrained_anxiety_anti_overfit_v1,accepted_but_experimental,accepted_but_experimental,4.9253731343235074e-05,4.8484848484742216e-05,9.090909091291621e-06,2.1212121211977575e-05,4.9253731343235074e-05,True,none,derived_from_balacc_and_recall
conduct,domain_conduct_research_full,domain_conduct_research_full,accepted_but_experimental,accepted_but_experimental,8.64197530869859e-06,0.0,8.73786407762367e-06,4.368932038811835e-06,8.73786407762367e-06,True,none,derived_from_balacc_and_recall
depression,domain_depression_strict_full,domain_depression_strict_full,accepted_but_experimental,accepted_but_experimental,1.3043478260810204e-05,1.3043478260810204e-05,4.3859649122457434e-05,1.5408085430768104e-05,4.3859649122457434e-05,True,none,derived_from_balacc_and_recall
elimination,V5_T02_composite_clinical,V5_T02_composite_clinical,experimental_line_more_useful_not_product_ready,experimental_line_more_useful_not_product_ready,4.999999999999449e-05,1.1801242235986997e-05,0.0,4.4099378882056506e-05,4.999999999999449e-05,True,none,reported_directly
