mode,scenario,threshold_used,precision,recall,specificity,balanced_accuracy,f1,pr_auc,brier,uncertain_rate,uncertainty_usefulness,output_realism_score,delta_ba_vs_baseline
caregiver,baseline,0.31000000000000005,0.8607594936708861,0.84472049689441,0.824,0.834360248447205,0.8526645768025078,0.9115229294695697,0.13267820024478835,0.17482517482517482,0.11593220338983051,0.8632867132867132,0.0
caregiver,borderline_noise_5pct,0.31000000000000005,0.8544303797468354,0.8385093167701864,0.816,0.8272546583850932,0.8463949843260188,0.9120394831975215,0.1331607332485068,0.17482517482517482,0.10745762711864407,0.8632867132867132,-0.007105590062111866
caregiver,cbcl_coverage_drop,0.31000000000000005,0.869281045751634,0.8260869565217391,0.84,0.8330434782608696,0.8471337579617835,0.9129086936108772,0.1390891600756048,0.23776223776223776,0.16567728008634647,0.887062937062937,-0.0013167701863354697
caregiver,missingness_light_10pct,0.31000000000000005,0.8525641025641025,0.8260869565217391,0.816,0.8210434782608695,0.8391167192429022,0.9131457098221192,0.13556067777232236,0.2097902097902098,0.11179941002949853,0.8692307692307693,-0.01331677018633548
caregiver,missingness_moderate_25pct,0.31000000000000005,0.8187134502923976,0.8695652173913043,0.752,0.8107826086956522,0.8433734939759037,0.9063103413050042,0.14066645657941687,0.25524475524475526,0.03177053186700107,0.8276223776223777,-0.023577639751552804
caregiver,partial_coverage_40pct,0.31000000000000005,0.7486338797814208,0.8509316770186336,0.632,0.7414658385093168,0.7965116279069767,0.8874828983755813,0.1644172806495136,0.3006993006993007,-0.017441860465116282,0.7279964221824686,-0.09289440993788822
caregiver,source_mix_shift,0.31000000000000005,0.8,0.8695652173913043,0.72,0.7947826086956522,0.8333333333333334,0.9132007890903961,0.14289679864267532,0.2867132867132867,0.016140602582496416,0.791958041958042,-0.03957763975155282
psychologist,baseline,0.37500000000000006,0.8475609756097561,0.8633540372670807,0.8,0.8316770186335404,0.8553846153846154,0.9121638790674771,0.13463079845418852,0.2867132867132867,0.14574366331898614,0.8513986013986015,0.0
psychologist,borderline_noise_5pct,0.37500000000000006,0.8571428571428571,0.8571428571428571,0.816,0.8365714285714285,0.8571428571428571,0.9132881334299519,0.13535715621231703,0.27972027972027974,0.08907766990291263,0.8335664335664336,0.0048944099378881445
psychologist,cbcl_coverage_drop,0.37500000000000006,0.8627450980392157,0.8198757763975155,0.832,0.8259378881987578,0.8407643312101911,0.9095912981464573,0.16914734261735223,0.534965034965035,0.18624993857192002,0.9405594405594405,-0.00573913043478258
psychologist,missingness_light_10pct,0.37500000000000006,0.8273809523809523,0.8633540372670807,0.768,0.8156770186335404,0.8449848024316109,0.9039420178754178,0.1416920467602397,0.33916083916083917,0.13576610483826979,0.8513986013986015,-0.016000000000000014
psychologist,missingness_moderate_25pct,0.37500000000000006,0.8117647058823529,0.8571428571428571,0.744,0.8005714285714285,0.8338368580060423,0.9004336029860055,0.14945702728061058,0.45454545454545453,0.14102564102564102,0.8811188811188811,-0.031105590062111887
psychologist,partial_coverage_40pct,0.37500000000000006,0.7624309392265194,0.8571428571428571,0.656,0.7565714285714286,0.8070175438596491,0.8755028561777566,0.16679647788692153,0.548951048951049,0.18031896509159134,0.8989510489510489,-0.07510559006211182
psychologist,source_mix_shift,0.37500000000000006,0.8011363636363636,0.8757763975155279,0.72,0.797888198757764,0.8367952522255193,0.9070846886665164,0.14504134532122498,0.4825174825174825,0.2165099882491187,0.9227272727272727,-0.03378881987577642
