trial_id,honest_score,test_precision,test_balanced_accuracy,test_recall,test_specificity,test_pr_auc,seed_std_balacc,split_std_balacc,noise_moderate_drop_balacc,realism_worst_drop_balacc,residual_critical,suspicious_perfect_score,non_promotable
V3_T07_abstention_assisted_operating_mode,115.07163350244865,0.891566265060241,0.8876273291925465,0.9192546583850931,0.856,0.96523759106069,0.004544448845732608,0.0078059969773531124,0.01552795031055898,0.015105590062111762,0,False,False
V3_T05_calibration_refinement,112.62519093373767,0.90625,0.8903105590062113,0.9006211180124224,0.88,0.9641783309470014,0.00961025846909905,0.01233366263861009,0.016422360248447232,0.020000000000000018,0,False,False
V3_T04_comorbidity_aware_conservative_subset,110.45821076967827,0.9734513274336283,0.8296149068322981,0.6832298136645962,0.976,0.9643725062938191,0.002307246971325024,0.01629254730868463,0.03547826086956518,0.01773913043478259,0,False,False
V3_T02_compact_pruned_specificity_first,108.3509239197554,0.963963963963964,0.8162981366459627,0.6645962732919255,0.968,0.9525284494474515,0.007123318311942832,0.015843353567093287,0.04568944099378891,0.01684472049689445,0,False,False
V3_T10_stop_condition_control,106.7091735496766,0.9732142857142857,0.8265093167701862,0.6770186335403726,0.976,0.9623045696266448,0.0038733513320641485,0.028045998310857287,0.03237267080745332,0.03105590062111796,0,False,False
V3_T03_low_missingness_specific_subset,101.47267314070005,0.9096385542168675,0.908944099378882,0.937888198757764,0.88,0.9717601887899943,0.005141036474716057,0.014688593406607527,0.01552795031055898,0.1406459627329193,0,False,False
V3_T08_ultra_compact_thesis_variant,74.5034965034965,0.5629370629370629,0.5,1.0,0.0,0.5641492457974108,0.0,0.0,0.0,0.0,0,True,False
V3_T01_control_replay_parent,74.02332702022508,1.0,0.9875776397515528,0.9751552795031055,1.0,1.0,0.004201150081490732,0.005278488109309318,0.04347826086956519,0.024844720496894457,0,True,False
V3_T06_threshold_refinement,73.24434084160274,1.0,0.9875776397515528,0.9751552795031055,1.0,0.9999616593819493,0.0050714073349548295,0.005855956780012827,0.035950310559006216,0.037267080745341574,0,True,False
V3_T09_optional_research_context,53.70952642658836,1.0,0.9937888198757764,0.9875776397515528,1.0,0.9998852104423942,0.008151146867507057,0.0050714073349548295,0.04658385093167705,0.018633540372670843,0,True,True
