trial_id,suspicious_perfect_score,residual_critical,residual_high,preliminary_decision
V3_T01_control_replay_parent,True,0,78,blocked_perfect_score
V3_T02_compact_pruned_specificity_first,False,0,0,candidate_incremental
V3_T03_low_missingness_specific_subset,False,0,0,candidate_incremental
V3_T04_comorbidity_aware_conservative_subset,False,0,0,candidate_incremental
V3_T05_calibration_refinement,False,0,0,candidate_incremental
V3_T06_threshold_refinement,True,0,72,blocked_perfect_score
V3_T07_abstention_assisted_operating_mode,False,0,0,candidate_incremental
V3_T08_ultra_compact_thesis_variant,True,0,0,blocked_perfect_score
V3_T09_optional_research_context,True,0,77,blocked_perfect_score
V3_T10_stop_condition_control,False,0,0,candidate_incremental
