trial_id,seed_std_balacc,split_std_balacc
V3_T01_control_replay_parent,0.004201150081490732,0.005278488109309318
V3_T02_compact_pruned_specificity_first,0.007123318311942832,0.015843353567093287
V3_T03_low_missingness_specific_subset,0.005141036474716057,0.014688593406607527
V3_T04_comorbidity_aware_conservative_subset,0.002307246971325024,0.01629254730868463
V3_T05_calibration_refinement,0.00961025846909905,0.01233366263861009
V3_T06_threshold_refinement,0.0050714073349548295,0.005855956780012827
V3_T07_abstention_assisted_operating_mode,0.004544448845732608,0.0078059969773531124
V3_T08_ultra_compact_thesis_variant,0.0,0.0
V3_T09_optional_research_context,0.008151146867507057,0.0050714073349548295
V3_T10_stop_condition_control,0.0038733513320641485,0.028045998310857287
