trial_id,threshold,val_precision,val_balanced_accuracy,val_recall,test_precision,test_balanced_accuracy,test_recall,test_specificity
V3_T01_control_replay_parent,0.2,0.92,0.944,1.0,0.8895027624309392,0.9199999999999999,1.0,0.84
V3_T01_control_replay_parent,0.25,0.9583333333333334,0.972,1.0,0.9096045197740112,0.9359999999999999,1.0,0.872
V3_T01_control_replay_parent,0.3,0.9877300613496932,0.992,1.0,0.936046511627907,0.956,1.0,0.912
V3_T01_control_replay_parent,0.35,0.9877300613496932,0.992,1.0,0.9470588235294117,0.964,1.0,0.928
V3_T01_control_replay_parent,0.4,0.9938271604938271,0.996,1.0,0.9640718562874252,0.976,1.0,0.952
V3_T01_control_replay_parent,0.44999999999999996,0.9938271604938271,0.996,1.0,0.9757575757575757,0.984,1.0,0.968
V3_T01_control_replay_parent,0.5,0.9938271604938271,0.996,1.0,0.9877300613496932,0.992,1.0,0.984
V3_T01_control_replay_parent,0.55,0.9938271604938271,0.996,1.0,1.0,1.0,1.0,1.0
V3_T01_control_replay_parent,0.6,1.0,1.0,1.0,1.0,0.9875776397515528,0.9751552795031055,1.0
V3_T01_control_replay_parent,0.6499999999999999,1.0,0.9875776397515528,0.9751552795031055,1.0,0.9720496894409938,0.9440993788819876,1.0
V3_T01_control_replay_parent,0.7,1.0,0.9782608695652174,0.9565217391304348,1.0,0.9534161490683231,0.906832298136646,1.0
V3_T01_control_replay_parent,0.75,1.0,0.9472049689440993,0.8944099378881988,1.0,0.9099378881987578,0.8198757763975155,1.0
V3_T01_control_replay_parent,0.8,1.0,0.9099378881987578,0.8198757763975155,1.0,0.8726708074534162,0.7453416149068323,1.0
V3_T01_control_replay_parent,0.85,1.0,0.8757763975155279,0.7515527950310559,1.0,0.829192546583851,0.6583850931677019,1.0
V3_T02_compact_pruned_specificity_first,0.2,0.7562189054726368,0.7760496894409938,0.9440993788819876,0.7293577981651376,0.7577888198757764,0.9875776397515528,0.528
V3_T02_compact_pruned_specificity_first,0.25,0.8241758241758241,0.8378385093167702,0.9316770186335404,0.7738693467336684,0.7982608695652174,0.9565217391304348,0.64
V3_T02_compact_pruned_specificity_first,0.3,0.8579881656804734,0.8543105590062112,0.9006211180124224,0.8206521739130435,0.8369440993788819,0.937888198757764,0.736
V3_T02_compact_pruned_specificity_first,0.35,0.8875,0.8689937888198758,0.8819875776397516,0.8361581920903954,0.8436273291925466,0.9192546583850931,0.768
V3_T02_compact_pruned_specificity_first,0.4,0.9271523178807947,0.8907826086956522,0.8695652173913043,0.8622754491017964,0.8552049689440994,0.8944099378881988,0.816
V3_T02_compact_pruned_specificity_first,0.44999999999999996,0.951048951048951,0.894360248447205,0.84472049689441,0.9072847682119205,0.8694658385093168,0.8509316770186336,0.888
V3_T02_compact_pruned_specificity_first,0.5,0.9632352941176471,0.8868322981366459,0.8136645962732919,0.9027777777777778,0.8477267080745341,0.8074534161490683,0.888
V3_T02_compact_pruned_specificity_first,0.55,0.9774436090225563,0.8917267080745341,0.8074534161490683,0.9064748201438849,0.839304347826087,0.782608695652174,0.896
V3_T02_compact_pruned_specificity_first,0.6,0.984375,0.8833043478260869,0.782608695652174,0.9302325581395349,0.8366708074534162,0.7453416149068323,0.928
V3_T02_compact_pruned_specificity_first,0.6499999999999999,0.9838709677419355,0.8708819875776397,0.7577639751552795,0.9411764705882353,0.8198260869565217,0.6956521739130435,0.944
V3_T02_compact_pruned_specificity_first,0.7,0.9917355371900827,0.8686708074534162,0.7453416149068323,0.963963963963964,0.8162981366459627,0.6645962732919255,0.968
V3_T02_compact_pruned_specificity_first,0.75,0.9911504424778761,0.8438260869565217,0.6956521739130435,0.968421052631579,0.7737142857142857,0.5714285714285714,0.976
V3_T02_compact_pruned_specificity_first,0.8,0.9906542056074766,0.825192546583851,0.6583850931677019,0.975609756097561,0.7404472049689441,0.4968944099378882,0.984
V3_T02_compact_pruned_specificity_first,0.85,1.0,0.8043478260869565,0.6086956521739131,1.0,0.7329192546583851,0.4658385093167702,1.0
V3_T03_low_missingness_specific_subset,0.2,0.8216216216216217,0.8400496894409938,0.9440993788819876,0.7959183673469388,0.8244720496894411,0.968944099378882,0.68
V3_T03_low_missingness_specific_subset,0.25,0.8497109826589595,0.8525217391304347,0.9130434782608695,0.8125,0.840472049689441,0.968944099378882,0.712
V3_T03_low_missingness_specific_subset,0.3,0.8902439024390244,0.881416149068323,0.906832298136646,0.8387096774193549,0.864472049689441,0.968944099378882,0.76
V3_T03_low_missingness_specific_subset,0.35,0.9240506329113924,0.905416149068323,0.906832298136646,0.8863636363636364,0.904472049689441,0.968944099378882,0.84
V3_T03_low_missingness_specific_subset,0.4,0.948051948051948,0.921416149068323,0.906832298136646,0.9096385542168675,0.908944099378882,0.937888198757764,0.88
V3_T03_low_missingness_specific_subset,0.44999999999999996,0.9530201342281879,0.9129937888198758,0.8819875776397516,0.9074074074074074,0.8965217391304348,0.9130434782608695,0.88
V3_T03_low_missingness_specific_subset,0.5,0.9722222222222222,0.9187826086956521,0.8695652173913043,0.9230769230769231,0.8992049689440994,0.8944099378881988,0.904
V3_T03_low_missingness_specific_subset,0.55,0.9851851851851852,0.9050434782608696,0.8260869565217391,0.9370629370629371,0.8801490683229813,0.8322981366459627,0.928
V3_T03_low_missingness_specific_subset,0.6,0.9850746268656716,0.9019378881987578,0.8198757763975155,0.9477611940298507,0.8664099378881988,0.7888198757763976,0.944
V3_T03_low_missingness_specific_subset,0.6499999999999999,0.9921875,0.8904099378881988,0.7888198757763976,0.96,0.8526708074534162,0.7453416149068323,0.96
V3_T03_low_missingness_specific_subset,0.7,0.992,0.8810931677018634,0.7701863354037267,0.9741379310344828,0.8389316770186335,0.7018633540372671,0.976
V3_T03_low_missingness_specific_subset,0.75,0.9917355371900827,0.8686708074534162,0.7453416149068323,0.9727272727272728,0.8202981366459627,0.6645962732919255,0.976
V3_T03_low_missingness_specific_subset,0.8,0.991304347826087,0.8500372670807453,0.7080745341614907,0.98,0.7963478260869565,0.6086956521739131,0.984
V3_T03_low_missingness_specific_subset,0.85,1.0,0.84472049689441,0.6894409937888198,1.0,0.7608695652173914,0.5217391304347826,1.0
V3_T04_comorbidity_aware_conservative_subset,0.2,0.7916666666666666,0.8120496894409939,0.9440993788819876,0.7810945273631841,0.8115776397515528,0.9751552795031055,0.648
V3_T04_comorbidity_aware_conservative_subset,0.25,0.8277777777777777,0.8387329192546584,0.9254658385093167,0.8092783505154639,0.8395776397515528,0.9751552795031055,0.704
V3_T04_comorbidity_aware_conservative_subset,0.3,0.8802395209580839,0.8765217391304347,0.9130434782608695,0.8235294117647058,0.8462608695652174,0.9565217391304348,0.736
V3_T04_comorbidity_aware_conservative_subset,0.35,0.910828025477707,0.8880993788819875,0.8881987577639752,0.8685714285714285,0.8800496894409937,0.9440993788819876,0.816
V3_T04_comorbidity_aware_conservative_subset,0.4,0.9403973509933775,0.9049937888198758,0.8819875776397516,0.8909090909090909,0.8845217391304347,0.9130434782608695,0.856
V3_T04_comorbidity_aware_conservative_subset,0.44999999999999996,0.9586206896551724,0.9076770186335403,0.8633540372670807,0.90625,0.8903105590062113,0.9006211180124224,0.88
V3_T04_comorbidity_aware_conservative_subset,0.5,0.9716312056737588,0.9094658385093168,0.8509316770186336,0.9072847682119205,0.8694658385093168,0.8509316770186336,0.888
V3_T04_comorbidity_aware_conservative_subset,0.55,0.9851851851851852,0.9050434782608696,0.8260869565217391,0.9280575539568345,0.8606211180124224,0.8012422360248447,0.92
