low_threshold,high_threshold,coverage,precision_high_confidence_positive,effective_recall,uncertain_pct,n_uncertain,trial_id
0.40000000000000013,0.6000000000000001,0.965034965034965,1.0,0.9751552795031055,0.03496503496503497,10,V3_T01_control_replay_parent
0.45000000000000007,0.55,0.958041958041958,0.9064748201438849,0.782608695652174,0.04195804195804196,12,V3_T02_compact_pruned_specificity_first
0.45000000000000007,0.55,0.9335664335664335,0.9370629370629371,0.8322981366459627,0.06643356643356643,19,V3_T03_low_missingness_specific_subset
0.45000000000000007,0.55,0.9265734265734266,0.9280575539568345,0.8012422360248447,0.07342657342657342,21,V3_T04_comorbidity_aware_conservative_subset
0.45000000000000007,0.7500000000000002,0.9055944055944056,0.927536231884058,0.7950310559006211,0.0944055944055944,27,V3_T05_calibration_refinement
0.45000000000000007,0.6000000000000001,0.972027972027972,1.0,0.9751552795031055,0.027972027972027972,8,V3_T06_threshold_refinement
0.45000000000000007,0.55,0.9335664335664335,0.9225352112676056,0.8136645962732919,0.06643356643356643,19,V3_T07_abstention_assisted_operating_mode
0.25,0.75,0.0,0.0,0.0,1.0,286,V3_T08_ultra_compact_thesis_variant
0.45000000000000007,0.6000000000000001,0.9790209790209791,1.0,0.9875776397515528,0.02097902097902098,6,V3_T09_optional_research_context
0.45000000000000007,0.7000000000000002,0.9335664335664335,0.9219858156028369,0.8074534161490683,0.06643356643356643,19,V3_T10_stop_condition_control
