mode,domain,profile_name,config_id,calibration,threshold_policy,selected_seed,n_features,precision_new,recall_new,specificity_new,balanced_accuracy_new,f1,roc_auc,pr_auc_new,brier_new,seed_std,split_std,realism_shift_delta,missingness_sensitivity,partial_questionnaire_sensitivity,uncertainty_rate,high_conf_precision,high_conf_coverage,input_missing_ratio,overfit_risk,leakage_risk,precision_base,recall_base,specificity_base,balanced_accuracy_base,pr_auc_base,brier_base,delta_precision,delta_recall,delta_specificity,delta_balanced_accuracy,delta_pr_auc,delta_brier,ceiling_status
caregiver,adhd,hardened_missing,rf_recall,isotonic,precision_guarded,11,22,0.9432408077280912,0.8245341614906831,0.9359999999999999,0.8802670807453417,0.8798666840368248,0.9520186335403726,0.9539088179306233,0.08405967032903965,0.0019992958136871132,0.0032236024844720657,0.0032236024844720657,0.0096024844720497,0.0038913043478260995,0.07692307692307693,0.9432408077280912,0.916958041958042,0.04243483788938334,low,low,0.9248695444040412,0.8400621118012422,0.912,0.8760310559006211,0.9575681689366806,0.0847429765820998,0.018371263324049925,-0.015527950310559091,0.02399999999999991,0.004236024844720521,-0.0036593510060572987,-0.0006833062530601508,marginal_improvement
caregiver,conduct,base,rf_recall,isotonic,balanced,11,21,0.9654598825831702,0.8625,0.9878640776699029,0.9251820388349514,0.9109803921568628,0.981811286407767,0.9493139037978213,0.04031972502557605,0.0036407766990291246,0.00364077669902918,-0.00364077669902918,-0.002639563106796111,0.017149575242718457,0.0743006993006993,0.9753982226693495,0.8811188811188811,0.032134532134532136,low,low,0.9788690476190476,0.8625,0.992718446601942,0.9276092233009708,0.9482241108631788,0.0406218010656916,-0.013409165035877413,0.0,-0.004854368932039055,-0.0024271844660194164,0.0010897929346425084,-0.0003020760401155481,near_ceiling
caregiver,elimination,base,rf_base,isotonic,precision_guarded,83,16,0.9252237551302973,0.6149068322981367,0.936,0.7754534161490684,0.7387795315008934,0.8738385093167701,0.8789669142997045,0.1486804253473016,0.0038035555012160996,0.006211180124223614,0.006211180124223614,0.016509316770186327,0.1253136645962733,0.2517482517482518,0.9252237551302973,0.7473776223776224,0.031031468531468535,low,low,0.9104668823226808,0.6832298136645963,0.912,0.7976149068322982,0.8735884786250765,0.1478987401257262,0.014756872807616506,-0.06832298136645965,0.02400000000000002,-0.022161490683229812,0.005378435674628035,0.0007816852215754011,marginal_improvement
caregiver,anxiety,base,rf_recall,isotonic,balanced,47,37,0.7822192110809998,0.9659090909090909,0.9193181818181819,0.9426136363636364,0.8644052215480788,0.9772555096418731,0.9396720372726228,0.034627991692146455,0.003725817343353417,0.0035984848484849064,-0.0035984848484849064,0.019318181818181845,0.036458333333333384,0.006118881118881119,0.7846497666365553,0.9921328671328671,0.08542808542808543,low,low,0.7826388888888889,0.9545454545454546,0.9204545454545456,0.9375,0.9443127948407763,0.0399799030840308,-0.00041967780788909614,0.011363636363636354,-0.001136363636363713,0.005113636363636376,-0.00464075756815352,-0.005351911391884345,marginal_improvement
caregiver,depression,base,rf_stability,isotonic,precision_guarded,83,17,0.9295979545053783,0.8608695652173913,0.956140350877193,0.9085049580472921,0.8939097468509234,0.9754767353165522,0.9561651613249753,0.058168737152042085,0.0014619883040936088,0.0014619883040936088,0.0014619883040936088,0.01855453852021363,0.010983981693363828,0.07692307692307693,0.9294407218009757,0.9222027972027972,0.06705059646236118,low,low,0.8698144208303379,0.9239130434782608,0.904970760233918,0.9144419018560894,0.9595394601650448,0.0586589386668716,0.05978353367504041,-0.06304347826086942,0.051169590643274976,-0.005936943808797279,-0.0033742988400694562,-0.000490201514829515,regression
psychologist,adhd,base,rf_recall,isotonic,precision_guarded,29,35,0.9496350170502984,0.8167701863354037,0.944,0.8803850931677017,0.8780854582707754,0.9521987577639752,0.9543408280682517,0.08350877809647886,0.0016965051434600321,0.0015527950310558758,0.0015527950310558758,0.0071428571428571175,0.005372670807453406,0.0638111888111888,0.9527741917377639,0.9353146853146853,0.36333666333666326,low,low,0.9417662520784932,0.8260869565217391,0.934,0.8800434782608696,0.9562292715567322,0.083546166857838,0.00786876497180522,-0.009316770186335477,0.009999999999999898,0.000341614906832155,-0.0018884434884804957,-3.738876135914171e-05,near_ceiling
psychologist,conduct,base,rf_hardened,isotonic,balanced,29,23,0.9393581081081082,0.86875,0.9781553398058254,0.9234526699029126,0.9026125614623068,0.9763273665048544,0.9435313322596883,0.042716531738808,0.0025688697646540494,0.0005157766990291357,-0.0005157766990291357,-0.0016080097087378675,0.01429763349514565,0.04370629370629371,0.9550513698630136,0.9012237762237763,0.033140772271207056,low,low,0.945608108108108,0.8656250000000001,0.9805825242718448,0.9231037621359224,0.9416435072258528,0.0435825897140044,-0.006249999999999867,0.0031249999999999334,-0.0024271844660194164,0.0003489077669902585,0.0018878250338355551,-0.0008660579751963993,near_ceiling
psychologist,elimination,base,rf_base,isotonic,precision_guarded,29,17,0.9259039501501148,0.6211180124223603,0.936,0.7785590062111802,0.7434339330303228,0.866503105590062,0.8691559921563954,0.14901469978806328,0.005810026998096163,1.1102230246251565e-16,1.1102230246251565e-16,-0.029521739130434793,0.1237080745341615,0.14423076923076925,0.9255733443149219,0.743006993006993,0.03187988482106129,low,low,0.9199688088745804,0.6521739130434783,0.926,0.7890869565217393,0.8745939418111452,0.1485723219667875,0.005935141275534406,-0.03105590062111796,0.010000000000000009,-0.010527950310559087,-0.005437949654749863,0.00044237782127579117,regression
psychologist,anxiety,base,rf_precision,isotonic,balanced,29,260,0.9848484848484849,0.9848484848484849,0.9954545454545455,0.9901515151515152,0.9848484848484849,0.9987000688705234,0.9916243819767729,0.005041320968938477,0.0,0.0,0.0,-0.0007575757575757069,0.24469696969696977,0.01486013986013986,0.9848484848484849,0.9842657342657343,0.1302716514254976,low,low,0.9220321931589536,0.9848484848484848,0.975,0.9799242424242424,0.971228550644736,0.013607893732933,0.06281629168953129,1.1102230246251565e-16,0.020454545454545503,0.010227272727272863,0.02039583133203693,-0.008566572763994522,material_improvement
psychologist,depression,base,rf_recall,isotonic,precision_guarded,11,18,0.9359367440735364,0.8565217391304348,0.9605263157894737,0.9085240274599542,0.89445602745361,0.9759344012204425,0.9522878371578019,0.05839742264860056,0.004940981765586202,0.001442918891431555,-0.001442918891431555,0.015744978387999015,0.015913424866514092,0.07867132867132867,0.9402873619328098,0.9187062937062938,0.06721056721056723,low,low,0.8595345656498674,0.9369565217391304,0.8961988304093568,0.9165776760742436,0.9552884806885966,0.0583412771209099,0.07640217842366903,-0.08043478260869552,0.0643274853801169,-0.008053648614289366,-0.0030006435307947665,5.61455276906625e-05,regression
