mode,domain,pre_fix_precision,post_fix_precision,pre_fix_recall,post_fix_recall,pre_fix_specificity,post_fix_specificity,pre_fix_balanced_accuracy,post_fix_balanced_accuracy,pre_fix_f1,post_fix_f1,pre_fix_roc_auc,post_fix_roc_auc,pre_fix_pr_auc,post_fix_pr_auc,pre_fix_brier,post_fix_brier,delta_balanced_accuracy,delta_recall,delta_brier
caregiver,adhd,0.9370629370629371,0.9370629370629371,0.8322981366459627,0.8322981366459627,0.928,0.928,0.8801490683229813,0.8801490683229813,0.881578947368421,0.881578947368421,0.9482236024844721,0.9482236024844721,0.9492579851417824,0.9492579851417824,0.0850838599179277,0.0850838599179277,0.0,0.0,0.0
caregiver,conduct,0.9722222222222222,0.9722222222222222,0.875,0.875,0.9902912621359223,0.9902912621359223,0.9326456310679612,0.9326456310679612,0.9210526315789473,0.9210526315789473,0.9781856796116506,0.9781856796116506,0.9506155220991502,0.9506155220991502,0.03887678094851874,0.03887678094851874,0.0,0.0,0.0
caregiver,elimination,0.9482758620689655,0.9482758620689655,0.6832298136645962,0.6832298136645962,0.952,0.952,0.8176149068322981,0.8176149068322981,0.7942238267148014,0.7942238267148014,0.876944099378882,0.876944099378882,0.8924968973196012,0.8924968973196012,0.13260211050510406,0.13260211050510406,0.0,0.0,0.0
caregiver,anxiety,0.8666666666666667,0.8666666666666667,0.9848484848484849,0.9848484848484849,0.9545454545454546,0.9545454545454546,0.9696969696969697,0.9696969696969697,0.9219858156028369,0.9219858156028369,0.9890840220385675,0.9890840220385675,0.9685576242660336,0.9685576242660336,0.02223672572380793,0.02223672572380793,0.0,0.0,0.0
caregiver,depression,0.8333333333333334,0.8587230387478526,0.9565217391304348,0.9464882943143813,0.8713450292397661,0.8951866846603688,0.9139333841851005,0.920837489487375,0.8906882591093117,0.9003474708196765,0.9782354436816679,0.9793972109761584,0.9591369712178661,0.9607701913017563,0.05863779944317288,0.05787429266590875,0.006904105302274477,-0.010033444816053505,-0.0007635067772641252
psychologist,adhd,0.9568345323741008,0.9568345323741008,0.8260869565217391,0.8260869565217391,0.952,0.952,0.8890434782608696,0.8890434782608696,0.8866666666666667,0.8866666666666667,0.9531428571428572,0.9531428571428572,0.9559246212452905,0.9559246212452905,0.08343369867599568,0.08343369867599568,0.0,0.0,0.0
psychologist,conduct,0.9722222222222222,0.9722222222222222,0.875,0.875,0.9902912621359223,0.9902912621359223,0.9326456310679612,0.9326456310679612,0.9210526315789473,0.9210526315789473,0.9756674757281554,0.9756674757281554,0.938253816271466,0.938253816271466,0.03831887901677492,0.03831887901677492,0.0,0.0,0.0
psychologist,elimination,0.9416666666666667,0.9416666666666667,0.7018633540372671,0.7018633540372671,0.944,0.944,0.8229316770186335,0.8229316770186335,0.8042704626334519,0.8042704626334519,0.8799006211180124,0.8799006211180124,0.8998706446315464,0.8998706446315464,0.1356692469342928,0.1356692469342928,0.0,0.0,0.0
psychologist,anxiety,0.9850746268656716,0.9850746268656716,1.0,1.0,0.9954545454545455,0.9954545454545455,0.9977272727272728,0.9977272727272728,0.9924812030075187,0.9924812030075187,1.0,1.0,1.0,1.0,0.0022034291438283713,0.0022034291438283713,0.0,0.0,0.0
psychologist,depression,0.8333333333333334,0.8587230387478526,0.9565217391304348,0.9464882943143813,0.8713450292397661,0.8951866846603688,0.9139333841851005,0.920837489487375,0.8906882591093117,0.9003474708196765,0.9782354436816679,0.9793972109761584,0.9591369712178661,0.9607701913017563,0.05863779944317288,0.05787429266590875,0.006904105302274477,-0.010033444816053505,-0.0007635067772641252
