domain,mode,active_model_id,promotion_decision,feature_set_id_new,delta_precision,delta_recall,delta_balanced_accuracy,delta_pr_auc,delta_brier
anxiety,psychologist_1_3,anxiety__psychologist_1_3__rebuild_v2__rf__engineered_full,HOLD_FOR_LIMITATION,engineered_full,-0.10602006688963228,0.18604651162790697,0.07906386495100926,0.013059152290860743,-0.001971533214695141
depression,caregiver_1_3,depression__caregiver_1_3__rebuild_v2__rf__precision_oriented_subset,HOLD_FOR_LIMITATION,stability_pruned_subset,-0.10503556981447904,0.25609756097560976,0.10417943375413652,0.0009728386269164391,0.0022954219262477787
depression,psychologist_1_3,depression__psychologist_1_3__rebuild_v2__rf__stability_pruned_subset,HOLD_FOR_LIMITATION,stability_pruned_subset,-0.0740640991112308,0.060975609756097504,0.01792499080769705,0.021088516949000713,0.0036573371438994237
