domain,role,mode,active_model_id,stress_type,base_f1,stress_f1,delta_f1,base_balanced_accuracy,stress_balanced_accuracy,delta_balanced_accuracy,dropped_features,top1_importance_share,top3_importance_share
anxiety,caregiver,caregiver_1_3,anxiety__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top3_drop,0.8700564971751412,0.0,-0.8700564971751412,0.9299079211427222,0.5,-0.42990792114272225,eng_anxiety_core_mean|eng_internalizing_index|eng_depression_core_mean,0.21685553440506222,0.5065758752667631
anxiety,caregiver,caregiver_2_3,anxiety__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,missingness_10pct,0.8402366863905325,0.7412587412587412,-0.09897794513179126,0.8975622712784795,0.8030633927517412,-0.09449887852673833,,,
anxiety,caregiver,caregiver_2_3,anxiety__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top1_drop,0.8402366863905325,0.7058823529411765,-0.134354333449356,0.8975622712784795,0.7765316963758706,-0.12103057490260893,gad_difficulty_controlling_worry,0.09375,0.21875
anxiety,caregiver,caregiver_2_3,anxiety__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top3_drop,0.8402366863905325,0.0,-0.8402366863905325,0.8975622712784795,0.5,-0.39756227127847954,gad_difficulty_controlling_worry|sep_anx_03_worry_event_causing_separation|adhd_hypimp_05_driven_by_motor,0.09375,0.21875
anxiety,caregiver,caregiver_full,anxiety__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,missingness_10pct,0.8187134502923976,0.7733333333333333,-0.0453801169590643,0.8879412111911227,0.8295950891276118,-0.058346122063510863,,,
anxiety,caregiver,caregiver_full,anxiety__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top1_drop,0.8187134502923976,0.704225352112676,-0.11448809817972161,0.8879412111911227,0.7830834612206351,-0.10485774997048758,gad_excessive_worry_multiple_areas,0.09375,0.21875
anxiety,caregiver,caregiver_full,anxiety__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top3_drop,0.8187134502923976,0.3269230769230769,-0.4917903733693207,0.8879412111911227,0.5975681737693307,-0.290373037421792,gad_excessive_worry_multiple_areas|mdd_07_worthlessness_or_excessive_guilt|mdd_04_sleep_change,0.09375,0.21875
anxiety,psychologist,psychologist_1_3,anxiety__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,missingness_10pct,0.8352941176470589,0.8048780487804879,-0.030416068866571,0.8962932357454846,0.8684925038366191,-0.02780073190886545,,,
anxiety,psychologist,psychologist_1_3,anxiety__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top1_drop,0.8352941176470589,0.8208092485549133,-0.014484869092145525,0.8962932357454846,0.8924861291464998,-0.0038071065989847552,social_anxiety_avoid_or_endure_intense,0.17142857142857143,0.42857142857142855
anxiety,psychologist,psychologist_1_3,anxiety__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top3_drop,0.8352941176470589,0.0,-0.8352941176470589,0.8962932357454846,0.5,-0.3962932357454846,social_anxiety_avoid_or_endure_intense|social_anxiety_fear_interactions|sep_anx_01_distress_on_separation,0.17142857142857143,0.42857142857142855
anxiety,psychologist,psychologist_2_3,anxiety__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,missingness_10pct,0.8372093023255814,0.7692307692307693,-0.06797853309481217,0.9008381537008618,0.8361468539723764,-0.06469129972848542,,,
anxiety,psychologist,psychologist_2_3,anxiety__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top1_drop,0.8372093023255814,0.8176100628930818,-0.019599239432499638,0.9008381537008618,0.8677546924802266,-0.03308346122063521,agor_fear_04_crowds_queues,0.09677419354838708,0.2258064516129032
anxiety,psychologist,psychologist_2_3,anxiety__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top3_drop,0.8372093023255814,0.8176100628930818,-0.019599239432499638,0.9008381537008618,0.8677546924802266,-0.03308346122063521,agor_fear_04_crowds_queues|gad_assoc_06_sleep_problems|sep_anx_06_refuses_sleep_away_or_alone,0.09677419354838708,0.2258064516129032
anxiety,psychologist,psychologist_full,anxiety__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,missingness_10pct,0.7662337662337663,0.592,-0.1742337662337663,0.8316019360169992,0.7125782080037776,-0.11902372801322159,,,
anxiety,psychologist,psychologist_full,anxiety__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top1_drop,0.7662337662337663,0.5691056910569106,-0.1971280751768557,0.8316019360169992,0.7009503010270334,-0.1306516349899658,sep_anx_02_worry_losing_attachment_figures,0.07692307692307693,0.23076923076923078
anxiety,psychologist,psychologist_full,anxiety__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top3_drop,0.7662337662337663,0.0,-0.7662337662337663,0.8316019360169992,0.5,-0.33160193601699917,sep_anx_02_worry_losing_attachment_figures|pdd_01_appetite_change|adhd_hypimp_04_cannot_play_quietly,0.07692307692307693,0.23076923076923078
conduct,caregiver,caregiver_1_3,conduct__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,missingness_10pct,0.8902077151335311,0.8787878787878788,-0.011419836345652357,0.9265625,0.9140625,-0.012499999999999956,,,
conduct,caregiver,caregiver_1_3,conduct__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,top1_drop,0.8902077151335311,0.8746177370030581,-0.015589978130473026,0.9265625,0.909375,-0.01718749999999991,conduct_09_property_destruction,0.1771339366496858,0.4058562589644231
