mode,strategy,threshold,precision,recall,specificity,balanced_accuracy,f1,pr_auc,brier,uncertain_rate,uncertainty_usefulness,output_realism_score,n_features
caregiver,subtype_union_rf,0.575,0.9009009009009009,0.6211180124223602,0.912,0.7665590062111801,0.7352941176470589,0.901570093424153,0.14938000136454307,0.055944055944055944,0.7263888888888889,0.8038461538461539,29
psychologist,subtype_union_rf,0.505,0.907563025210084,0.6708074534161491,0.912,0.7914037267080746,0.7714285714285715,0.8996877067476445,0.15227665211026947,0.25874125874125875,0.3361805201427843,0.8276223776223777,24
