mode,scenario,threshold_used,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,uncertain_rate,uncertainty_usefulness,output_realism_score,delta_ba_vs_selected_operating
caregiver,baseline_clean,0.44500000000000006,0.8776978417266187,0.7577639751552795,0.864,0.8108819875776397,0.8133333333333334,0.8824347826086958,0.9134947186243835,0.13807719649806982,0.13986013986013987,0.29552845528455285,0.8216783216783217,0.0
caregiver,borderline_cases_threshold_pm_0.08,0.44500000000000006,1.0,0.05263157894736842,1.0,0.5263157894736842,0.1,0.8170426065162908,0.8501144164759724,0.23786686257710574,1.0,0.45,1.0,-0.28456619810395556
caregiver,cbcl_coverage_drop,0.44500000000000006,0.9411764705882353,0.4968944099378882,0.96,0.7284472049689441,0.6504065040650406,0.8678260869565217,0.9051344496369861,0.16933654173315957,0.2972027972027972,0.5597892888498683,0.887062937062937,-0.08243478260869563
caregiver,feature_perturbation_5pct_std,0.44500000000000006,0.8759124087591241,0.7453416149068323,0.864,0.8046708074534161,0.8053691275167785,0.8761987577639753,0.9097925061857743,0.14134186568959253,0.15034965034965034,0.30873767824672216,0.8097902097902098,-0.006211180124223614
caregiver,missingness_light_10pct,0.44500000000000006,0.875,0.7391304347826086,0.864,0.8015652173913044,0.8013468013468014,0.8734161490683231,0.9010265570965532,0.1435438710215332,0.16783216783216784,0.32790616246498605,0.8276223776223777,-0.009316770186335366
caregiver,missingness_moderate_25pct,0.44500000000000006,0.8991596638655462,0.6645962732919255,0.904,0.7842981366459627,0.7642857142857142,0.8696149068322981,0.8978436479952615,0.14863237295082898,0.2867132867132867,0.37745098039215685,0.8751748251748251,-0.026583850931677033
caregiver,partial_coverage_40pct,0.44500000000000006,0.9252336448598131,0.6149068322981367,0.936,0.7754534161490684,0.7388059701492538,0.8800496894409938,0.9027130242697093,0.1518653628610418,0.3321678321678322,0.42160374758886743,0.9108391608391608,-0.035428571428571365
caregiver,source_mix_shift,0.44500000000000006,0.9044117647058824,0.7639751552795031,0.896,0.8299875776397516,0.8282828282828283,0.8947329192546585,0.9276252221206291,0.1276754705501392,0.16433566433566432,0.2958248019229057,0.8632867132867132,0.019105590062111877
caregiver,threshold_stress_minus_0.05,0.3950000000000001,0.7954545454545454,0.8695652173913043,0.712,0.7907826086956522,0.8308605341246291,0.8824347826086958,0.9134947186243835,0.13807719649806982,0.15384615384615385,0.30165289256198347,0.8692307692307693,-0.02009937888198754
caregiver,threshold_stress_plus_0.05,0.49500000000000005,0.8768115942028986,0.7515527950310559,0.864,0.8077763975155279,0.8093645484949833,0.8824347826086958,0.9134947186243835,0.13807719649806982,0.08741258741258741,0.5705747126436781,0.7979020979020979,-0.0031055900621118626
psychologist,baseline_clean,0.6000000000000001,0.8794326241134752,0.7701863354037267,0.864,0.8170931677018634,0.8211920529801324,0.881167701863354,0.9132128081056157,0.136763096948949,0.017482517482517484,0.4185053380782918,0.7681818181818182,0.0
psychologist,cbcl_coverage_drop,0.6000000000000001,0.9148936170212766,0.5341614906832298,0.936,0.7350807453416149,0.6745098039215687,0.8773167701863354,0.9106373421686438,0.16362718954188776,0.038461538461538464,0.5490909090909091,0.6849650349650349,-0.08201242236024842
psychologist,feature_perturbation_5pct_std,0.6000000000000001,0.8811188811188811,0.782608695652174,0.864,0.823304347826087,0.8289473684210527,0.8813913043478261,0.9135510858536858,0.13575908257104602,0.006993006993006993,-0.18309859154929578,0.6642667191962967,0.006211180124223614
psychologist,missingness_light_10pct,0.6000000000000001,0.8768115942028986,0.7515527950310559,0.864,0.8077763975155279,0.8093645484949833,0.8822857142857143,0.9148391220754915,0.1364223001381216,0.017482517482517484,0.8149466192170819,0.786013986013986,-0.009316770186335477
psychologist,missingness_moderate_25pct,0.6000000000000001,0.8768115942028986,0.7515527950310559,0.864,0.8077763975155279,0.8093645484949833,0.8708819875776397,0.9020327394339253,0.145079628786085,0.027972027972027972,0.3093525179856115,0.786013986013986,-0.009316770186335477
psychologist,partial_coverage_40pct,0.6000000000000001,0.8727272727272727,0.5962732919254659,0.888,0.742136645962733,0.7084870848708487,0.8454658385093168,0.874344250558059,0.1656137462737372,0.055944055944055944,0.4356481481481482,0.7265734265734266,-0.07495652173913037
psychologist,source_mix_shift,0.6000000000000001,0.8873239436619719,0.782608695652174,0.872,0.827304347826087,0.8316831683168316,0.8808198757763975,0.9102177161003868,0.13306484452245923,0.017482517482517484,0.6327402135231317,0.7741258741258741,0.010211180124223618
psychologist,threshold_stress_minus_0.05,0.55,0.8758620689655172,0.7888198757763976,0.856,0.8224099378881988,0.8300653594771242,0.881167701863354,0.9132128081056157,0.136763096948949,0.027972027972027972,0.07014388489208634,0.7800699300699301,0.005316770186335473
psychologist,threshold_stress_plus_0.05,0.6500000000000001,0.8785714285714286,0.7639751552795031,0.864,0.8139875776397516,0.8172757475083057,0.881167701863354,0.9132128081056157,0.136763096948949,0.017482517482517484,0.41494661921708187,0.7681818181818182,-0.0031055900621117516
