domain,role,mode,active_model_id,precision_boot_mean,precision_boot_ci_low,precision_boot_ci_high,recall_boot_mean,recall_boot_ci_low,recall_boot_ci_high,balanced_accuracy_boot_mean,balanced_accuracy_boot_ci_low,balanced_accuracy_boot_ci_high,f1_boot_mean,f1_boot_ci_low,f1_boot_ci_high,brier_boot_mean,brier_boot_ci_low,brier_boot_ci_high
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.711804805188119,0.6354381340362648,0.7900912698412699,0.9249238293949791,0.8680952380952381,0.9750225903614458,0.9179197663236003,0.8849749531065714,0.9460615360780366,0.8037326306406497,0.7499679487179487,0.8619246861924686,0.06412922589354457,0.05179141508064106,0.07923537568947335
adhd,caregiver,caregiver_2_3,adhd__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.6826441283806937,0.6079851851851852,0.7626196680450915,0.9455538196521971,0.8986796158882584,0.9900206422018348,0.9204993856158452,0.8853403803290945,0.9489264825979392,0.7920940500271225,0.7416435185185185,0.8493420343005069,0.0790698957459022,0.06327639942082222,0.09543340942133655
adhd,caregiver,caregiver_full,adhd__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.6966395728791961,0.6231389986824769,0.7716636753126447,0.9351934202216142,0.8875547013601419,0.9804015837104072,0.919169277153215,0.8862320574162679,0.9445440198916226,0.7977525842924668,0.7409995784794605,0.8521810406272273,0.07605697509012242,0.06184455824458456,0.09407549171865615
adhd,psychologist,psychologist_1_3,adhd__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.698001867968549,0.6194403161521312,0.7768575968523003,0.9259059486607141,0.8680952380952381,0.972847293156282,0.9135111763034194,0.8836204021530079,0.9364200472466602,0.7952380403059742,0.7374035043169122,0.8479334677419355,0.07768506471200981,0.06133810418240037,0.09498894977504871
adhd,psychologist,psychologist_2_3,adhd__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.8271300119714722,0.7474103277674706,0.8980782085561498,0.8504441327059874,0.7754557823129251,0.915859853121175,0.9040808809502412,0.8648372152522273,0.9373193270702109,0.8378821814785727,0.7763350799195511,0.8899890635680109,0.04058176324005434,0.028329549588028427,0.056005578992818494
adhd,psychologist,psychologist_full,adhd__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.7185443235494774,0.6392336716107209,0.7928076837167747,0.9155726727972302,0.8570211038961039,0.9570081781008632,0.9143377860677514,0.8781905835787923,0.9408902987475897,0.8045430855813624,0.7418450406994272,0.8571754729288975,0.09419580182846019,0.08304063348232035,0.10964423633564539
anxiety,caregiver,caregiver_1_3,anxiety__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.844548416802261,0.7681329849012776,0.9167297979797979,0.8953095037026007,0.8388351555929352,0.963896967179061,0.9297714377994464,0.898241194297656,0.9658338471197792,0.868513632455041,0.8134965850408129,0.9230994152046784,0.03764551321387523,0.0247986681004936,0.049852567090000244
anxiety,caregiver,caregiver_2_3,anxiety__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.8535809410087467,0.7776190476190477,0.9271939212328768,0.82491906490316,0.7415268585501,0.9029301672710259,0.8970111309697198,0.8590508011621663,0.9392204504943678,0.8382097538365922,0.7777272727272727,0.8930104617604618,0.13256451984968137,0.12678248025006608,0.13933473881784483
anxiety,caregiver,caregiver_full,anxiety__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.8185510866212556,0.733828744263663,0.8942078877005348,0.81367613602255,0.7246251874062969,0.8948116028708134,0.8872884838217736,0.843191957983316,0.9313302630464818,0.8152546643360219,0.7474365274365274,0.8735784425667961,0.13641180496395497,0.12951354558622719,0.14270294008425055
anxiety,psychologist,psychologist_1_3,anxiety__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,0.8507174152042996,0.7763589332556106,0.9222644927536232,0.8258230981979764,0.7283670033670033,0.8979156698564593,0.8970116920500821,0.8544751108621722,0.9335709084400777,0.83734067090533,0.7716923524280314,0.891329431438127,0.1194867113572596,0.11170630439891668,0.1267476916443759
