domain,selected_target_column,source_column_or_rule,selection_status,selection_rationale,candidates_considered,candidate_columns_present,n_positive,n_negative,positive_rate,por_confirmar_note
adhd,target_domain_adhd_final,adhd_final_dsm5_threshold_met,selected,first defendable candidate available,adhd_final_dsm5_threshold_met|adhd_inattention_threshold_child|adhd_hyperimpulsive_threshold_child,adhd_final_dsm5_threshold_met|adhd_inattention_threshold_child|adhd_hyperimpulsive_threshold_child,470,1930,0.19583333333333333,
conduct,target_domain_conduct_final,conduct_final_dsm5_threshold_met,selected,first defendable candidate available,conduct_final_dsm5_threshold_met|conduct_threshold_met,conduct_final_dsm5_threshold_met|conduct_threshold_met,798,1602,0.3325,
elimination,target_domain_elimination_final,elimination_any_threshold_met,selected,first defendable candidate available,elimination_any_threshold_met|enuresis_threshold_met|encopresis_threshold_met,elimination_any_threshold_met|enuresis_threshold_met|encopresis_threshold_met,259,2141,0.10791666666666666,
anxiety,target_domain_anxiety_final,anxiety_any_module_threshold_met,selected,first defendable candidate available,anxiety_any_module_threshold_met|sep_anx_threshold_met|social_anxiety_threshold_met|gad_threshold_met_child|agor_threshold_met,anxiety_any_module_threshold_met|sep_anx_threshold_met|social_anxiety_threshold_met|gad_threshold_met_child|agor_threshold_met,430,1970,0.17916666666666667,
depression,target_domain_depression_final,target_domain_depression_final,selected,OR aggregation of MDD/DMDD/PDD thresholds for external depression domain,target_domain_depression_final|mdd_threshold_met|dmdd_threshold_met|pdd_threshold_met_child,target_domain_depression_final|mdd_threshold_met|dmdd_threshold_met|pdd_threshold_met_child,409,1991,0.17041666666666666,
