mode,role,domain,baseline_config,baseline_feature_set_id,baseline_seed,winner_config_id,winner_feature_set_id,winner_calibration,winner_threshold_policy,delta_precision,delta_recall,delta_balanced_accuracy,delta_pr_auc,delta_brier,material_improvement
caregiver_1_3,caregiver,adhd,rf_baseline,full_eligible,20260712,rf_regularized,precision_oriented_subset,isotonic,balanced,-0.052727272727272734,0.2021276595744681,0.07386175724837396,0.0017800478130948205,0.0007248307304094509,yes
caregiver_1_3,caregiver,anxiety,rf_baseline,full_eligible,20260712,rf_recall_guard,compact_robust_subset,isotonic,precision_min_recall,0.04492753623188406,-0.05813953488372092,-0.023993625309880917,-0.0349633804739915,-0.0009740777365146655,no
caregiver_1_3,caregiver,conduct,rf_baseline,full_eligible,20260712,rf_baseline,full_eligible,isotonic,precision_min_recall,0.005358462675535858,0.0,0.0015625000000000222,-0.0158334681576503,0.0006640000082533265,no
caregiver_1_3,caregiver,depression,rf_baseline,full_eligible,20260712,rf_recall_guard,precision_oriented_subset,isotonic,recall_guard,-0.07292707292707301,0.060975609756097504,0.019181272214732203,-0.051404324943585156,0.0011020376288328124,yes
caregiver_1_3,caregiver,elimination,rf_baseline,full_eligible,20260712,rf_precision_push,stability_pruned_subset,none,default_0_5,-0.09696969696969693,0.26923076923076916,0.1252695902228611,0.03246971579050173,-0.01354034051484948,yes
caregiver_2_3,caregiver,adhd,rf_baseline,full_eligible,20260712,rf_positive_push_strong,stability_pruned_subset,isotonic,default_0_5,-0.04413291796469365,0.0957446808510638,0.0349189725498843,0.03508673567068843,-0.009405807684813472,yes
caregiver_2_3,caregiver,anxiety,rf_baseline,full_eligible,20260712,rf_positive_push_strong,precision_oriented_subset,isotonic,precision_min_recall,0.03749999999999998,0.03488372093023262,0.021248967064101065,-0.013653396990049083,-0.012922208739207124,yes
caregiver_2_3,caregiver,conduct,rf_baseline,full_eligible,20260712,rf_positive_push_strong,stability_pruned_subset,isotonic,balanced,0.0,0.012499999999999956,0.006249999999999978,0.0009668439004815177,-0.017367296875496843,no
caregiver_2_3,caregiver,depression,rf_baseline,full_eligible,20260712,rf_precision_push,full_eligible,isotonic,balanced,-0.09931506849315064,0.12195121951219512,0.044643951464640286,0.006141943234138081,-0.0035915454270670083,yes
caregiver_2_3,caregiver,elimination,rf_baseline,full_eligible,20260712,rf_positive_push_strong,precision_oriented_subset,isotonic,balanced,0.0011320754716981352,0.05769230769230771,0.028846153846153966,0.002897602828113355,-0.01622847660422618,yes
caregiver_full,caregiver,adhd,rf_baseline,full_eligible,20260712,rf_positive_push_strong,compact_robust_subset,isotonic,default_0_5,-0.04387878787878785,0.15957446808510645,0.06553852937934079,0.03254331736588634,-0.014685826117584948,yes
caregiver_full,caregiver,anxiety,rf_baseline,full_eligible,20260712,rf_positive_push_strong,balanced_subset,isotonic,balanced,-0.01293952180028135,0.10465116279069775,0.04978751032935913,-0.013931327267619698,-0.006391226763357922,yes
caregiver_full,caregiver,conduct,rf_baseline,full_eligible,20260712,rf_positive_push_strong,stability_pruned_subset,isotonic,balanced,0.0062893081761006275,0.012499999999999956,0.0078125,0.001049073342550666,-0.02044344614484209,no
caregiver_full,caregiver,depression,rf_baseline,full_eligible,20260712,rf_positive_push_strong,precision_oriented_subset,isotonic,balanced,-0.008985507246376812,0.1585365853658537,0.07424316705478617,0.0352902473429052,-0.013231047123352227,yes
caregiver_full,caregiver,elimination,rf_baseline,full_eligible,20260712,rf_positive_push_strong,precision_oriented_subset,isotonic,balanced,0.039955604883462836,0.07692307692307687,0.040797987059669305,0.010770416745030875,-0.016829655881560976,yes
psychologist_1_3,psychologist,adhd,rf_baseline,full_eligible,20260712,rf_baseline,full_eligible,isotonic,default_0_5,-0.07062373006588263,0.18085106382978722,0.06063278580090403,-0.030961363982542567,-0.00032782951713465625,yes
psychologist_1_3,psychologist,anxiety,rf_baseline,full_eligible,20260712,rf_recall_guard,precision_oriented_subset,sigmoid,balanced,0.0,0.0,0.0,-0.005136700173468234,0.00335986324639128,no
psychologist_1_3,psychologist,conduct,rf_baseline,full_eligible,20260712,rf_baseline,full_eligible,isotonic,precision_min_recall,0.03198269079464988,-0.018750000000000044,-1.1102230246251565e-16,-0.010581458933888621,0.002701577425181685,yes
psychologist_1_3,psychologist,depression,rf_baseline,full_eligible,20260712,rf_recall_guard,balanced_subset,isotonic,default_0_5,-0.035189718482252164,0.060975609756097615,0.02420639784287293,-0.027733242150665527,0.0017444912350735448,yes
psychologist_1_3,psychologist,elimination,rf_baseline,full_eligible,20260712,rf_baseline,full_eligible,isotonic,default_0_5,-0.1315384615384616,0.34615384615384615,0.16256290438533427,-0.025790541500554043,-0.007935818982244342,yes
psychologist_2_3,psychologist,adhd,rf_baseline,full_eligible,20260712,rf_regularized,balanced_subset,isotonic,balanced,-0.05902777777777779,0.15957446808510634,0.06165251901664637,0.0009753600154899233,-0.011136106562875829,yes
psychologist_2_3,psychologist,anxiety,rf_baseline,full_eligible,20260712,rf_positive_push_strong,compact_robust_subset,isotonic,balanced,0.008147824821766347,0.09302325581395343,0.046511627906976605,-0.003912039748934504,-0.007897851191197045,yes
psychologist_2_3,psychologist,conduct,rf_baseline,full_eligible,20260712,rf_positive_push_strong,stability_pruned_subset,isotonic,balanced,0.012499999999999956,0.012499999999999956,0.009374999999999911,0.0008022951890875873,-0.018624603632381578,yes
psychologist_2_3,psychologist,depression,rf_baseline,full_eligible,20260712,rf_positive_push_strong,stability_pruned_subset,isotonic,precision_min_recall,0.06294452347083923,0.03658536585365857,0.024574089962005274,0.0030605297751926663,-0.007153648869953358,yes
psychologist_2_3,psychologist,elimination,rf_baseline,full_eligible,20260712,rf_positive_push_strong,balanced_subset,isotonic,balanced,0.0015402387370042625,0.07692307692307687,0.03846153846153855,0.005910508725634811,-0.01760264963881256,yes
psychologist_full,psychologist,adhd,rf_baseline,full_eligible,20260712,rf_positive_push_strong,full_eligible,isotonic,balanced,-0.003927344133529687,0.12765957446808507,0.06253445044647776,0.016868912547186254,-0.03544651095115371,yes
psychologist_full,psychologist,anxiety,rf_baseline,full_eligible,20260712,rf_positive_push_strong,balanced_subset,isotonic,default_0_5,-0.006403574087863073,0.05813953488372092,0.02780073190886556,-0.007789530202046757,-0.00537953975412853,yes
psychologist_full,psychologist,conduct,rf_baseline,full_eligible,20260712,rf_positive_push_strong,balanced_subset,isotonic,balanced,0.018867924528301883,0.025000000000000022,0.017187500000000022,0.0017075131731283388,-0.021368031980546945,yes
psychologist_full,psychologist,depression,rf_baseline,full_eligible,20260712,rf_precision_push,full_eligible,none,recall_guard,-0.005404520144120517,0.14634146341463417,0.06940188748621168,0.06338062362794838,-0.016621831858164612,yes
psychologist_full,psychologist,elimination,rf_baseline,full_eligible,20260712,rf_positive_push_strong,precision_oriented_subset,isotonic,balanced,0.05805515239477499,0.07692307692307687,0.041966211358734684,0.01374489932299261,-0.018776749759684602,yes
