mode,domain,delta_precision,delta_recall,delta_balanced_accuracy,delta_pr_auc,delta_brier,material_gain
caregiver,adhd,-0.19924080772809116,0.16482754063697647,0.07296299311641563,-0.18416637116212675,-0.030339482604953984,True
caregiver,anxiety,0.1288919000301113,-0.012420718816067544,0.0239782654189159,-0.006102700613770606,-0.009034053885408944,True
caregiver,conduct,0.03454011741682983,0.13749999999999996,0.07481796116504857,0.05068609620217879,-0.03990375959899441,True
caregiver,depression,-0.12525012841842187,0.041569459172852596,0.020101488821196778,-0.044579122607558586,-0.020180614289628078,True
caregiver,elimination,0.11271102284011913,0.18012422360248448,0.16889388750217682,0.08470138796252624,-0.13513300078820462,True
psychologist,adhd,-0.0011814088028757608,0.16195321791991546,0.1024999250221339,0.026533565362132805,-0.07286119633859942,True
psychologist,anxiety,-0.06720142602495538,-0.0778717406624383,-0.04554639178945652,-0.050533158264403855,0.023477015286419378,False
psychologist,conduct,0.06064189189189184,0.13124999999999998,0.07654733009708736,0.05646866774031156,-0.0427103115570384,True
psychologist,depression,-0.11035534872469921,0.009331919406150524,0.0055585807028109,-0.004539042288398076,-0.024743891533030617,False
psychologist,elimination,0.13357109986194204,0.1366459627329193,0.16715475706739424,0.0878361209325228,-0.134552844520451,True
