mode,role,domain,winner_feature_set_id,winner_config_id,winner_calibration,winner_threshold_policy,winner_threshold,winner_seed,n_features,top_features,selection_score,ceiling_status,material_improvement_vs_baseline,overfit_warning
caregiver_1_3,caregiver,adhd,precision_oriented_subset,rf_regularized,isotonic,balanced,0.05,20260712,24,adhd_inattention_symptom_count|adhd_hyperimpulsive_symptom_count|conduct_symptom_count_12m|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_03_seems_not_listening|adhd_inatt_08_easily_distracted,0.7167697784127542,marginal_room_left,yes,no
caregiver_1_3,caregiver,anxiety,compact_robust_subset,rf_recall_guard,isotonic,precision_min_recall,0.605,20260712,27,mdd_symptom_count|gad_difficulty_controlling_worry|gad_excessive_worry_multiple_areas|mdd_01_depressed_or_irritable_mood|mdd_07_worthlessness_or_excessive_guilt|mdd_09_death_or_suicidal_thoughts,0.8297839429657955,ceiling_reached,no,yes
caregiver_1_3,caregiver,conduct,full_eligible,rf_baseline,isotonic,precision_min_recall,0.5049999999999999,20260712,59,conduct_symptom_count_12m|conduct_recent_6m_count|conduct_aggression_count|conduct_destruction_count|conduct_serious_rule_violation_count|conduct_deceit_theft_count,0.8145816855288299,ceiling_reached,no,yes
caregiver_1_3,caregiver,depression,precision_oriented_subset,rf_recall_guard,isotonic,recall_guard,0.33499999999999996,20260712,24,mdd_symptom_count|mdd_core_symptom_met|mdd_02_loss_of_interest_or_pleasure|mdd_01_depressed_or_irritable_mood|mdd_03_weight_or_appetite_change|mdd_08_concentration_or_decision_difficulty,0.7739083578435069,marginal_room_left,yes,yes
caregiver_1_3,caregiver,elimination,stability_pruned_subset,rf_precision_push,none,default_0_5,0.5,20260712,30,enuresis_event_frequency_per_week|encopresis_event_frequency_per_month|dmdd_outbursts_frequency_per_week|adhd_hypimp_06_talks_excessively|adhd_hyperimpulsive_symptom_count|adhd_inatt_07_loses_things,0.843781905545818,marginal_room_left,yes,yes
caregiver_2_3,caregiver,adhd,stability_pruned_subset,rf_positive_push_strong,isotonic,default_0_5,0.5,20260712,56,adhd_inattention_symptom_count|adhd_hyperimpulsive_symptom_count|adhd_onset_before_12|adhd_impairment_max|adhd_impairment_school|age_years,0.7925326260804044,marginal_room_left,yes,yes
caregiver_2_3,caregiver,anxiety,precision_oriented_subset,rf_positive_push_strong,isotonic,precision_min_recall,0.5049999999999999,20260729,45,sep_anx_symptom_count|sep_anx_impairment|gad_assoc_symptom_count|mdd_symptom_count|sep_anx_duration_weeks|gad_impairment,0.8955061225640444,marginal_room_left,yes,no
caregiver_2_3,caregiver,conduct,stability_pruned_subset,rf_positive_push_strong,isotonic,balanced,0.05,20260712,56,conduct_impairment_global|conduct_symptom_count_12m|conduct_recent_6m_count|conduct_aggression_count|conduct_serious_rule_violation_count|conduct_deceit_theft_count,0.93999999999994,ceiling_reached,no,no
caregiver_2_3,caregiver,depression,full_eligible,rf_precision_push,isotonic,balanced,0.13,20260729,113,mdd_symptom_count|mdd_impairment|mdd_duration_weeks|pdd_duration_months_child|mdd_core_symptom_met|dmdd_duration_months,0.8490800987216208,marginal_room_left,yes,no
caregiver_2_3,caregiver,elimination,precision_oriented_subset,rf_positive_push_strong,isotonic,balanced,0.05,20260712,45,enuresis_distress_impairment|enuresis_event_frequency_per_week|encopresis_event_frequency_per_month|enuresis_duration_months_consecutive|encopresis_duration_months_consecutive|dmdd_outbursts_frequency_per_week,0.93999999999994,marginal_room_left,yes,no
