domain,hybrid_model_id,hybrid_scope,hybrid_balanced_accuracy_test,hybrid_precision_test,hybrid_recall_test,hybrid_specificity_test,prev_model_id,prev_balanced_accuracy_test,prev_precision_test,prev_recall_test,delta_balanced_accuracy,delta_precision,delta_recall
adhd,domain_adhd_research_full,research_extended_hybrid,1.0,1.0,1.0,1.0,dataset_adhd_minimal__research_extended,0.8992559523809525,,0.89375,0.10074404761904754,,0.10624999999999996
anxiety,domain_anxiety_strict_full,strict_no_leakage_hybrid,0.987878787878788,0.9701492537313432,0.9848484848484848,0.990909090909091,dataset_anxiety_parent__research_extended,0.9136904761904762,,0.9523809523809524,0.07418831168831186,,0.03246753246753231
conduct,domain_conduct_research_full,research_extended_hybrid,0.9888956310679612,0.9753086419753086,0.9875,0.9902912621359224,dataset_conduct_clinical__research_extended,0.9249609679937548,,0.9523809523809524,0.06393466307420637,,0.035119047619047605
depression,domain_depression_strict_full,strict_no_leakage_hybrid,0.9781845919145692,0.9739130434782608,0.9739130434782608,0.9824561403508772,dataset_depression_combined__research_extended,0.8807291666666667,,0.9333333333333332,0.09745542524790252,,0.04057971014492756
elimination,domain_elimination_strict_full,strict_no_leakage_hybrid,1.0,1.0,1.0,1.0,dataset_elimination_core__research_extended,0.8415032679738561,,0.7941176470588235,0.1584967320261439,,0.20588235294117652
