disorder,variant,model_id,rank_within_disorder,balanced_accuracy_test,recall_test,specificity_test,f1_test,roc_auc_test,pr_auc_test,brier_score_test,n_features
adhd,clinical,dataset_adhd_clinical__strict_no_leakage,1,0.8373511904761904,0.79375,0.8809523809523809,0.8410596026490066,0.9226686507936508,0.941325747617704,0.1171619914559227,35
adhd,minimal,dataset_adhd_minimal__strict_no_leakage,2,0.8371031746031745,0.825,0.8492063492063492,0.8488745980707395,0.9221726190476192,0.9410197959829264,0.1176044032804164,25
adhd,items,dataset_adhd_items__strict_no_leakage,3,0.8273809523809523,0.75,0.9047619047619048,0.821917808219178,0.9231150793650794,0.9420887010295378,0.115839624897561,335
anxiety,items,dataset_anxiety_items__strict_no_leakage,1,0.8497023809523809,0.7619047619047619,0.9375,0.8275862068965517,0.9434523809523808,0.9313916249030276,0.0988158658002106,260
anxiety,combined,dataset_anxiety_combined__strict_no_leakage,2,0.8415674603174603,0.9206349206349206,0.7625,0.8285714285714286,0.9421130952380952,0.9288591775147812,0.0990605046072652,35
anxiety,parent,dataset_anxiety_parent__strict_no_leakage,3,0.8380456349206349,0.7698412698412699,0.90625,0.8151260504201681,0.9434027777777778,0.9310055866546916,0.098046979718159,27
conduct,minimal,dataset_conduct_minimal__strict_no_leakage,1,0.8868071818891491,0.9047619047619048,0.8688524590163934,0.6785714285714286,0.952088212334114,0.7363226858783782,0.0612294755001615,23
conduct,clinical,dataset_conduct_clinical__strict_no_leakage,2,0.8559718969555035,0.7857142857142857,0.9262295081967212,0.7096774193548387,0.9539422326307572,0.7515055195766542,0.0604557022571877,37
conduct,items,dataset_conduct_items__strict_no_leakage,3,0.8461163153786104,0.7619047619047619,0.930327868852459,0.7032967032967034,0.9523809523809524,0.7570978073788261,0.0614237004949451,330
depression,parent,dataset_depression_parent__strict_no_leakage,1,0.8796875,0.9,0.859375,0.5806451612903226,0.9255208333333332,0.5485234132013457,0.0642327812415637,21
depression,combined,dataset_depression_combined__strict_no_leakage,2,0.87578125,0.9,0.8515625,0.5684210526315789,0.930078125,0.576209992776318,0.0618140640591028,25
depression,items,dataset_depression_items__strict_no_leakage,3,0.8541666666666667,0.8333333333333334,0.875,0.5747126436781609,0.9334635416666668,0.6174270111706665,0.0594741631966452,261
elimination,core,dataset_elimination_core__strict_no_leakage,1,0.699813258636788,0.7647058823529411,0.6349206349206349,0.3421052631578947,0.717436974789916,0.2353647801052094,0.1010140076487207,17
elimination,items,dataset_elimination_items__strict_no_leakage,2,0.6509103641456583,0.6470588235294118,0.6547619047619048,0.3076923076923077,0.6721521942110178,0.2134313663151842,0.1020115190154799,162
