mode,route,variant,domain,config_id,seed,n_features,calibration,threshold,val_objective,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,missingness_sensitivity,partial_questionnaire_sensitivity,direct_fill_pct,derived_fill_pct,imputed_fill_pct,remaining_missing_pct
caregiver,A,direct_basic,adhd,rf_compact_350,11,23,isotonic,0.44499999999999995,0.8990546004106141,0.9310344827586207,0.8385093167701864,0.92,0.8792546583850932,0.8823529411764706,0.9494658385093167,0.9518596783539789,0.08563271134030542,0.0027329192546584613,-0.00016149068322979243,1.0,0.0,0.0,0.08300395256916995
caregiver,A,direct_basic,adhd,rf_compact_350,29,23,isotonic,0.505,0.8960494511223319,0.9375,0.8385093167701864,0.928,0.8832546583850932,0.8852459016393442,0.9515527950310558,0.9556640064447844,0.08404778453935227,0.008472049689441041,0.008472049689440986,1.0,0.0,0.0,0.08300395256916995
caregiver,A,direct_basic,adhd,rf_compact_350,47,23,isotonic,0.505,0.8990546004106141,0.9310344827586207,0.8385093167701864,0.92,0.8792546583850932,0.8823529411764706,0.9485465838509317,0.9502272161836116,0.08535545052789725,-0.006633540372670832,0.005577639751552843,1.0,0.0,0.0,0.08300395256916995
caregiver,A,direct_basic,adhd,rf_compact_350,83,23,isotonic,0.41500000000000004,0.8985650936721126,0.9246575342465754,0.8385093167701864,0.912,0.8752546583850932,0.8794788273615635,0.9506583850931676,0.9545430957371314,0.08391934092184192,-0.009689440993788767,-0.006372670807453351,1.0,0.0,0.0,0.08300395256916995
caregiver,A,direct_basic,adhd,rf_stability_500,11,23,isotonic,0.505,0.8990546004106141,0.9310344827586207,0.8385093167701864,0.92,0.8792546583850932,0.8823529411764706,0.9532173913043478,0.9585544740814067,0.08431805154084446,-0.0008447204968943245,-0.001527950310559023,1.0,0.0,0.0,0.08300395256916995
caregiver,A,direct_basic,adhd,rf_stability_500,29,23,isotonic,0.505,0.8950708719851578,0.912751677852349,0.84472049689441,0.896,0.870360248447205,0.8774193548387097,0.9533416149068323,0.9591254151572693,0.08345620965978985,-0.006211180124223503,-0.0024223602484471085,1.0,0.0,0.0,0.08300395256916995
caregiver,A,direct_basic,adhd,rf_stability_500,47,23,isotonic,0.505,0.8990546004106141,0.9310344827586207,0.8385093167701864,0.92,0.8792546583850932,0.8823529411764706,0.9519006211180124,0.9579248355428058,0.08436580807105284,-0.00573913043478258,0.0029192546583851064,1.0,0.0,0.0,0.08300395256916995
caregiver,A,direct_basic,adhd,rf_stability_500,83,23,isotonic,0.41500000000000004,0.9023346199567024,0.9246575342465754,0.8385093167701864,0.912,0.8752546583850932,0.8794788273615635,0.9518012422360249,0.9546679509652403,0.08683183705671209,-0.0065838509316770155,-0.006819875776397422,1.0,0.0,0.0,0.08300395256916995
caregiver,A,direct_basic,adhd,rf_deep_650,11,23,isotonic,0.44499999999999995,0.8993363426260292,0.9432624113475178,0.8260869565217391,0.936,0.8810434782608696,0.8807947019867549,0.954608695652174,0.9577271346481692,0.08205525466055295,0.007627329192546606,0.0031801242236025318,1.0,0.0,0.0,0.08300395256916995
caregiver,A,direct_basic,adhd,rf_deep_650,29,23,isotonic,0.505,0.8993363426260292,0.9310344827586207,0.8385093167701864,0.92,0.8792546583850932,0.8823529411764706,0.9530931677018635,0.956246135078724,0.08349620469268021,0.010683229813664652,-0.00018633540372664514,1.0,0.0,0.0,0.08300395256916995
caregiver,A,direct_basic,adhd,rf_deep_650,47,23,isotonic,0.505,0.8955117395190622,0.9370629370629371,0.8322981366459627,0.928,0.8801490683229813,0.881578947368421,0.9535155279503106,0.9570977892428161,0.08258571116273794,0.005366459627329179,0.005813664596273194,1.0,0.0,0.0,0.08300395256916995
caregiver,A,direct_basic,adhd,rf_deep_650,83,23,isotonic,0.43500000000000005,0.8985650936721126,0.9121621621621622,0.8385093167701864,0.896,0.8672546583850932,0.8737864077669902,0.9516770186335404,0.9575417836299233,0.08298135084424987,-0.014583850931677023,-0.011714285714285677,1.0,0.0,0.0,0.08300395256916995
caregiver,A,direct_basic,conduct,rf_compact_350,11,21,isotonic,0.205,0.956881067961165,0.971830985915493,0.8625,0.9902912621359223,0.9263956310679612,0.9139072847682119,0.9754550970873788,0.9438460065737112,0.040988568294078966,0.014199029126213625,0.02023665048543688,1.0,0.0,0.0,0.032134532134532136
caregiver,A,direct_basic,conduct,rf_compact_350,29,21,isotonic,0.185,0.9482888934202178,0.9452054794520548,0.8625,0.9805825242718447,0.9215412621359224,0.9019607843137255,0.979368932038835,0.9440935214481765,0.04367565784347248,0.014199029126213625,0.013986650485436958,1.0,0.0,0.0,0.032134532134532136
caregiver,A,direct_basic,conduct,rf_compact_350,47,21,isotonic,0.16999999999999998,0.956881067961165,0.9583333333333334,0.8625,0.9854368932038835,0.9239684466019418,0.9078947368421053,0.9800060679611651,0.9454322046038098,0.04115033571611195,-0.008373786407766981,0.008768203883495196,1.0,0.0,0.0,0.032134532134532136
caregiver,A,direct_basic,conduct,rf_compact_350,83,21,isotonic,0.15,0.9525544204126939,0.9583333333333334,0.8625,0.9854368932038835,0.9239684466019418,0.9078947368421053,0.9807949029126214,0.9496293024503651,0.04140160514576116,-0.02469660194174761,0.023331310679611694,1.0,0.0,0.0,0.032134532134532136
caregiver,A,direct_basic,conduct,rf_stability_500,11,21,isotonic,0.255,0.9525544204126939,0.9583333333333334,0.8625,0.9854368932038835,0.9239684466019418,0.9078947368421053,0.9798240291262136,0.9458121679851842,0.04177434987720606,0.013167475728155353,0.002032766990291257,1.0,0.0,0.0,0.032134532134532136
caregiver,A,direct_basic,conduct,rf_stability_500,29,21,isotonic,0.255,0.9525544204126939,0.9583333333333334,0.8625,0.9854368932038835,0.9239684466019418,0.9078947368421053,0.9793082524271844,0.9452776295693142,0.04350405294070583,0.009708737864077666,0.006371359223300954,1.0,0.0,0.0,0.032134532134532136
caregiver,A,direct_basic,conduct,rf_stability_500,47,21,isotonic,0.15,0.956881067961165,0.971830985915493,0.8625,0.9902912621359223,0.9263956310679612,0.9139072847682119,0.98061286407767,0.9467815346166877,0.04154826981807514,-0.00042475728155333403,0.030097087378640808,1.0,0.0,0.0,0.032134532134532136
caregiver,A,direct_basic,conduct,rf_stability_500,83,21,isotonic,0.16999999999999998,0.9525544204126939,0.9459459459459459,0.875,0.9805825242718447,0.9277912621359223,0.9090909090909091,0.9793992718446602,0.945818848398403,0.043171282462362424,-0.027123786407767025,0.017961165048543726,1.0,0.0,0.0,0.032134532134532136
caregiver,A,direct_basic,conduct,rf_deep_650,11,21,isotonic,0.15,0.956881067961165,0.9857142857142858,0.8625,0.9951456310679612,0.9288228155339806,0.92,0.9808859223300971,0.9493052044050991,0.03921439205949139,0.007584951456310662,0.02472694174757284,1.0,0.0,0.0,0.032134532134532136
caregiver,A,direct_basic,conduct,rf_deep_650,29,21,isotonic,0.15,0.956881067961165,0.9583333333333334,0.8625,0.9854368932038835,0.9239684466019418,0.9078947368421053,0.9816747572815534,0.9497732051905199,0.04349810676150291,0.020084951456310618,0.024211165048543704,1.0,0.0,0.0,0.032134532134532136
caregiver,A,direct_basic,conduct,rf_deep_650,47,21,isotonic,0.15,0.956881067961165,0.9857142857142858,0.8625,0.9951456310679612,0.9288228155339806,0.92,0.9803701456310681,0.9474622773060273,0.04006928750969089,-0.011165048543689382,0.025940533980582492,1.0,0.0,0.0,0.032134532134532136
caregiver,A,direct_basic,conduct,rf_deep_650,83,21,isotonic,0.155,0.956881067961165,0.9857142857142858,0.8625,0.9951456310679612,0.9288228155339806,0.92,0.9801881067961166,0.946355756551069,0.039705417932081336,-0.016019417475728215,0.017263349514563153,1.0,0.0,0.0,0.032134532134532136
caregiver,A,direct_basic,elimination,rf_compact_350,11,16,isotonic,0.4,0.8586823590228666,0.8931297709923665,0.7267080745341615,0.888,0.8073540372670808,0.8013698630136986,0.8667577639751551,0.8727079133862141,0.14631252072179932,0.038310559006211276,0.14819875776397518,1.0,0.0,0.0,0.031031468531468535
caregiver,A,direct_basic,elimination,rf_compact_350,29,16,isotonic,0.505,0.8638214427604866,0.926605504587156,0.6273291925465838,0.936,0.781664596273292,0.7481481481481481,0.8672795031055901,0.8688120028523514,0.14824773058178273,0.009838509316770327,0.12935403726708083,1.0,0.0,0.0,0.031031468531468535
caregiver,A,direct_basic,elimination,rf_compact_350,47,16,isotonic,0.505,0.8560615344277617,0.9298245614035088,0.6583850931677019,0.936,0.797192546583851,0.7709090909090909,0.8802981366459627,0.8858889194915991,0.14497631237065506,0.0027329192546583503,0.1546459627329193,1.0,0.0,0.0,0.031031468531468535
caregiver,A,direct_basic,elimination,rf_compact_350,83,16,isotonic,0.385,0.8586823590228666,0.8923076923076924,0.7204968944099379,0.888,0.8042484472049689,0.7972508591065293,0.8620372670807454,0.8669450787701416,0.15205839682866795,0.012993788819875673,0.14822360248447203,1.0,0.0,0.0,0.031031468531468535
caregiver,A,direct_basic,elimination,rf_stability_500,11,16,isotonic,0.43500000000000005,0.8594340763959036,0.9285714285714286,0.6459627329192547,0.936,0.7909813664596274,0.7619047619047619,0.8832546583850932,0.8834768107995518,0.1471920596809884,-0.005639751552794947,0.1384596273291926,1.0,0.0,0.0,0.031031468531468535
caregiver,A,direct_basic,elimination,rf_stability_500,29,16,isotonic,0.505,0.8570874820019215,0.9223300970873787,0.5900621118012422,0.936,0.7630310559006211,0.7196969696969697,0.8796770186335404,0.8842279362309555,0.14813547729461699,-0.008795031055900515,0.11737888198757762,1.0,0.0,0.0,0.031031468531468535
caregiver,A,direct_basic,elimination,rf_stability_500,47,16,isotonic,0.505,0.8600839676329673,0.9279279279279279,0.639751552795031,0.936,0.7878757763975155,0.7573529411764706,0.8799751552795031,0.8831720122250266,0.14363770845563004,-0.012372670807453412,0.1417763975155279,1.0,0.0,0.0,0.031031468531468535
caregiver,A,direct_basic,elimination,rf_stability_500,83,16,isotonic,0.505,0.8604582234722378,0.9230769230769231,0.5962732919254659,0.936,0.766136645962733,0.7245283018867924,0.8806211180124223,0.8857226939937135,0.1500777671818323,-0.016372670807453304,0.12003726708074541,1.0,0.0,0.0,0.031031468531468535
caregiver,A,direct_basic,elimination,rf_deep_650,11,16,isotonic,0.505,0.8604582234722378,0.926605504587156,0.6273291925465838,0.936,0.781664596273292,0.7481481481481481,0.872944099378882,0.8780991691692368,0.14985076435056738,-0.01811180124223588,0.13890683229813666,1.0,0.0,0.0,0.031031468531468535
caregiver,A,direct_basic,elimination,rf_deep_650,29,16,isotonic,0.39,0.8586823590228666,0.8854961832061069,0.7204968944099379,0.88,0.8002484472049689,0.7945205479452054,0.8673043478260869,0.8734262935333583,0.14773701226441435,0.04673291925465839,0.13180124223602485,1.0,0.0,0.0,0.031031468531468535
