trial_id,scenario,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,brier_score,tn,fp,fn,tp
V4_T01_current_replay,incomplete_inputs,0.9895104895104895,0.988,0.9817073170731707,1.0,0.976,0.9907692307692307,1.0,1.0,0.03402130295234914,122,3,0,161
V4_T01_current_replay,contradictory_inputs,0.9755244755244755,0.9746832298136645,0.9753086419753086,0.9813664596273292,0.968,0.978328173374613,0.9970186335403727,0.9977181694758769,0.04371761041297987,121,4,3,158
V4_T01_current_replay,mixed_comorbidity_signals,0.965034965034965,0.9617888198757765,0.9520958083832335,0.9875776397515528,0.936,0.9695121951219512,0.9948819875776398,0.9958769665318362,0.044259236118141455,117,8,2,159
V4_T03_target_high_confidence,incomplete_inputs,0.4370629370629371,0.5,0.0,0.0,1.0,0.0,0.8853664596273292,0.9171246026522648,0.16430818657239402,125,0,161,0
V4_T03_target_high_confidence,contradictory_inputs,0.7867132867132867,0.8087701863354038,0.9807692307692307,0.6335403726708074,0.984,0.769811320754717,0.9470807453416149,0.9625365863880098,0.08812432717408518,123,2,59,102
V4_T03_target_high_confidence,mixed_comorbidity_signals,0.8181818181818182,0.8358260869565217,0.9739130434782609,0.6956521739130435,0.976,0.8115942028985508,0.9494161490683231,0.9628846046396647,0.08476378957965117,122,3,49,112
V4_T05_anti_transdiagnostic,incomplete_inputs,0.7692307692307693,0.79055900621118,0.9523809523809523,0.6211180124223602,0.96,0.7518796992481203,0.9352546583850931,0.9536419506409447,0.11839443730523687,120,5,61,100
V4_T05_anti_transdiagnostic,contradictory_inputs,0.7832167832167832,0.8020869565217391,0.9459459459459459,0.6521739130434783,0.952,0.7720588235294118,0.930832298136646,0.9482966392301532,0.11571901683065275,119,6,56,105
V4_T05_anti_transdiagnostic,mixed_comorbidity_signals,0.8006993006993007,0.8176149068322981,0.9482758620689655,0.6832298136645962,0.952,0.7942238267148014,0.9285962732919255,0.9472338560694065,0.11251156956746376,119,6,51,110
V4_T06_low_missingness,incomplete_inputs,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.032751982968758905,125,0,0,161
V4_T06_low_missingness,contradictory_inputs,0.9685314685314685,0.9702608695652174,0.9871794871794872,0.9565217391304348,0.984,0.9716088328075709,0.9973664596273292,0.9979745388736321,0.04554465282098879,123,2,7,154
V4_T06_low_missingness,mixed_comorbidity_signals,0.972027972027972,0.9697888198757764,0.9636363636363636,0.9875776397515528,0.952,0.9754601226993865,0.9956770186335404,0.9965679047901449,0.044490755705040005,119,6,2,159
V4_T07_subtype_enuresis_aux,incomplete_inputs,0.9300699300699301,0.9242424242424243,1.0,0.8484848484848485,1.0,0.9180327868852459,0.9354338842975206,0.9534922665315602,0.06760320867214403,154,0,20,112
V4_T07_subtype_enuresis_aux,contradictory_inputs,0.8916083916083916,0.8825757575757576,1.0,0.7651515151515151,1.0,0.8669527896995708,0.9175521448248722,0.9371287755777724,0.0890883794661531,154,0,31,101
V4_T07_subtype_enuresis_aux,mixed_comorbidity_signals,0.916083916083916,0.9101731601731602,0.9821428571428571,0.8333333333333334,0.987012987012987,0.9016393442622951,0.9335645415190871,0.9477701066168456,0.07608140332936171,152,2,22,110
V4_T08_subtype_encopresis_aux,incomplete_inputs,0.513986013986014,0.5,0.0,0.0,1.0,0.0,0.7449958400626436,0.7424573956994142,0.3107585317320135,147,0,139,0
V4_T08_subtype_encopresis_aux,contradictory_inputs,0.9090909090909091,0.9066705819018255,0.991304347826087,0.8201438848920863,0.9931972789115646,0.8976377952755905,0.9520383693045563,0.9656081522420414,0.07043426574275206,146,1,25,114
V4_T08_subtype_encopresis_aux,mixed_comorbidity_signals,0.9440559440559441,0.9428375666813488,0.984251968503937,0.8992805755395683,0.9863945578231292,0.9398496240601504,0.9553173787500613,0.9701929859843361,0.054775864898823044,145,2,14,125
V4_T09_research_context_non_promotable,incomplete_inputs,0.9965034965034965,0.996,0.9938271604938271,1.0,0.992,0.9969040247678018,0.9998012422360248,0.9998451967216988,0.033547008081448816,124,1,0,161
V4_T09_research_context_non_promotable,contradictory_inputs,0.9790209790209791,0.9795776397515528,0.9874213836477987,0.9751552795031055,0.984,0.98125,0.9990062111801242,0.9992269437188794,0.039802462407564576,123,2,4,157
V4_T09_research_context_non_promotable,mixed_comorbidity_signals,0.9685314685314685,0.9675776397515528,0.9691358024691358,0.9751552795031055,0.96,0.9721362229102167,0.9979627329192546,0.9984565872323009,0.0405382656733629,120,5,4,157
