trial_id,test_type,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,brier_score,tn,fp,fn,tp
V4_T01_current_replay,noise_level_1,0.9790209790209791,0.9777888198757764,0.9754601226993865,0.9875776397515528,0.968,0.9814814814814815,0.9981118012422361,0.9985546343553289,0.04280118909991338,121,4,2,159
V4_T01_current_replay,noise_level_2,0.965034965034965,0.964472049689441,0.968944099378882,0.968944099378882,0.96,0.968944099378882,0.9963229813664596,0.9971872742428903,0.054096178446559194,120,5,5,156
V4_T03_target_high_confidence,noise_level_1,0.8146853146853147,0.83272049689441,0.9736842105263158,0.6894409937888198,0.976,0.8072727272727273,0.9545341614906832,0.9672778146904021,0.08043952464724304,122,3,50,111
V4_T03_target_high_confidence,noise_level_2,0.7727272727272727,0.7963478260869565,0.98,0.6086956521739131,0.984,0.7509578544061303,0.9580124223602485,0.9697678541348513,0.07897727849929152,123,2,63,98
V4_T05_anti_transdiagnostic,noise_level_1,0.7902097902097902,0.8082981366459627,0.9469026548672567,0.6645962732919255,0.952,0.781021897810219,0.9284472049689442,0.9480754885596077,0.11426832517437412,119,6,54,107
V4_T05_anti_transdiagnostic,noise_level_2,0.7727272727272727,0.79455900621118,0.9615384615384616,0.6211180124223602,0.968,0.7547169811320755,0.9273540372670808,0.9459061850137397,0.12102901873505562,121,4,61,100
V4_T06_low_missingness,noise_level_1,0.9755244755244755,0.9755776397515528,0.98125,0.9751552795031055,0.976,0.9781931464174455,0.9987080745341614,0.9990040321299466,0.04201419394930304,122,3,4,157
V4_T06_low_missingness,noise_level_2,0.9475524475524476,0.9498385093167702,0.974025974025974,0.9316770186335404,0.968,0.9523809523809523,0.994335403726708,0.9957125706546412,0.05562739226527555,121,4,11,150
V4_T07_subtype_enuresis_aux,noise_level_1,0.8951048951048951,0.8874458874458875,0.9811320754716981,0.7878787878787878,0.987012987012987,0.8739495798319328,0.9234553325462417,0.9359401292016534,0.08806711529539993,152,2,28,104
V4_T07_subtype_enuresis_aux,noise_level_2,0.8811188811188811,0.8712121212121212,1.0,0.7424242424242424,1.0,0.8521739130434782,0.9298996458087367,0.94289065100089,0.0917307935821753,154,0,34,98
V4_T08_subtype_encopresis_aux,noise_level_1,0.9300699300699301,0.9282533157147751,0.9917355371900827,0.8633093525179856,0.9931972789115646,0.9230769230769231,0.9512553222727941,0.9643714053663488,0.06244892060923624,146,1,19,120
V4_T08_subtype_encopresis_aux,noise_level_2,0.8986013986013986,0.8960749767532912,0.9824561403508771,0.8057553956834532,0.9863945578231292,0.8853754940711462,0.9457250526109725,0.9585018473132978,0.07813674234957294,145,2,27,112
V4_T09_research_context_non_promotable,noise_level_1,0.9825174825174825,0.9826832298136645,0.9875,0.9813664596273292,0.984,0.9844236760124611,0.9989068322981367,0.9991749295795745,0.041585238868592264,123,2,3,158
V4_T09_research_context_non_promotable,noise_level_2,0.958041958041958,0.9600496894409938,0.9806451612903225,0.9440993788819876,0.976,0.9620253164556962,0.9955776397515528,0.9965149264270923,0.052450867441969695,122,3,9,152
