trial_id,stage,mode,role,domain,feature_set_id,config_id,seed,calibration,threshold_policy,threshold,n_features,selected_for_stage2,val_objective,overfit_gap_ba
1,stage1,caregiver_1_3,caregiver,adhd,full_eligible,rf_baseline,20261101,none,default_0_5,0.5,49,no,0.6557331952496586,0.19195788777422562
2,stage1,caregiver_1_3,caregiver,adhd,full_eligible,rf_balanced_subsample,20261101,none,default_0_5,0.5,49,no,0.6594996949453464,0.1580219012971742
3,stage1,caregiver_1_3,caregiver,adhd,full_eligible,rf_precision_push,20261101,none,default_0_5,0.5,49,no,0.6424953794385634,0.17920662918458108
4,stage1,caregiver_1_3,caregiver,adhd,full_eligible,rf_recall_guard,20261101,none,default_0_5,0.5,49,no,0.637527971831781,0.2087788924411127
5,stage1,caregiver_1_3,caregiver,adhd,full_eligible,rf_regularized,20261101,none,default_0_5,0.5,49,no,0.6651620419001981,0.09287840370411204
6,stage1,caregiver_1_3,caregiver,adhd,full_eligible,rf_pos_weight_mid,20261101,none,default_0_5,0.5,49,no,0.6552114742601124,0.1690001102414288
7,stage1,caregiver_1_3,caregiver,adhd,compact_subset,rf_baseline,20261101,none,default_0_5,0.5,22,no,0.6553250904611716,0.18975305919964724
8,stage1,caregiver_1_3,caregiver,adhd,compact_subset,rf_balanced_subsample,20261101,none,default_0_5,0.5,22,no,0.6505702137781134,0.14406717377723888
9,stage1,caregiver_1_3,caregiver,adhd,compact_subset,rf_precision_push,20261101,none,default_0_5,0.5,22,no,0.6423232325493274,0.15931723808473885
10,stage1,caregiver_1_3,caregiver,adhd,compact_subset,rf_recall_guard,20261101,none,default_0_5,0.5,22,no,0.645165799102181,0.18572924705104177
11,stage1,caregiver_1_3,caregiver,adhd,compact_subset,rf_regularized,20261101,none,default_0_5,0.5,22,no,0.6623643161171592,0.08985595119979428
12,stage1,caregiver_1_3,caregiver,adhd,compact_subset,rf_pos_weight_mid,20261101,none,default_0_5,0.5,22,no,0.6340457696062843,0.17604637489435193
13,stage1,caregiver_1_3,caregiver,adhd,balanced_subset,rf_baseline,20261101,none,default_0_5,0.5,27,no,0.6377054716722087,0.2006853342152648
14,stage1,caregiver_1_3,caregiver,adhd,balanced_subset,rf_balanced_subsample,20261101,none,default_0_5,0.5,27,no,0.6504461091885272,0.15988681879983835
15,stage1,caregiver_1_3,caregiver,adhd,balanced_subset,rf_precision_push,20261101,none,default_0_5,0.5,27,no,0.6451749275355187,0.16061257487230363
16,stage1,caregiver_1_3,caregiver,adhd,balanced_subset,rf_recall_guard,20261101,none,default_0_5,0.5,27,no,0.6349637851795882,0.20561863815088388
17,stage1,caregiver_1_3,caregiver,adhd,balanced_subset,rf_regularized,20261101,none,default_0_5,0.5,27,no,0.6646960585550561,0.08353544261933632
18,stage1,caregiver_1_3,caregiver,adhd,balanced_subset,rf_pos_weight_mid,20261101,none,default_0_5,0.5,27,no,0.6510555275822844,0.1636350273766214
19,stage1,caregiver_1_3,caregiver,adhd,precision_oriented_subset,rf_baseline,20261101,none,default_0_5,0.5,20,no,0.665712353858391,0.16943188917061702
20,stage1,caregiver_1_3,caregiver,adhd,precision_oriented_subset,rf_balanced_subsample,20261101,none,default_0_5,0.5,20,no,0.6728819362536418,0.12292837981846916
21,stage1,caregiver_1_3,caregiver,adhd,precision_oriented_subset,rf_precision_push,20261101,none,default_0_5,0.5,20,no,0.6712231453237321,0.12958879947084112
22,stage1,caregiver_1_3,caregiver,adhd,precision_oriented_subset,rf_recall_guard,20261101,none,default_0_5,0.5,20,no,0.6671896191712179,0.17038731488626768
23,stage1,caregiver_1_3,caregiver,adhd,precision_oriented_subset,rf_regularized,20261101,none,default_0_5,0.5,20,no,0.6645919026882783,0.08630985190901419
24,stage1,caregiver_1_3,caregiver,adhd,precision_oriented_subset,rf_pos_weight_mid,20261101,none,default_0_5,0.5,20,no,0.6656558049346901,0.14756733913938191
25,stage1,caregiver_1_3,caregiver,adhd,stability_pruned_subset,rf_baseline,20261101,none,default_0_5,0.5,24,no,0.6434926386850366,0.20211847278874073
26,stage1,caregiver_1_3,caregiver,adhd,stability_pruned_subset,rf_balanced_subsample,20261101,none,default_0_5,0.5,24,no,0.6657911910267114,0.12547311946496165
27,stage1,caregiver_1_3,caregiver,adhd,stability_pruned_subset,rf_precision_push,20261101,none,default_0_5,0.5,24,no,0.6338158583908435,0.1646363870209091
28,stage1,caregiver_1_3,caregiver,adhd,stability_pruned_subset,rf_recall_guard,20261101,none,default_0_5,0.5,24,no,0.6530170744028505,0.19295924741851322
