trial_id,candidate_rank,mean_balanced_accuracy_cv,std_balanced_accuracy_cv,params_json
domain_conduct_strict_compact,3,0.9515099150982088,0.010861237276891212,"{""model__n_estimators"": 120, ""model__min_samples_split"": 2, ""model__min_samples_leaf"": 6, ""model__max_features"": ""log2"", ""model__max_depth"": 24, ""model__class_weight"": null, ""model__bootstrap"": true}"
domain_conduct_strict_compact,4,0.9484851458120399,0.007270157563264359,"{""model__n_estimators"": 260, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 1, ""model__max_features"": null, ""model__max_depth"": 24, ""model__class_weight"": null, ""model__bootstrap"": false}"
domain_conduct_strict_compact,5,0.9480564305237942,0.003134025670945709,"{""model__n_estimators"": 260, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 4, ""model__max_features"": null, ""model__max_depth"": null, ""model__class_weight"": null, ""model__bootstrap"": false}"
domain_conduct_strict_compact,6,0.9391405437456545,0.007229012749132387,"{""model__n_estimators"": 180, ""model__min_samples_split"": 4, ""model__min_samples_leaf"": 2, ""model__max_features"": null, ""model__max_depth"": 10, ""model__class_weight"": ""balanced_subsample"", ""model__bootstrap"": false}"
domain_conduct_research_full,1,0.9808117933361276,0.0035906081405137204,"{""model__n_estimators"": 260, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 1, ""model__max_features"": null, ""model__max_depth"": 24, ""model__class_weight"": null, ""model__bootstrap"": false}"
domain_conduct_research_full,2,0.9797717492032095,0.007844621167512281,"{""model__n_estimators"": 260, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 4, ""model__max_features"": null, ""model__max_depth"": null, ""model__class_weight"": null, ""model__bootstrap"": false}"
domain_conduct_research_full,3,0.9705566881377287,0.006298130725770796,"{""model__n_estimators"": 180, ""model__min_samples_split"": 4, ""model__min_samples_leaf"": 2, ""model__max_features"": null, ""model__max_depth"": 10, ""model__class_weight"": ""balanced_subsample"", ""model__bootstrap"": false}"
domain_conduct_research_full,4,0.9559118376692132,0.007368666811703335,"{""model__n_estimators"": 180, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 6, ""model__max_features"": ""log2"", ""model__max_depth"": 10, ""model__class_weight"": ""balanced_subsample"", ""model__bootstrap"": false}"
domain_conduct_research_full,5,0.9551990857845721,0.0025996384131949024,"{""model__n_estimators"": 120, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 2, ""model__max_features"": ""log2"", ""model__max_depth"": 16, ""model__class_weight"": ""balanced_subsample"", ""model__bootstrap"": false}"
domain_conduct_research_full,6,0.9523020077342391,0.003864280990961948,"{""model__n_estimators"": 120, ""model__min_samples_split"": 2, ""model__min_samples_leaf"": 6, ""model__max_features"": ""log2"", ""model__max_depth"": 24, ""model__class_weight"": null, ""model__bootstrap"": true}"
domain_elimination_strict_full,1,1.0,0.0,"{""model__n_estimators"": 180, ""model__min_samples_split"": 4, ""model__min_samples_leaf"": 2, ""model__max_features"": null, ""model__max_depth"": 10, ""model__class_weight"": ""balanced_subsample"", ""model__bootstrap"": false}"
domain_elimination_strict_full,1,1.0,0.0,"{""model__n_estimators"": 260, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 1, ""model__max_features"": null, ""model__max_depth"": 24, ""model__class_weight"": null, ""model__bootstrap"": false}"
domain_elimination_strict_full,1,1.0,0.0,"{""model__n_estimators"": 260, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 4, ""model__max_features"": null, ""model__max_depth"": null, ""model__class_weight"": null, ""model__bootstrap"": false}"
domain_elimination_strict_full,4,0.9547821147793137,0.008501526100837962,"{""model__n_estimators"": 120, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 2, ""model__max_features"": ""log2"", ""model__max_depth"": 16, ""model__class_weight"": ""balanced_subsample"", ""model__bootstrap"": false}"
domain_elimination_strict_full,5,0.9512984429995418,0.014216090653063639,"{""model__n_estimators"": 180, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 6, ""model__max_features"": ""log2"", ""model__max_depth"": 10, ""model__class_weight"": ""balanced_subsample"", ""model__bootstrap"": false}"
domain_elimination_strict_full,6,0.9292465079411357,0.010001633023622211,"{""model__n_estimators"": 120, ""model__min_samples_split"": 2, ""model__min_samples_leaf"": 6, ""model__max_features"": ""log2"", ""model__max_depth"": 24, ""model__class_weight"": null, ""model__bootstrap"": true}"
domain_elimination_strict_compact,1,1.0,0.0,"{""model__n_estimators"": 180, ""model__min_samples_split"": 4, ""model__min_samples_leaf"": 2, ""model__max_features"": null, ""model__max_depth"": 10, ""model__class_weight"": ""balanced_subsample"", ""model__bootstrap"": false}"
domain_elimination_strict_compact,1,1.0,0.0,"{""model__n_estimators"": 260, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 1, ""model__max_features"": null, ""model__max_depth"": 24, ""model__class_weight"": null, ""model__bootstrap"": false}"
domain_elimination_strict_compact,1,1.0,0.0,"{""model__n_estimators"": 260, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 4, ""model__max_features"": null, ""model__max_depth"": null, ""model__class_weight"": null, ""model__bootstrap"": false}"
domain_elimination_strict_compact,4,0.975829822883918,0.0029743324118307675,"{""model__n_estimators"": 120, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 2, ""model__max_features"": ""log2"", ""model__max_depth"": 16, ""model__class_weight"": ""balanced_subsample"", ""model__bootstrap"": false}"
domain_elimination_strict_compact,5,0.9685132865613911,0.0037256864957375953,"{""model__n_estimators"": 180, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 6, ""model__max_features"": ""log2"", ""model__max_depth"": 10, ""model__class_weight"": ""balanced_subsample"", ""model__bootstrap"": false}"
domain_elimination_strict_compact,6,0.9565995121059482,0.003363667855571426,"{""model__n_estimators"": 120, ""model__min_samples_split"": 2, ""model__min_samples_leaf"": 6, ""model__max_features"": ""log2"", ""model__max_depth"": 24, ""model__class_weight"": null, ""model__bootstrap"": true}"
domain_elimination_research_full,1,1.0,0.0,"{""model__n_estimators"": 180, ""model__min_samples_split"": 4, ""model__min_samples_leaf"": 2, ""model__max_features"": null, ""model__max_depth"": 10, ""model__class_weight"": ""balanced_subsample"", ""model__bootstrap"": false}"
