trial_id,n_estimators,balanced_accuracy_val,balanced_accuracy_test,precision_val,precision_test,recall_val,recall_test
domain_adhd_strict_full,80,0.9817888198757764,0.9715776397515528,0.9814814814814815,0.9751552795031055,0.9875776397515528,0.9751552795031055
domain_adhd_strict_full,160,0.9817888198757764,0.9675776397515528,0.9814814814814815,0.9691358024691358,0.9875776397515528,0.9751552795031055
domain_adhd_strict_full,320,0.9817888198757764,0.9715776397515528,0.9814814814814815,0.9751552795031055,0.9875776397515528,0.9751552795031055
domain_adhd_strict_full,500,0.9817888198757764,0.9715776397515528,0.9814814814814815,0.9751552795031055,0.9875776397515528,0.9751552795031055
domain_adhd_research_full,80,0.9906832298136645,1.0,1.0,1.0,0.9813664596273292,1.0
domain_adhd_research_full,160,0.9906832298136645,1.0,1.0,1.0,0.9813664596273292,1.0
domain_adhd_research_full,320,0.9906832298136645,1.0,1.0,1.0,0.9813664596273292,1.0
domain_adhd_research_full,500,0.9906832298136645,1.0,1.0,1.0,0.9813664596273292,1.0
domain_conduct_strict_full,80,0.9382281553398059,0.9590412621359223,0.8809523809523809,0.9493670886075949,0.925,0.9375
domain_conduct_strict_full,160,0.9444781553398058,0.9590412621359223,0.8823529411764706,0.9493670886075949,0.9375,0.9375
domain_conduct_strict_full,320,0.9382281553398059,0.9590412621359223,0.8809523809523809,0.9493670886075949,0.925,0.9375
domain_conduct_strict_full,500,0.9382281553398059,0.9590412621359223,0.8809523809523809,0.9493670886075949,0.925,0.9375
domain_conduct_strict_compact,80,0.9555825242718446,0.9441140776699029,0.9047619047619048,0.9358974358974359,0.95,0.9125
domain_conduct_strict_compact,160,0.9555825242718446,0.9441140776699029,0.9047619047619048,0.9358974358974359,0.95,0.9125
domain_conduct_strict_compact,320,0.9555825242718446,0.9441140776699029,0.9047619047619048,0.9358974358974359,0.95,0.9125
domain_conduct_strict_compact,500,0.9580097087378641,0.9441140776699029,0.9156626506024096,0.9358974358974359,0.95,0.9125
domain_conduct_research_full,80,0.9767597087378641,0.9951456310679612,0.9186046511627907,0.975609756097561,0.9875,1.0
domain_conduct_research_full,160,0.9767597087378641,0.9951456310679612,0.9186046511627907,0.975609756097561,0.9875,1.0
domain_conduct_research_full,320,0.9767597087378641,0.9951456310679612,0.9186046511627907,0.975609756097561,0.9875,1.0
domain_conduct_research_full,500,0.9767597087378641,0.9951456310679612,0.9186046511627907,0.975609756097561,0.9875,1.0
domain_elimination_strict_full,80,1.0,1.0,1.0,1.0,1.0,1.0
domain_elimination_strict_full,160,1.0,1.0,1.0,1.0,1.0,1.0
domain_elimination_strict_full,320,1.0,1.0,1.0,1.0,1.0,1.0
domain_elimination_strict_full,500,1.0,1.0,1.0,1.0,1.0,1.0
domain_elimination_strict_compact,80,1.0,1.0,1.0,1.0,1.0,1.0
domain_elimination_strict_compact,160,1.0,1.0,1.0,1.0,1.0,1.0
domain_elimination_strict_compact,320,1.0,1.0,1.0,1.0,1.0,1.0
domain_elimination_strict_compact,500,1.0,1.0,1.0,1.0,1.0,1.0
domain_elimination_research_full,80,1.0,1.0,1.0,1.0,1.0,1.0
domain_elimination_research_full,160,1.0,1.0,1.0,1.0,1.0,1.0
domain_elimination_research_full,320,1.0,1.0,1.0,1.0,1.0,1.0
domain_elimination_research_full,500,1.0,1.0,1.0,1.0,1.0,1.0
domain_anxiety_strict_full,80,0.9924242424242424,0.9878787878787879,1.0,0.9701492537313433,0.9848484848484849,0.9848484848484849
