trial_id,feature_rank,feature_name,importance_permutation_mean,importance_permutation_std
domain_adhd_strict_full,1,num__q_qi_0083,0.2013986013986014,0.006485047898948048
domain_adhd_strict_full,2,num__cbcl_105,0.07132867132867138,0.01182624791978165
domain_adhd_strict_full,3,num__q_qi_0178,0.06713286713286719,0.006779971828554317
domain_adhd_strict_full,4,num__internal_exact_any_positive,0.053846153846153856,0.011826247919781652
domain_adhd_strict_full,5,num__q_qi_0012,0.024475524475524525,0.006254735601397988
domain_adhd_strict_full,6,num__swan_14,0.012587412587412649,0.00171292989005819
domain_adhd_strict_full,7,num__q_qi_0105,0.010489510489510523,0.007334327609581485
domain_adhd_strict_full,8,num__icut_10,0.009090909090909127,0.002797202797202791
domain_adhd_strict_full,9,num__cbcl_080,0.008391608391608418,0.004742888100087626
domain_adhd_strict_full,10,num__q_qi_0061,0.0034965034965035446,0.0
domain_adhd_strict_full,11,num__swan_13,0.0034965034965035446,0.0
domain_adhd_strict_full,12,num__icut_callousness,0.0034965034965035225,0.002211382979138722
domain_adhd_strict_full,13,num__cbcl_041,0.0034965034965035004,0.003127367800699
domain_adhd_strict_full,14,num__q_qi_0051,0.002797202797202836,0.001398601398601418
domain_adhd_strict_full,15,num__cbcl_111,0.002797202797202836,0.001398601398601418
domain_adhd_strict_full,16,num__q_qi_0019,0.0027972027972028137,0.0040775887376540325
domain_adhd_strict_full,17,num__q_qi_0177,0.001398601398601418,0.00171292989005819
domain_adhd_strict_full,18,num__q_qi_0131,0.000699300699300709,0.001398601398601418
domain_adhd_strict_full,19,num__icut_17,0.000699300699300709,0.001398601398601418
domain_adhd_strict_full,20,num__ysr_074,0.0,0.0
domain_adhd_strict_full,21,num__ysr_075,0.0,0.0
domain_adhd_strict_full,22,num__ysr_078,0.0,0.0
domain_adhd_strict_full,23,num__ysr_079,0.0,0.0
domain_adhd_strict_full,24,num__ysr_080,0.0,0.0
domain_adhd_strict_full,25,num__ysr_081,0.0,0.0
domain_adhd_strict_full,26,num__ysr_082,0.0,0.0
domain_adhd_strict_full,27,num__ysr_083,0.0,0.0
domain_adhd_strict_full,28,num__ysr_084,0.0,0.0
domain_adhd_strict_full,29,num__ysr_085,0.0,0.0
domain_adhd_strict_full,30,num__ysr_086,0.0,0.0
domain_adhd_research_full,1,num__diag_domain_adhd_source_count,0.5006993006993007,0.02102558934038169
domain_adhd_research_full,2,num__q_qi_0104,0.0,0.0
domain_adhd_research_full,3,cat__q_qi_0062_high,0.0,0.0
domain_adhd_research_full,4,num__q_qi_0178,0.0,0.0
domain_adhd_research_full,5,cat__site_RUBIC,0.0,0.0
domain_adhd_research_full,6,cat__site_CUNY,0.0,0.0
domain_adhd_research_full,7,cat__site_CBIC,0.0,0.0
domain_adhd_research_full,8,cat__sex_assigned_at_birth_Unknown,0.0,0.0
domain_adhd_research_full,9,num__q_qi_0033,0.0,0.0
domain_adhd_research_full,10,num__ysr_077,0.0,0.0
domain_adhd_research_full,11,num__ysr_076,0.0,0.0
domain_adhd_research_full,12,num__ysr_075,0.0,0.0
domain_adhd_research_full,13,num__ysr_074,0.0,0.0
domain_adhd_research_full,14,num__ysr_073,0.0,0.0
domain_adhd_research_full,15,num__ysr_072,0.0,0.0
domain_adhd_research_full,16,num__ysr_071,0.0,0.0
domain_adhd_research_full,17,num__ysr_070,0.0,0.0
domain_adhd_research_full,18,num__ysr_internalizing_proxy,0.0,0.0
domain_adhd_research_full,19,num__ysr_aggressive_behavior_proxy,0.0,0.0
domain_adhd_research_full,20,num__ysr_rule_breaking_proxy,0.0,0.0
domain_adhd_research_full,21,num__ysr_attention_problems_proxy,0.0,0.0
domain_adhd_research_full,22,num__ysr_069,0.0,0.0
domain_adhd_research_full,23,num__ysr_068,0.0,0.0
domain_adhd_research_full,24,cat__sex_assigned_at_birth_Female,0.0,0.0
domain_adhd_research_full,25,num__ysr_066,0.0,0.0
domain_adhd_research_full,26,num__ysr_102,0.0,0.0
domain_adhd_research_full,27,num__ysr_103,0.0,0.0
domain_adhd_research_full,28,num__ysr_104,0.0,0.0
domain_adhd_research_full,29,num__ysr_105,0.0,0.0
domain_adhd_research_full,30,num__ysr_106,0.0,0.0
domain_conduct_strict_full,1,num__has_any_target_disorder,0.10000000000000005,0.01051279467019085
domain_conduct_strict_full,2,num__q_qi_0083,0.06223776223776227,0.0034258597801163256
domain_conduct_strict_full,3,num__cbcl_113,0.020279720279720293,0.00839160839160842
domain_conduct_strict_full,4,num__q_qi_0128,0.020279720279720293,0.011784824857589327
domain_conduct_strict_full,5,num__q_qi_0067,0.0048951048951048955,0.002797202797202786
domain_conduct_strict_full,6,num__cbcl_079,0.004195804195804209,0.002616543627114633
domain_conduct_strict_full,7,num__ari_p_impairment_item,0.0034965034965035225,0.002211382979138722
domain_conduct_strict_full,8,num__q_qi_0089,0.001398601398601418,0.00171292989005819
domain_conduct_strict_full,9,num__q_qi_0043,0.001398601398601418,0.00171292989005819
domain_conduct_strict_full,10,num__q_qi_0105,0.001398601398601418,0.00171292989005819
domain_conduct_strict_full,11,num__q_qi_0030,0.001398601398601418,0.00171292989005819
domain_conduct_strict_full,12,num__internal_exact_any_positive,0.001398601398601418,0.00171292989005819
domain_conduct_strict_full,13,num__q_qi_0178,0.001398601398601418,0.00171292989005819
domain_conduct_strict_full,14,num__q_qi_0177,0.001398601398601418,0.00171292989005819
domain_conduct_strict_full,15,num__sdq_25,0.000699300699300709,0.001398601398601418
domain_conduct_strict_full,16,num__ysr_064,0.0,0.0
domain_conduct_strict_full,17,num__ysr_065,0.0,0.0
domain_conduct_strict_full,18,num__ysr_066,0.0,0.0
domain_conduct_strict_full,19,num__ysr_067,0.0,0.0
domain_conduct_strict_full,20,num__ysr_068,0.0,0.0
domain_conduct_strict_full,21,num__ysr_069,0.0,0.0
domain_conduct_strict_full,22,num__ysr_070,0.0,0.0
domain_conduct_strict_full,23,num__ysr_071,0.0,0.0
domain_conduct_strict_full,24,num__ysr_072,0.0,0.0
domain_conduct_strict_full,25,num__ysr_073,0.0,0.0
domain_conduct_strict_full,26,num__ysr_074,0.0,0.0
domain_conduct_strict_full,27,cat__sex_assigned_at_birth_Male,0.0,0.0
domain_conduct_strict_full,28,num__ysr_030,0.0,0.0
domain_conduct_strict_full,29,num__ysr_029,0.0,0.0
domain_conduct_strict_full,30,num__ysr_028,0.0,0.0
domain_conduct_strict_compact,1,num__q_qi_0067,0.004895104895104851,0.00171292989005819
domain_conduct_strict_compact,2,num__q_qi_0064,0.0034965034965034557,0.005850769416322207
domain_conduct_strict_compact,3,num__q_qi_0084,0.002797202797202747,0.0013986013986013737
domain_conduct_strict_compact,4,cat__site_CBIC,0.0,0.0
domain_conduct_strict_compact,5,cat__q_qi_0026_low,0.0,0.0
domain_conduct_strict_compact,6,cat__site_Staten Island,0.0,0.0
domain_conduct_strict_compact,7,num__q_qi_0174,0.0,0.0
domain_conduct_strict_compact,8,num__q_qi_0173,0.0,0.0
domain_conduct_strict_compact,9,cat__sex_assigned_at_birth_Female,0.0,0.0
domain_conduct_strict_compact,10,num__q_items_answered,0.0,0.0
domain_conduct_strict_compact,11,num__q_qi_0180,0.0,0.0
domain_conduct_strict_compact,12,num__q_qi_0182,0.0,0.0
domain_conduct_strict_compact,13,num__q_qi_0177,0.0,0.0
domain_conduct_strict_compact,14,num__q_qi_0178,0.0,0.0
domain_conduct_strict_compact,15,num__q_qi_0172,0.0,0.0
domain_conduct_strict_compact,16,num__q_qi_0164,0.0,0.0
domain_conduct_strict_compact,17,num__q_qi_0176,0.0,0.0
domain_conduct_strict_compact,18,num__q_qi_0175,0.0,0.0
domain_conduct_strict_compact,19,num__q_qi_0160,0.0,0.0
domain_conduct_strict_compact,20,cat__site_CUNY,0.0,0.0
domain_conduct_strict_compact,21,cat__sex_assigned_at_birth_Male,0.0,0.0
domain_conduct_strict_compact,22,cat__sex_assigned_at_birth_Unknown,0.0,0.0
domain_conduct_strict_compact,23,num__q_qi_0128,0.0,0.0
domain_conduct_strict_compact,24,num__q_qi_0119,0.0,0.0
