model_id,task_kind,scope,dataset_variant,target,n_rows,n_features,split_source,best_params_json,threshold_recommended,precision_val,precision_test,recall_val,recall_test,specificity_test,balanced_accuracy_val,balanced_accuracy_test,f1_test,roc_auc_test,pr_auc_test,brier_score_test,fp_test,fn_test,subset_accuracy,hamming_loss,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_f1
domain_adhd_strict_full,binary_domain,strict_no_leakage_hybrid,full,target_domain_adhd,1905,600,reused,"{""model__n_estimators"": 260, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 1, ""model__max_features"": null, ""model__max_depth"": 24, ""model__class_weight"": null, ""model__bootstrap"": false}",0.75,0.9937106918238994,0.98125,0.9813664596273292,0.9751552795031055,0.976,0.9866832298136645,0.9755776397515528,0.9781931464174455,0.9808447204968944,0.9752110142581369,0.023502710307444025,3.0,4.0,,,,,,,,,
domain_adhd_research_full,binary_domain,research_extended_hybrid,full,target_domain_adhd,1905,600,created,"{""model__n_estimators"": 180, ""model__min_samples_split"": 4, ""model__min_samples_leaf"": 2, ""model__max_features"": null, ""model__max_depth"": 10, ""model__class_weight"": ""balanced_subsample"", ""model__bootstrap"": false}",0.05,1.0,1.0,0.9813664596273292,1.0,1.0,0.9906832298136645,1.0,1.0,1.0,1.0,2.0203230439979066e-05,0.0,0.0,,,,,,,,,
domain_conduct_strict_full,binary_domain,strict_no_leakage_hybrid,full,target_domain_conduct,1905,600,created,"{""model__n_estimators"": 260, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 1, ""model__max_features"": null, ""model__max_depth"": 24, ""model__class_weight"": null, ""model__bootstrap"": false}",0.65,0.9863013698630136,0.96,0.9,0.9,0.9854368932038835,0.9475728155339807,0.9427184466019418,0.9290322580645162,0.9610133495145632,0.9397686008567447,0.032523301198533645,3.0,8.0,,,,,,,,,
domain_conduct_strict_compact,binary_domain,strict_no_leakage_hybrid,compact,target_domain_conduct,1905,118,created,"{""model__n_estimators"": 120, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 2, ""model__max_features"": ""log2"", ""model__max_depth"": 16, ""model__class_weight"": ""balanced_subsample"", ""model__bootstrap"": false}",0.85,0.9857142857142858,0.9848484848484849,0.8625,0.8125,0.9951456310679612,0.9288228155339806,0.9038228155339806,0.8904109589041096,0.9910194174757281,0.9791971692459809,0.034568219668093085,1.0,15.0,,,,,,,,,
domain_conduct_research_full,binary_domain,research_extended_hybrid,full,target_domain_conduct,1905,600,created,"{""model__n_estimators"": 260, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 1, ""model__max_features"": null, ""model__max_depth"": 24, ""model__class_weight"": null, ""model__bootstrap"": false}",0.7,0.9873417721518988,0.9753086419753086,0.975,0.9875,0.9902912621359223,0.9850728155339805,0.9888956310679612,0.9813664596273292,0.9950849514563107,0.9753124059018369,0.007415898633653147,2.0,1.0,,,,,,,,,
domain_elimination_strict_full,binary_domain,strict_no_leakage_hybrid,full,target_domain_elimination,1905,600,created,"{""model__n_estimators"": 180, ""model__min_samples_split"": 4, ""model__min_samples_leaf"": 2, ""model__max_features"": null, ""model__max_depth"": 10, ""model__class_weight"": ""balanced_subsample"", ""model__bootstrap"": false}",0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,
domain_elimination_strict_compact,binary_domain,strict_no_leakage_hybrid,compact,target_domain_elimination,1905,118,created,"{""model__n_estimators"": 180, ""model__min_samples_split"": 4, ""model__min_samples_leaf"": 2, ""model__max_features"": null, ""model__max_depth"": 10, ""model__class_weight"": ""balanced_subsample"", ""model__bootstrap"": false}",0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,
domain_elimination_research_full,binary_domain,research_extended_hybrid,full,target_domain_elimination,1905,600,created,"{""model__n_estimators"": 180, ""model__min_samples_split"": 4, ""model__min_samples_leaf"": 2, ""model__max_features"": null, ""model__max_depth"": 10, ""model__class_weight"": ""balanced_subsample"", ""model__bootstrap"": false}",0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,
domain_anxiety_strict_full,binary_domain,strict_no_leakage_hybrid,full,target_domain_anxiety,1905,600,created,"{""model__n_estimators"": 260, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 1, ""model__max_features"": null, ""model__max_depth"": 24, ""model__class_weight"": null, ""model__bootstrap"": false}",0.05,1.0,0.9701492537313433,1.0,0.9848484848484849,0.990909090909091,1.0,0.9878787878787879,0.9774436090225563,0.9878787878787879,0.9589465261107053,0.01048951048951049,2.0,1.0,,,,,,,,,
domain_anxiety_research_full,binary_domain,research_extended_hybrid,full,target_domain_anxiety,1905,600,created,"{""model__n_estimators"": 260, ""model__min_samples_split"": 8, ""model__min_samples_leaf"": 1, ""model__max_features"": null, ""model__max_depth"": 24, ""model__class_weight"": null, ""model__bootstrap"": false}",0.05,1.0,0.9701492537313433,1.0,0.9848484848484849,0.990909090909091,1.0,0.9878787878787879,0.9774436090225563,0.9878787878787879,0.9589465261107053,0.01048951048951049,2.0,1.0,,,,,,,,,
