trial_id,candidate_rank,fold_index,balanced_accuracy
domain_elimination_strict_compact,4,0,0.9748120918388303
domain_elimination_strict_compact,4,1,0.9728041237113403
domain_elimination_strict_compact,4,2,0.9798732531015832
domain_elimination_strict_compact,5,0,0.9702427403786914
domain_elimination_strict_compact,5,1,0.971958762886598
domain_elimination_strict_compact,5,2,0.963338356418884
domain_elimination_strict_compact,6,0,0.9539573664106461
domain_elimination_strict_compact,6,1,0.9544948453608247
domain_elimination_strict_compact,6,2,0.961346324546374
domain_elimination_research_full,1,0,1.0
domain_elimination_research_full,1,1,1.0
domain_elimination_research_full,1,2,1.0
domain_elimination_research_full,1,0,1.0
domain_elimination_research_full,1,1,1.0
domain_elimination_research_full,1,2,1.0
domain_elimination_research_full,1,0,1.0
domain_elimination_research_full,1,1,1.0
domain_elimination_research_full,1,2,1.0
domain_elimination_research_full,4,0,0.9622746128886516
domain_elimination_research_full,4,1,0.9516494845360824
domain_elimination_research_full,4,2,0.9495902400759656
domain_elimination_research_full,5,0,0.9588758368587507
domain_elimination_research_full,5,1,0.9548041237113403
domain_elimination_research_full,5,2,0.9382366905435253
domain_elimination_research_full,6,0,0.9376719924426007
domain_elimination_research_full,6,1,0.9241855670103093
domain_elimination_research_full,6,2,0.9244885742006068
domain_anxiety_strict_full,1,0,0.9810509282916028
domain_anxiety_strict_full,1,1,0.9956011730205279
domain_anxiety_strict_full,1,2,0.9625316744013894
domain_anxiety_strict_full,2,0,0.9936836427638676
domain_anxiety_strict_full,2,1,0.980027332517154
domain_anxiety_strict_full,2,2,0.9576773054693506
domain_anxiety_strict_full,3,0,0.9630386646227218
domain_anxiety_strict_full,3,1,0.9790165988098967
domain_anxiety_strict_full,3,2,0.9629872163539561
domain_anxiety_strict_full,4,0,0.9688866178390961
domain_anxiety_strict_full,4,1,0.9770947811975059
domain_anxiety_strict_full,4,2,0.9528229365373118
domain_anxiety_strict_full,5,0,0.9591778799750185
domain_anxiety_strict_full,5,1,0.9673860433334283
domain_anxiety_strict_full,5,2,0.9445804743330581
domain_anxiety_strict_full,6,0,0.963095440867541
domain_anxiety_strict_full,6,1,0.9814936081769781
domain_anxiety_strict_full,6,2,0.9251629986049028
domain_anxiety_research_full,1,0,0.9810509282916028
domain_anxiety_research_full,1,1,0.990746804088489
domain_anxiety_research_full,1,2,0.9625316744013894
domain_anxiety_research_full,2,0,0.9936836427638676
domain_anxiety_research_full,2,1,0.980027332517154
domain_anxiety_research_full,2,2,0.9576773054693506
domain_anxiety_research_full,3,0,0.9688866178390961
domain_anxiety_research_full,3,1,0.9834154257893688
domain_anxiety_research_full,3,2,0.9528229365373118
domain_anxiety_research_full,4,0,0.9630386646227218
domain_anxiety_research_full,4,1,0.9804828744697207
domain_anxiety_research_full,4,2,0.9566665717620932
domain_anxiety_research_full,5,0,0.9591778799750185
domain_anxiety_research_full,5,1,0.9673860433334283
domain_anxiety_research_full,5,2,0.9445804743330581
domain_anxiety_research_full,6,0,0.9664878214954863
domain_anxiety_research_full,6,1,0.9781055149047633
domain_anxiety_research_full,6,2,0.9251629986049028
domain_depression_strict_full,1,0,0.9503745318352059
domain_depression_strict_full,1,1,0.9671580636985723
domain_depression_strict_full,1,2,0.9765354397229027
domain_depression_strict_full,2,0,0.9456928838951311
domain_depression_strict_full,2,1,0.9765565599391738
domain_depression_strict_full,2,2,0.9643701951507984
domain_depression_strict_full,3,0,0.9419475655430711
domain_depression_strict_full,3,1,0.9746979809073245
domain_depression_strict_full,3,2,0.9596815071386331
domain_depression_strict_full,4,0,0.9447565543071161
domain_depression_strict_full,4,1,0.9606107966545577
domain_depression_strict_full,4,2,0.9662287741826476
domain_depression_strict_full,5,0,0.9456928838951311
domain_depression_strict_full,5,1,0.9484455520824533
domain_depression_strict_full,5,2,0.9671791839148434
domain_depression_strict_full,6,0,0.9382022471910112
domain_depression_strict_full,6,1,0.9587310974064374
domain_depression_strict_full,6,2,0.9643490749345274
domain_depression_strict_compact,1,0,0.9438202247191011
domain_depression_strict_compact,1,1,0.9690588831629636
domain_depression_strict_compact,1,2,0.9634197854186026
domain_depression_strict_compact,2,0,0.9391385767790262
domain_depression_strict_compact,2,1,0.9671791839148434
domain_depression_strict_compact,2,2,0.9681084734307679
domain_depression_strict_compact,3,0,0.9447565543071161
domain_depression_strict_compact,3,1,0.9540635296105432
domain_depression_strict_compact,3,2,0.9699881726788883
domain_depression_strict_compact,4,0,0.9503745318352059
domain_depression_strict_compact,4,1,0.9587522176227085
domain_depression_strict_compact,4,2,0.9531131198783476
domain_depression_strict_compact,5,0,0.9307116104868913
domain_depression_strict_compact,5,1,0.9606107966545577
domain_depression_strict_compact,5,2,0.9474529019177156
domain_depression_strict_compact,6,0,0.9325842696629213
domain_depression_strict_compact,6,1,0.9549716989101968
domain_depression_strict_compact,6,2,0.940905634873701
domain_depression_research_full,1,0,0.9588014981273408
domain_depression_research_full,1,1,0.9765565599391738
domain_depression_research_full,1,2,0.9737475711751289
domain_depression_research_full,2,0,0.9503745318352059
domain_depression_research_full,2,1,0.9671580636985723
domain_depression_research_full,2,2,0.9746557404747824
domain_depression_research_full,3,0,0.9419475655430711
domain_depression_research_full,3,1,0.9746979809073245
domain_depression_research_full,3,2,0.9709385824110839
domain_depression_research_full,4,0,0.951310861423221
domain_depression_research_full,4,1,0.9624904959026781
domain_depression_research_full,4,2,0.9662287741826476
domain_depression_research_full,5,0,0.9410112359550562
domain_depression_research_full,5,1,0.9643490749345274
domain_depression_research_full,5,2,0.9643490749345274
domain_depression_research_full,6,0,0.9391385767790262
domain_depression_research_full,6,1,0.9493748415983779
domain_depression_research_full,6,2,0.9671791839148434
internal_adhd_strict_compact,1,0,0.9640512820512821
internal_adhd_strict_compact,1,1,0.9430309278350515
internal_adhd_strict_compact,1,2,0.9748453608247423
internal_adhd_strict_compact,2,0,0.9577435897435898
internal_adhd_strict_compact,2,1,0.9459175257731959
internal_adhd_strict_compact,2,2,0.9728453608247423
internal_adhd_strict_compact,3,0,0.9623076923076923
internal_adhd_strict_compact,3,1,0.9290309278350515
internal_adhd_strict_compact,3,2,0.9811134020618557
internal_adhd_strict_compact,4,0,0.9178461538461539
internal_adhd_strict_compact,4,1,0.9344948453608248
internal_adhd_strict_compact,4,2,0.9233402061855671
internal_adhd_strict_compact,5,0,0.9152820512820513
internal_adhd_strict_compact,5,1,0.9264948453608248
internal_adhd_strict_compact,5,2,0.921917525773196
internal_adhd_strict_compact,6,0,0.907025641025641
internal_adhd_strict_compact,6,1,0.929917525773196
internal_adhd_strict_compact,6,2,0.9110309278350516
