domain,model_id,candidate_id,params_json,threshold_selected,val_precision,val_balanced_accuracy,val_recall,test_precision,test_balanced_accuracy,test_recall,selection_score
adhd,domain_adhd_research_full,adhd_anti_overfit_v1_c1,"{""n_estimators"": 220, ""max_depth"": 8, ""min_samples_split"": 10, ""min_samples_leaf"": 4, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",0.6,0.9936305732484076,0.980472049689441,0.968944099378882,0.9936305732484076,0.980472049689441,0.968944099378882,0.9840877952288642
adhd,domain_adhd_research_full,adhd_anti_overfit_v1_c2,"{""n_estimators"": 300, ""max_depth"": 10, ""min_samples_split"": 14, ""min_samples_leaf"": 6, ""max_features"": ""log2"", ""class_weight"": ""balanced""}",0.65,0.9928571428571429,0.9276770186335404,0.8633540372670807,0.9864864864864865,0.945416149068323,0.906832298136646,0.9441434782608695
adhd,domain_adhd_research_full,adhd_anti_overfit_v1_c3,"{""n_estimators"": 180, ""max_depth"": 6, ""min_samples_split"": 20, ""min_samples_leaf"": 8, ""max_features"": 0.5, ""class_weight"": ""balanced_subsample""}",0.05,1.0,0.9906832298136645,0.9813664596273292,1.0,1.0,1.0,0.9930124223602484
anxiety,domain_anxiety_strict_full,anxiety_anti_overfit_v1_c1,"{""n_estimators"": 220, ""max_depth"": 8, ""min_samples_split"": 10, ""min_samples_leaf"": 4, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",0.7999999999999999,1.0,0.9621212121212122,0.9242424242424242,0.9846153846153847,0.9825757575757577,0.9696969696969697,0.9715909090909091
anxiety,domain_anxiety_strict_full,anxiety_anti_overfit_v1_c2,"{""n_estimators"": 300, ""max_depth"": 10, ""min_samples_split"": 14, ""min_samples_leaf"": 6, ""max_features"": ""log2"", ""class_weight"": ""balanced""}",0.85,1.0,0.9242424242424243,0.8484848484848485,0.9841269841269841,0.9674242424242425,0.9393939393939394,0.9431818181818181
anxiety,domain_anxiety_strict_full,anxiety_anti_overfit_v1_c3,"{""n_estimators"": 180, ""max_depth"": 6, ""min_samples_split"": 20, ""min_samples_leaf"": 8, ""max_features"": 0.5, ""class_weight"": ""balanced_subsample""}",0.75,0.984375,0.9750000000000001,0.9545454545454546,0.9848484848484849,0.9901515151515152,0.9848484848484849,0.9751278409090909
conduct,domain_conduct_research_full,conduct_anti_overfit_v1_c1,"{""n_estimators"": 220, ""max_depth"": 8, ""min_samples_split"": 10, ""min_samples_leaf"": 4, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",0.75,1.0,0.93125,0.8625,1.0,0.9,0.8,0.9484374999999999
conduct,domain_conduct_research_full,conduct_anti_overfit_v1_c2,"{""n_estimators"": 300, ""max_depth"": 10, ""min_samples_split"": 14, ""min_samples_leaf"": 6, ""max_features"": ""log2"", ""class_weight"": ""balanced""}",0.7,0.9859154929577465,0.9350728155339806,0.875,0.9848484848484849,0.9038228155339806,0.8125,0.9459374572678791
conduct,domain_conduct_research_full,conduct_anti_overfit_v1_c3,"{""n_estimators"": 180, ""max_depth"": 6, ""min_samples_split"": 20, ""min_samples_leaf"": 8, ""max_features"": 0.5, ""class_weight"": ""balanced_subsample""}",0.85,0.9864864864864865,0.9538228155339805,0.9125,0.9855072463768116,0.9225728155339805,0.85,0.9602569043558121
depression,domain_depression_strict_full,depression_anti_overfit_v1_c1,"{""n_estimators"": 220, ""max_depth"": 8, ""min_samples_split"": 10, ""min_samples_leaf"": 4, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",0.65,0.9821428571428571,0.976642186862505,0.9649122807017544,0.9906542056074766,0.9579455886092041,0.9217391304347826,0.9767715072565134
depression,domain_depression_strict_full,depression_anti_overfit_v1_c2,"{""n_estimators"": 300, ""max_depth"": 10, ""min_samples_split"": 14, ""min_samples_leaf"": 6, ""max_features"": ""log2"", ""class_weight"": ""balanced""}",0.85,1.0,0.9342105263157895,0.868421052631579,1.0,0.8869565217391304,0.7739130434782608,0.9506578947368421
depression,domain_depression_strict_full,depression_anti_overfit_v1_c3,"{""n_estimators"": 180, ""max_depth"": 6, ""min_samples_split"": 20, ""min_samples_leaf"": 8, ""max_features"": 0.5, ""class_weight"": ""balanced_subsample""}",0.7999999999999999,1.0,0.9736842105263157,0.9473684210526315,0.9904761904761905,0.9492499364352911,0.9043478260869565,0.9802631578947368
elimination,domain_elimination_strict_full,elimination_anti_overfit_v1_c1,"{""n_estimators"": 220, ""max_depth"": 8, ""min_samples_split"": 10, ""min_samples_leaf"": 4, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",0.5499999999999999,0.9938271604938271,0.996,1.0,0.9817073170731707,0.988,1.0,0.9958222222222222
elimination,domain_elimination_strict_full,elimination_anti_overfit_v1_c2,"{""n_estimators"": 300, ""max_depth"": 10, ""min_samples_split"": 14, ""min_samples_leaf"": 6, ""max_features"": ""log2"", ""class_weight"": ""balanced""}",0.49999999999999994,0.9746835443037974,0.9622608695652174,0.9565217391304348,0.9245283018867925,0.9085217391304348,0.9130434782608695,0.9667032471106218
elimination,domain_elimination_strict_full,elimination_anti_overfit_v1_c3,"{""n_estimators"": 180, ""max_depth"": 6, ""min_samples_split"": 20, ""min_samples_leaf"": 8, ""max_features"": 0.5, ""class_weight"": ""balanced_subsample""}",0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0
