domain,role,mode,active_model_id,stress_type,base_f1,stress_f1,delta_f1,base_balanced_accuracy,stress_balanced_accuracy,delta_balanced_accuracy,dropped_features,top1_importance_share,top3_importance_share
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,missingness_10pct,0.8113207547169812,0.76,-0.051320754716981165,0.9159960313085658,0.865395215521993,-0.05060081578657272,,,
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,top1_drop,0.8113207547169812,0.7413793103448276,-0.06994144437215355,0.9159960313085658,0.8900892955572703,-0.02590673575129543,adhd_onset_before_12,0.20276465318223258,0.5596062773120282
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,top3_drop,0.8113207547169812,0.5555555555555556,-0.2557651991614256,0.9159960313085658,0.70956895601367,-0.2064270752948958,adhd_onset_before_12|adhd_inatt_08_easily_distracted|adhd_impairment_school,0.20276465318223258,0.5596062773120282
adhd,caregiver,caregiver_2_3,adhd__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,missingness_10pct,0.8,0.7722772277227723,-0.027722772277227747,0.9121100209458715,0.8760335133943336,-0.036076507551537906,,,
adhd,caregiver,caregiver_2_3,adhd__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,top1_drop,0.8,0.7058823529411765,-0.09411764705882353,0.9121100209458715,0.8160897365229853,-0.09602028442288613,adhd_inatt_08_easily_distracted,0.2541346222904481,0.5738970670021726
adhd,caregiver,caregiver_2_3,adhd__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,top3_drop,0.8,0.5165562913907285,-0.2834437086092716,0.9121100209458715,0.6841307463344725,-0.227979274611399,adhd_inatt_08_easily_distracted|adhd_onset_before_12|adhd_impairment_school,0.2541346222904481,0.5738970670021726
adhd,caregiver,caregiver_full,adhd__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,missingness_10pct,0.8055555555555556,0.7450980392156863,-0.06045751633986929,0.9174291698820416,0.8602138683717341,-0.057215301510307515,,,
adhd,caregiver,caregiver_full,adhd__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,top1_drop,0.8055555555555556,0.7272727272727273,-0.07828282828282829,0.9174291698820416,0.8293187079704554,-0.08811046191158622,eng_adhd_core_mean,0.16447526343251415,0.376052359747003
adhd,caregiver,caregiver_full,adhd__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,top3_drop,0.8055555555555556,0.041237113402061855,-0.7643184421534938,0.9174291698820416,0.5093429610847756,-0.408086208797266,eng_adhd_core_mean|eng_externalizing_index|adhd_onset_before_12,0.16447526343251415,0.376052359747003
adhd,psychologist,psychologist_1_3,adhd__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,missingness_10pct,0.7909090909090909,0.751219512195122,-0.03968957871396894,0.9122478227317825,0.8655330173079043,-0.04671480542387818,,,
adhd,psychologist,psychologist_1_3,adhd__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,top1_drop,0.7909090909090909,0.7368421052631579,-0.05406698564593304,0.9122478227317825,0.8386616690552309,-0.07358615367655164,adhd_inatt_08_easily_distracted,0.20282389379708332,0.5567100696677907
adhd,psychologist,psychologist_1_3,adhd__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,top3_drop,0.7909090909090909,0.5421686746987951,-0.24874041621029575,0.9122478227317825,0.7043876088634109,-0.2078602138683716,adhd_inatt_08_easily_distracted|adhd_onset_before_12|adhd_inatt_06_avoids_sustained_effort,0.20282389379708332,0.5567100696677907
adhd,psychologist,psychologist_2_3,adhd__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,missingness_10pct,0.8421052631578947,0.8208092485549133,-0.02129601460298136,0.9048065262925807,0.867296880167567,-0.03750964612501373,,,
adhd,psychologist,psychologist_2_3,adhd__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,top1_drop,0.8421052631578947,0.7960199004975125,-0.04608536266038221,0.9048065262925807,0.8905578216293684,-0.014248704663212375,adhd_onset_before_12,0.07412749792175703,0.19831123354476576
adhd,psychologist,psychologist_2_3,adhd__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,top3_drop,0.8421052631578947,0.7386363636363636,-0.10346889952153104,0.9048065262925807,0.8237239554624628,-0.08108257083011794,adhd_onset_before_12|adhd_impairment_home|adhd_inatt_08_easily_distracted,0.07412749792175703,0.19831123354476576
adhd,psychologist,psychologist_full,adhd__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,missingness_10pct,0.81,0.711864406779661,-0.09813559322033905,0.898467644140668,0.8091996472274281,-0.08926799691323994,,,
adhd,psychologist,psychologist_full,adhd__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,top1_drop,0.81,0.7417218543046358,-0.06827814569536428,0.898467644140668,0.7965770036379671,-0.10189064050270091,adhd_inatt_08_easily_distracted,0.17139021527046258,0.4167245300026928
adhd,psychologist,psychologist_full,adhd__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,top3_drop,0.81,0.25225225225225223,-0.5577477477477478,0.898467644140668,0.5705820747436887,-0.3278855693969793,adhd_inatt_08_easily_distracted|adhd_onset_before_12|adhd_impairment_home,0.17139021527046258,0.4167245300026928
anxiety,caregiver,caregiver_1_3,anxiety__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,missingness_10pct,0.8705882352941177,0.8076923076923077,-0.06289592760180995,0.9175422028095856,0.8573958210364774,-0.06014638177310827,,,
anxiety,caregiver,caregiver_1_3,anxiety__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,top1_drop,0.8705882352941177,0.0,-0.8705882352941177,0.9175422028095856,0.5,-0.41754220280958565,eng_anxiety_core_mean,0.21685553440506222,0.5065758752667631
anxiety,caregiver,caregiver_1_3,anxiety__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,top3_drop,0.8705882352941177,0.0,-0.8705882352941177,0.9175422028095856,0.5,-0.41754220280958565,eng_anxiety_core_mean|eng_internalizing_index|eng_depression_core_mean,0.21685553440506222,0.5065758752667631
anxiety,caregiver,caregiver_2_3,anxiety__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,missingness_10pct,0.8402366863905325,0.7412587412587412,-0.09897794513179126,0.8975622712784795,0.8030633927517412,-0.09449887852673833,,,
anxiety,caregiver,caregiver_2_3,anxiety__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,top1_drop,0.8402366863905325,0.7058823529411765,-0.134354333449356,0.8975622712784795,0.7765316963758706,-0.12103057490260893,gad_difficulty_controlling_worry,0.09375,0.21875
anxiety,caregiver,caregiver_2_3,anxiety__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,top3_drop,0.8402366863905325,0.0,-0.8402366863905325,0.8975622712784795,0.5,-0.39756227127847954,gad_difficulty_controlling_worry|sep_anx_03_worry_event_causing_separation|adhd_hypimp_05_driven_by_motor,0.09375,0.21875
anxiety,caregiver,caregiver_full,anxiety__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,missingness_10pct,0.8187134502923976,0.7733333333333333,-0.0453801169590643,0.8879412111911227,0.8295950891276118,-0.058346122063510863,,,
anxiety,caregiver,caregiver_full,anxiety__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,top1_drop,0.8187134502923976,0.704225352112676,-0.11448809817972161,0.8879412111911227,0.7830834612206351,-0.10485774997048758,gad_excessive_worry_multiple_areas,0.09375,0.21875
anxiety,caregiver,caregiver_full,anxiety__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,top3_drop,0.8187134502923976,0.3269230769230769,-0.4917903733693207,0.8879412111911227,0.5975681737693307,-0.290373037421792,gad_excessive_worry_multiple_areas|mdd_07_worthlessness_or_excessive_guilt|mdd_04_sleep_change,0.09375,0.21875
anxiety,psychologist,psychologist_1_3,anxiety__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,missingness_10pct,0.8352941176470589,0.8048780487804879,-0.030416068866571,0.8962932357454846,0.8684925038366191,-0.02780073190886545,,,
anxiety,psychologist,psychologist_1_3,anxiety__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,top1_drop,0.8352941176470589,0.8208092485549133,-0.014484869092145525,0.8962932357454846,0.8924861291464998,-0.0038071065989847552,social_anxiety_avoid_or_endure_intense,0.17142857142857143,0.42857142857142855
anxiety,psychologist,psychologist_1_3,anxiety__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,top3_drop,0.8352941176470589,0.0,-0.8352941176470589,0.8962932357454846,0.5,-0.3962932357454846,social_anxiety_avoid_or_endure_intense|social_anxiety_fear_interactions|sep_anx_01_distress_on_separation,0.17142857142857143,0.42857142857142855
anxiety,psychologist,psychologist_2_3,anxiety__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,missingness_10pct,0.8372093023255814,0.7692307692307693,-0.06797853309481217,0.9008381537008618,0.8361468539723764,-0.06469129972848542,,,
anxiety,psychologist,psychologist_2_3,anxiety__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,top1_drop,0.8372093023255814,0.8176100628930818,-0.019599239432499638,0.9008381537008618,0.8677546924802266,-0.03308346122063521,agor_fear_04_crowds_queues,0.09677419354838708,0.2258064516129032
anxiety,psychologist,psychologist_2_3,anxiety__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,top3_drop,0.8372093023255814,0.8176100628930818,-0.019599239432499638,0.9008381537008618,0.8677546924802266,-0.03308346122063521,agor_fear_04_crowds_queues|gad_assoc_06_sleep_problems|sep_anx_06_refuses_sleep_away_or_alone,0.09677419354838708,0.2258064516129032
anxiety,psychologist,psychologist_full,anxiety__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,missingness_10pct,0.7662337662337663,0.592,-0.1742337662337663,0.8316019360169992,0.7125782080037776,-0.11902372801322159,,,
anxiety,psychologist,psychologist_full,anxiety__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,top1_drop,0.7662337662337663,0.5691056910569106,-0.1971280751768557,0.8316019360169992,0.7009503010270334,-0.1306516349899658,sep_anx_02_worry_losing_attachment_figures,0.07692307692307693,0.23076923076923078
