candidate_id,domain,mode,stability_axis,variant_id,seed,calibration_method,threshold,holdout_precision,holdout_recall,holdout_specificity,holdout_balanced_accuracy,holdout_f1,holdout_roc_auc,holdout_pr_auc,holdout_brier,overfit_gap_train_val_ba,generalization_gap_val_holdout_ba
adhd__psychologist_2_3,adhd,psychologist_2_3,seed,seed_20260412,20260412,isotonic,0.5,0.7747747747747747,0.9148936170212766,0.9352331606217616,0.9250633888215192,0.8390243902439024,0.9425779958108256,0.7693292583602127,0.05496522159680617,0.04504281042148961,0.029462021827802887
adhd__psychologist_2_3,adhd,psychologist_2_3,seed,seed_20260429,20260429,isotonic,0.5,0.7610619469026548,0.9148936170212766,0.9300518134715026,0.9224727152463896,0.8309178743961353,0.9349299966927571,0.7491727060375598,0.057968931039095714,0.04331569470473673,0.03205269540293243
adhd__psychologist_2_3,adhd,psychologist_2_3,seed,seed_20260455,20260455,isotonic,0.5,0.7727272727272727,0.9042553191489362,0.9352331606217616,0.9197442398853489,0.8333333333333334,0.9581220372616027,0.7925441212326313,0.051474495602045124,0.056112887223018326,0.022847536104067978
adhd__psychologist_2_3,adhd,psychologist_2_3,split,alt_split_1,20260412,isotonic,0.5,0.7401574803149606,1.0,0.9145077720207254,0.9572538860103628,0.8506787330316742,0.9520449785029215,0.7165869806769605,0.05486400791888899,0.016407599309153698,-0.002590673575129543
adhd__psychologist_2_3,adhd,psychologist_2_3,split,alt_split_2,20260412,isotonic,0.5,0.744,0.9893617021276596,0.917098445595855,0.9532300738617573,0.8493150684931506,0.9530922720758462,0.7440958196587776,0.05679779676129046,0.01813471502590669,0.0027284753610407053
adhd__psychologist_full,adhd,psychologist_full,seed,seed_20260429,20260429,isotonic,0.05,0.9479166666666666,0.9680851063829787,0.9870466321243523,0.9775658692536655,0.9578947368421052,0.9803219049718883,0.9451063417182078,0.015458704199548236,0.0021588946459412117,0.019843457171204948
adhd__psychologist_full,adhd,psychologist_full,seed,seed_20260446,20260446,isotonic,0.05,0.9494949494949495,1.0,0.9870466321243523,0.9935233160621761,0.9740932642487047,0.9956454635652078,0.9660839659575655,0.012572143267638192,0.0021588946459412117,0.0038860103626943143
adhd__psychologist_full,adhd,psychologist_full,seed,seed_20260472,20260472,isotonic,0.05,0.9479166666666666,0.9680851063829787,0.9870466321243523,0.9775658692536655,0.9578947368421052,0.9803219049718883,0.9451601884225275,0.01547874244986555,0.0021588946459412117,0.019843457171204948
adhd__psychologist_full,adhd,psychologist_full,split,alt_split_1,20260429,isotonic,0.05,0.9494949494949495,1.0,0.9870466321243523,0.9935233160621761,0.9740932642487047,0.9979329732113328,0.9838232773016522,0.00808963182240404,0.007772020725388629,-0.0038860103626943143
adhd__psychologist_full,adhd,psychologist_full,split,alt_split_2,20260429,isotonic,0.05,0.9690721649484536,1.0,0.9922279792746114,0.9961139896373057,0.9842931937172775,0.9981534560687906,0.9850126484267023,0.004352944159298737,0.0,0.0012953367875647714
anxiety__caregiver_2_3,anxiety,caregiver_2_3,seed,seed_20260429,20260429,isotonic,0.5,0.8913043478260869,0.9534883720930233,0.9746192893401016,0.9640538307165625,0.9213483146067416,0.9867341518120647,0.9296925029139941,0.021602992451955513,-6.886239326331367e-05,0.015435013575728851
anxiety__caregiver_2_3,anxiety,caregiver_2_3,seed,seed_20260446,20260446,isotonic,0.5,0.8901098901098901,0.9418604651162791,0.9746192893401016,0.9582398772281904,0.9152542372881356,0.9868817140833431,0.9334750620721335,0.02222778985629673,-0.0039448313855112715,0.021248967064100954
anxiety__caregiver_2_3,anxiety,caregiver_2_3,seed,seed_20260472,20260472,isotonic,0.5,0.8913043478260869,0.9534883720930233,0.9746192893401016,0.9640538307165625,0.9213483146067416,0.9864980521780191,0.9270834411872679,0.024385881597830606,0.0007771612953999529,0.015435013575728851
anxiety__caregiver_2_3,anxiety,caregiver_2_3,split,alt_split_1,20260429,isotonic,0.5,0.9101123595505618,0.9418604651162791,0.9796954314720813,0.9607779482941802,0.9257142857142857,0.9927399362530989,0.9609357476264699,0.022127679764243017,0.056201550387597,-0.026531696375870717
anxiety__caregiver_2_3,anxiety,caregiver_2_3,split,alt_split_2,20260429,isotonic,0.5,0.9875,0.9186046511627907,0.9974619289340102,0.9580332900484004,0.9518072289156626,0.991456144492976,0.9809007580155353,0.012830622914987337,0.04045173729980722,-0.02706292055247317
anxiety__caregiver_full,anxiety,caregiver_full,seed,seed_20260429,20260429,sigmoid,0.49499999999999994,0.9418604651162791,0.9418604651162791,0.9873096446700508,0.9645850548931649,0.9418604651162791,0.9935662849722582,0.9571307953536649,0.020586584402355848,0.01240506827214416,-0.005813953488372103
anxiety__caregiver_full,anxiety,caregiver_full,seed,seed_20260446,20260446,sigmoid,0.5349999999999999,0.9397590361445783,0.9069767441860465,0.9873096446700508,0.9471431944280486,0.9230769230769231,0.99321213552119,0.9555475782337445,0.021443366148344533,0.020580018100971986,0.0
anxiety__caregiver_full,anxiety,caregiver_full,seed,seed_20260472,20260472,sigmoid,0.4699999999999999,0.9411764705882353,0.9302325581395349,0.9873096446700508,0.9587711014047928,0.935672514619883,0.9936253098807697,0.9598569714844012,0.020697480755634396,0.020157006256640297,0.0
anxiety__caregiver_full,anxiety,caregiver_full,split,alt_split_1,20260429,sigmoid,0.8699999999999999,0.9848484848484849,0.7558139534883721,0.9974619289340102,0.8766379412111911,0.8552631578947368,0.9938318970605595,0.9734965951901121,0.022130141272738046,0.07751937984496127,-0.07431235981584228
anxiety__caregiver_full,anxiety,caregiver_full,split,alt_split_2,20260429,sigmoid,0.6,0.9875,0.9186046511627907,0.9974619289340102,0.9580332900484004,0.9518072289156626,0.9966946051233619,0.9906247622823506,0.01534873369293452,0.04838075000983755,-0.03287687404084527
conduct__caregiver_2_3,conduct,caregiver_2_3,seed,seed_20260412,20260412,isotonic,0.05,0.9814814814814815,1.0,0.9906542056074766,0.9953271028037383,0.9906542056074766,1.0,1.0,0.001195853073814591,-0.0010405827263266776,0.004672897196261738
conduct__caregiver_2_3,conduct,caregiver_2_3,seed,seed_20260429,20260429,isotonic,0.05,0.9814814814814815,1.0,0.9906542056074766,0.9953271028037383,0.9906542056074766,1.0,1.0,0.001222570235393319,-0.0010405827263266776,0.004672897196261738
conduct__caregiver_2_3,conduct,caregiver_2_3,seed,seed_20260455,20260455,isotonic,0.05,0.9814814814814815,1.0,0.9906542056074766,0.9953271028037383,0.9906542056074766,1.0,1.0,0.0012121847206449622,-0.0005202913631634498,0.004672897196261738
conduct__caregiver_2_3,conduct,caregiver_2_3,split,alt_split_1,20260412,isotonic,0.05,0.9876543209876543,1.0,0.99375,0.996875,0.9937888198757764,1.0,1.0,0.0013252419581192927,-0.0010405827263266776,0.0031250000000000444
conduct__caregiver_2_3,conduct,caregiver_2_3,split,alt_split_2,20260412,isotonic,0.05,1.0,0.99375,1.0,0.996875,0.9968652037617555,0.996875,0.9958333333333333,0.0020833291676666662,0.0,0.0031250000000000444
conduct__psychologist_2_3,conduct,psychologist_2_3,seed,seed_20260412,20260412,isotonic,0.05,0.9875776397515528,1.0,0.9937694704049844,0.9968847352024922,0.99375,1.0,1.0,0.0012856785452305278,-0.0005202913631634498,0.0031152647975077885
conduct__psychologist_2_3,conduct,psychologist_2_3,seed,seed_20260429,20260429,isotonic,0.05,0.9814814814814815,1.0,0.9906542056074766,0.9953271028037383,0.9906542056074766,1.0,1.0,0.0014320178727411672,-0.0005202913631634498,0.004672897196261738
conduct__psychologist_2_3,conduct,psychologist_2_3,seed,seed_20260455,20260455,isotonic,0.05,0.9814814814814815,1.0,0.9906542056074766,0.9953271028037383,0.9906542056074766,1.0,1.0,0.0014188564862445692,-0.0005202913631634498,0.004672897196261738
conduct__psychologist_2_3,conduct,psychologist_2_3,split,alt_split_1,20260412,isotonic,0.05,0.9876543209876543,1.0,0.99375,0.996875,0.9937888198757764,1.0,1.0,0.0015886396451637692,-0.0010405827263266776,0.0031250000000000444
conduct__psychologist_2_3,conduct,psychologist_2_3,split,alt_split_2,20260412,isotonic,0.05,0.9876543209876543,1.0,0.99375,0.996875,0.9937888198757764,0.99998046875,0.9999611801242236,0.0011817553259721042,-3.2416907362886604e-06,0.0015673676012462057
conduct__psychologist_full,conduct,psychologist_full,seed,seed_20260412,20260412,isotonic,0.05,0.9814814814814815,1.0,0.9906542056074766,0.9953271028037383,0.9906542056074766,1.0,1.0,0.0011761822594189176,-0.0005202913631634498,0.004672897196261738
conduct__psychologist_full,conduct,psychologist_full,seed,seed_20260429,20260429,isotonic,0.05,0.9814814814814815,1.0,0.9906542056074766,0.9953271028037383,0.9906542056074766,1.0,1.0,0.0011459932088470639,-0.0005202913631634498,0.004672897196261738
conduct__psychologist_full,conduct,psychologist_full,seed,seed_20260455,20260455,isotonic,0.05,0.9814814814814815,1.0,0.9906542056074766,0.9953271028037383,0.9906542056074766,1.0,1.0,0.0011552901930436176,-0.0005202913631634498,0.004672897196261738
conduct__psychologist_full,conduct,psychologist_full,split,alt_split_1,20260412,isotonic,0.05,0.9876543209876543,1.0,0.99375,0.996875,0.9937888198757764,1.0,1.0,0.0016135142122261196,-0.0015608740894901274,0.0031250000000000444
conduct__psychologist_full,conduct,psychologist_full,split,alt_split_2,20260412,isotonic,0.05,0.9876543209876543,1.0,0.99375,0.996875,0.9937888198757764,0.99998046875,0.9999611801242236,0.001251741165354601,-3.2416907362886604e-06,0.0015673676012462057
depression__caregiver_2_3,depression,caregiver_2_3,seed,seed_20260513,20260513,none,0.59,0.8472222222222222,0.7439024390243902,0.9723618090452262,0.8581321240348082,0.7922077922077922,0.9696041181517343,0.8629559860945878,0.05200483241107459,0.03508190037662884,0.053989459492584824
depression__caregiver_2_3,depression,caregiver_2_3,seed,seed_20260530,20260530,none,0.5449999999999999,0.8378378378378378,0.7560975609756098,0.9698492462311558,0.8629734036033827,0.7948717948717948,0.9675205294766516,0.8532683908409133,0.05294595282870175,0.04690838829397148,0.04914817992401033
depression__caregiver_2_3,depression,caregiver_2_3,seed,seed_20260556,20260556,none,0.5449999999999999,0.8378378378378378,0.7560975609756098,0.9698492462311558,0.8629734036033827,0.7948717948717948,0.9658659149405564,0.8459337510353979,0.05339731166201583,0.04732679833581255,0.04914817992401033
depression__caregiver_2_3,depression,caregiver_2_3,split,alt_split_1,20260513,none,0.7549999999999999,0.9594594594594594,0.8658536585365854,0.992462311557789,0.9291579850471872,0.9102564102564102,0.9937185929648241,0.9755012086633714,0.022967094231726947,0.0607861357559325,-0.0817808554969972
depression__caregiver_2_3,depression,caregiver_2_3,split,alt_split_2,20260513,none,0.715,0.9420289855072463,0.7926829268292683,0.9899497487437185,0.8913163377864934,0.8609271523178808,0.984051354332639,0.929651939778883,0.030709823057895498,0.05196633598795952,-0.02941536953057966
depression__caregiver_full,depression,caregiver_full,seed,seed_20260412,20260412,none,0.615,0.8356164383561644,0.7439024390243902,0.9698492462311558,0.8568758426277729,0.7870967741935484,0.9715651427871063,0.8699765906318093,0.05093172225792724,0.039214766912364474,0.05524574089962009
depression__caregiver_full,depression,caregiver_full,seed,seed_20260429,20260429,none,0.595,0.8333333333333334,0.7317073170731707,0.9698492462311558,0.8507782816521632,0.7792207792207793,0.9714119377374678,0.8692515364087584,0.05140281737046956,0.04737803221848691,0.06134330187522985
depression__caregiver_full,depression,caregiver_full,seed,seed_20260455,20260455,none,0.585,0.8356164383561644,0.7439024390243902,0.9698492462311558,0.8568758426277729,0.7870967741935484,0.9716264248069616,0.8746544001915681,0.05121759498010207,0.04900043850317648,0.05524574089962009
depression__caregiver_full,depression,caregiver_full,split,alt_split_1,20260412,none,0.5549999999999999,0.9240506329113924,0.8902439024390244,0.9849246231155779,0.9375842627773012,0.906832298136646,0.9938411570045349,0.9743074603255644,0.024031539411986706,0.07148142697446436,-0.04878048780487809
depression__caregiver_full,depression,caregiver_full,split,alt_split_2,20260412,none,0.42499999999999993,0.9342105263157895,0.8658536585365854,0.9874371859296482,0.9266454222331169,0.8987341772151899,0.9871920578502267,0.9242229602976111,0.029513151945556808,0.0944529803433174,-0.029415369530579882
depression__psychologist_full,depression,psychologist_full,seed,seed_20260513,20260513,none,0.6599999999999999,0.890625,0.6951219512195121,0.9824120603015075,0.8387670057605099,0.7808219178082192,0.9753952690280672,0.9003575294905959,0.04673554009094145,0.03515842885648346,0.06851329819830854
