domain,mode,bootstrap_rounds_effective,bootstrap_f1_mean,bootstrap_f1_std,bootstrap_recall_mean,bootstrap_recall_std,bootstrap_precision_mean,bootstrap_precision_std,bootstrap_balanced_accuracy_mean,bootstrap_balanced_accuracy_std,bootstrap_brier_mean,bootstrap_brier_std
adhd,caregiver_1_3,80,0.8046499841181788,0.03304935083368945,0.925922603869456,0.029092294154811855,0.7124921763661975,0.042818319706477176,0.9172413835676316,0.016772974499128773,0.07371050087958533,0.008120608727739358
adhd,caregiver_2_3,80,0.8116749752437293,0.027666842407041176,0.9501253843364452,0.020156629179668217,0.7091987736781847,0.03737854266336174,0.9276394925257907,0.013439658416519043,0.07437356412385626,0.00837752190732207
adhd,psychologist_1_3,80,0.7664456178454415,0.036587080468792416,0.9086045509280893,0.03158467368429698,0.6637257685660315,0.044332959053782296,0.8980973597835243,0.018870860514769695,0.14939104167741607,0.0037675103847432064
adhd,psychologist_2_3,80,0.8277732909120701,0.02752924171764359,0.8724580024953028,0.035022427688928805,0.7884315346452837,0.0341530950421893,0.9074953804086366,0.01804257492112494,0.08613003382879444,0.007012026015863037
anxiety,psychologist_1_3,80,0.8088701857454408,0.031233122975280275,0.9191071013224686,0.026896874767789267,0.7236055956586604,0.045183600757120565,0.9212143309190367,0.014866090272279073,0.0801348421978559,0.007726928154853191
anxiety,psychologist_full,80,0.8372631016138161,0.029206212057843135,0.8589138786894125,0.040022670661700115,0.8179631053889874,0.03537866179795381,0.908590542992387,0.020597897095092795,0.10647012592141247,0.003736185252047381
conduct,caregiver_2_3,80,0.8885511258659431,0.017564356511477086,0.9416766397576624,0.020369322845763784,0.8416308409877417,0.025765421120227682,0.9272498862210161,0.012305315816854083,0.07932913415552585,0.006886667464190263
depression,caregiver_1_3,80,0.848678274424803,0.028063625352518568,0.9071831461059283,0.025259750984348756,0.7984535062705176,0.042468607862039084,0.9296263370702011,0.014210888167116124,0.04950468210959367,0.0067552819491940004
depression,caregiver_2_3,80,0.8554838089936204,0.027369113842782712,0.9189682973876346,0.023542832634701368,0.801452241973057,0.04285136071191805,0.9356477563820762,0.013004193229880896,0.057541248931725256,0.006824881480529765
depression,psychologist_1_3,80,0.8217386388528064,0.038988241221239395,0.8148410400266002,0.05558884000373757,0.8308452523059404,0.04001061126213531,0.8902680738405963,0.028499352252415944,0.04888615786840854,0.00525434563163081
depression,psychologist_2_3,80,0.8523423290232263,0.02936867394300139,0.9307526891304766,0.023734618117361408,0.7875656783263294,0.045755747772807366,0.9390736037116166,0.01334664553826584,0.05665720179740234,0.006897013058203125
elimination,caregiver_1_3,80,0.8499062567198695,0.03541947237857575,0.8952975856772355,0.047253969510441855,0.8115519841449768,0.051416135599045024,0.9351210767345254,0.023334089048346322,0.05427339217728354,0.0036090874322400666
elimination,caregiver_2_3,80,0.8499062567198695,0.03541947237857575,0.8952975856772355,0.047253969510441855,0.8115519841449768,0.051416135599045024,0.9351210767345254,0.023334089048346322,0.05087043815444845,0.0037872441097236277
elimination,caregiver_full,80,0.8499062567198695,0.03541947237857575,0.8952975856772355,0.047253969510441855,0.8115519841449768,0.051416135599045024,0.9351210767345254,0.023334089048346322,0.05087043815444845,0.0037872441097236277
elimination,psychologist_1_3,80,0.8499062567198695,0.03541947237857575,0.8952975856772355,0.047253969510441855,0.8115519841449768,0.051416135599045024,0.9351210767345254,0.023334089048346322,0.05427339217728354,0.0036090874322400666
elimination,psychologist_2_3,80,0.8499062567198695,0.03541947237857575,0.8952975856772355,0.047253969510441855,0.8115519841449768,0.051416135599045024,0.9351210767345254,0.023334089048346322,0.05087043815444845,0.0037872441097236277
elimination,psychologist_full,80,0.8499062567198695,0.03541947237857575,0.8952975856772355,0.047253969510441855,0.8115519841449768,0.051416135599045024,0.9351210767345254,0.023334089048346322,0.05087043815444845,0.0037872441097236277
