domain,mode,ablation_case,k,delta_ba,delta_pr_auc,removed_features
anxiety,psychologist_1_3,baseline,0,0.0,0.0,
anxiety,psychologist_1_3,drop_top3,3,-0.02201629087474899,0.004615982899209947,eng_anxiety_core_mean|eng_internalizing_index|gad_difficulty_controlling_worry
anxiety,psychologist_1_3,drop_top5,5,-0.037982528627080514,0.007701659014644036,eng_anxiety_core_mean|eng_internalizing_index|gad_difficulty_controlling_worry|eng_depression_core_mean|gad_excessive_worry_multiple_areas
depression,caregiver_1_3,baseline,0,0.0,0.0,
depression,caregiver_1_3,drop_top3,3,-0.019732810393430555,-0.01587115976743092,mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_07_worthlessness_or_excessive_guilt
depression,caregiver_1_3,drop_top5,5,-0.036769211913224686,-0.03466901949114776,mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_07_worthlessness_or_excessive_guilt|mdd_05_psychomotor_change|mdd_08_concentration_or_decision_difficulty
depression,psychologist_1_3,baseline,0,0.0,0.0,
depression,psychologist_1_3,drop_top3,3,-0.0060975609756097615,0.015240035213514913,mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change
depression,psychologist_1_3,drop_top5,5,-0.009866405196715444,0.008442416088766058,mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_05_psychomotor_change|mdd_07_worthlessness_or_excessive_guilt
