mode,strategy,domain,feature_count,features_preview,calibration_current,threshold_current,precision,recall,specificity,balanced_accuracy,pr_auc,brier,weakness_detected
caregiver,A|direct_basic,adhd,23,age_years|cbcl_aggressive_behavior_proxy|cbcl_anxious_depressed_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|cbcl_rule_breaking_proxy|has_cbcl,isotonic,0.48250000000000004,0.9248695444040412,0.8400621118012422,0.912,0.8760310559006211,0.9575681689366806,0.0847429765820998,none
caregiver,A|direct_basic,conduct,21,age_years|ari_p_symptom_total|cbcl_aggressive_behavior_proxy|cbcl_anxious_depressed_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|cbcl_rule_breaking_proxy,isotonic,0.15125,0.9788690476190476,0.8625,0.992718446601942,0.9276092233009708,0.9482241108631788,0.0406218010656916,none
caregiver,A|direct_basic,elimination,16,age_years|cbcl_aggressive_behavior_proxy|cbcl_anxious_depressed_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|cbcl_rule_breaking_proxy|has_cbcl,isotonic,0.44875000000000004,0.9104668823226808,0.6832298136645963,0.912,0.7976149068322982,0.8735884786250765,0.1478987401257262,low_recall
caregiver,A|direct_basic,anxiety,37,age_years|cbcl_025|cbcl_057|cbcl_058|cbcl_060|cbcl_061|cbcl_062|cbcl_063,isotonic,0.29499999999999993,0.7826388888888889,0.9545454545454546,0.9204545454545456,0.9375,0.9443127948407763,0.0399799030840308,low_precision
caregiver,A|direct_basic,depression,17,age_years|cbcl_aggressive_behavior_proxy|cbcl_anxious_depressed_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|cbcl_rule_breaking_proxy|has_cbcl,isotonic,0.26625,0.8698144208303379,0.9239130434782608,0.904970760233918,0.9144419018560894,0.9595394601650448,0.0586589386668716,none
psychologist,P|professional_full_coverage,adhd,35,age_years|sex_assigned_at_birth|site|release|has_swan|swan_hyperactive_impulsive_total|swan_inattention_total|swan_total,isotonic,0.45875,0.9417662520784932,0.8260869565217391,0.934,0.8800434782608696,0.9562292715567322,0.083546166857838,none
psychologist,P|professional_full_coverage,conduct,23,age_years|sex_assigned_at_birth|site|release|has_icut|icut_total|has_ari_p|ari_p_symptom_total,isotonic,0.22999999999999998,0.945608108108108,0.8656250000000001,0.9805825242718448,0.9231037621359224,0.9416435072258528,0.0435825897140044,none
psychologist,P|professional_full_coverage,elimination,17,age_years|sex_assigned_at_birth|site|release|has_cbcl|cbcl_aggressive_behavior_proxy|cbcl_anxious_depressed_proxy|cbcl_attention_problems_proxy,isotonic,0.45499999999999996,0.9199688088745804,0.6521739130434783,0.926,0.7890869565217393,0.8745939418111452,0.1485723219667875,low_recall
psychologist,P|professional_full_coverage,anxiety,260,age_years|sex_assigned_at_birth|site|release|has_scared_p|scared_p_01|scared_p_02|scared_p_03,isotonic,0.22999999999999998,0.9220321931589536,0.9848484848484848,0.975,0.9799242424242424,0.971228550644736,0.013607893732933,none
psychologist,P|professional_full_coverage,depression,18,cbcl_internalizing_proxy|cbcl_anxious_depressed_proxy|mfq_p_total|sdq_total_difficulties|sdq_peer_problems|sdq_emotional_symptoms|sdq_hyperactivity_inattention|sdq_conduct_problems,isotonic,0.24249999999999994,0.8595345656498674,0.9369565217391304,0.8961988304093568,0.9165776760742436,0.9552884806885966,0.0583412771209099,none
