trial_id,linked_hypothesis,feature_set_used,dataset_key,n_features,threshold_strategy,calibration_strategy,threshold_value,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_specificity,train_f1,train_roc_auc,train_pr_auc,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_specificity,val_f1,val_roc_auc,val_pr_auc,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_specificity,test_f1,test_roc_auc,test_pr_auc,brier_val,brier_test,seed_std_balacc,split_std_balacc,noise_mild_drop_balacc,noise_moderate_drop_balacc,realism_worst_drop_balacc,suspicious_perfect_score,residual_critical,residual_high,leakage_class,preliminary_decision,non_promotable
V5_T01_control_replay_v2_best,control,elimination_fs_v5_replay_v2_best,strict,240,balanced,none,0.44999999999999996,0.9384846211552889,0.940977817043249,0.9678770949720671,0.9215425531914894,0.9604130808950087,0.944141689373297,0.9785769216684367,0.9867686578070953,0.9055944055944056,0.9107826086956521,0.958904109589041,0.8695652173913043,0.952,0.9120521172638436,0.9460869565217391,0.9687251819183564,0.8881118881118881,0.8872049689440994,0.9056603773584906,0.8944099378881988,0.88,0.9,0.9536397515527951,0.966149130164187,0.08267109308546988,0.08975637607589428,0.004710985295769073,0.015340152429713103,0.006211180124223614,0.01331677018633537,0.007527950310559084,False,0,0,low,candidate_honest,False
V5_T02_composite_clinical,H1,elimination_fs_v5_composite_clinical,strict,220,balanced,none,0.49999999999999994,0.9579894973743436,0.9602219668949354,0.981994459833795,0.9428191489361702,0.9776247848537005,0.9620081411126187,0.9827585417658475,0.9898935060791771,0.9335664335664335,0.9392049689440993,0.9863013698630136,0.8944099378881988,0.984,0.9381107491856677,0.9525962732919255,0.9735414270129381,0.9335664335664335,0.932944099378882,0.94375,0.937888198757764,0.928,0.940809968847352,0.9700372670807453,0.980570549015714,0.06869509329684757,0.06635327578269519,0.0018856180831641283,0.00692604979480119,0.005316770186335473,0.006633540372670832,0.007105590062111755,False,0,0,low,candidate_honest,False
V5_T03_anti_transdiagnostic,H2,elimination_fs_v5_anti_transdiagnostic,strict,220,precision,none,0.6,0.8769692423105776,0.8882177646757241,0.9772727272727273,0.800531914893617,0.9759036144578314,0.8801169590643275,0.96521954077709,0.9771258644815836,0.8706293706293706,0.8833043478260869,0.984375,0.782608695652174,0.984,0.8719723183391004,0.9362484472049689,0.9619505534826114,0.8076923076923077,0.8202484472049689,0.9206349206349206,0.7204968944099379,0.92,0.8083623693379791,0.9313788819875777,0.9495733952776301,0.09391073047250292,0.11069263931200746,0.0029112528543304536,0.02808183516589164,-0.000894409937888252,0.010633540372670724,0.0022111801242234996,False,0,0,low,candidate_honest,False
V5_T04_evidence_quality_meta,H3,elimination_fs_v5_evidence_quality,strict,220,balanced,sigmoid,0.5499999999999999,0.9212303075768942,0.9233369648807999,0.9511854951185496,0.9069148936170213,0.9397590361445783,0.9285228046289993,0.9728618119895998,0.9825792448581208,0.8986013986013986,0.9036770186335403,0.952054794520548,0.8633540372670807,0.944,0.9055374592833876,0.9446459627329193,0.9676696445244237,0.8811188811188811,0.8809937888198758,0.9044585987261147,0.8819875776397516,0.88,0.8930817610062893,0.9474782608695652,0.9619866292171703,0.08062205825752174,0.08986067213451714,0.00937145579607388,0.014893258139908105,0.009316770186335477,0.014633540372670728,0.0057888198757763965,False,0,0,low,candidate_honest,False
V5_T05_subtype_auxiliary,H4,elimination_fs_v5_subtype_auxiliary,strict,220,balanced,none,0.5499999999999999,0.9609902475618904,0.9652298403339803,0.9985754985754985,0.9321808510638298,0.9982788296041308,0.9642365887207703,0.980415964770938,0.9887891749875333,0.9335664335664335,0.9400993788819876,0.9930555555555556,0.8881987577639752,0.992,0.9377049180327869,0.9517018633540373,0.9734784959144281,0.9405594405594405,0.9445217391304348,0.98,0.9130434782608695,0.976,0.9453376205787781,0.9762484472049688,0.9861201898989371,0.06734151089730091,0.06110289539426784,0.006400204464154182,0.0076384037144179035,0.02884472049689446,0.03105590062111796,0.020844720496894453,False,0,0,low,candidate_honest,False
V5_T06_hard_negative_engineering,H5,elimination_fs_v5_hard_negative_filtering,strict,220,conservative,sigmoid,0.9,0.8582145536384096,0.8733566484784121,0.9912739965095986,0.7553191489361702,0.9913941480206541,0.8573584905660377,0.970048888563372,0.9806659402163547,0.8566433566433567,0.8717763975155279,0.9918032786885246,0.7515527950310559,0.992,0.8551236749116607,0.9444968944099379,0.9674781545034686,0.7972027972027972,0.8162981366459627,0.963963963963964,0.6645962732919255,0.968,0.7867647058823529,0.9462360248447205,0.960769657422831,0.07931030554232674,0.09152665051582551,0.002927978390006361,0.02410920662204869,0.0022111801242236107,0.0177391304347827,0.014633540372670839,False,0,0,low,candidate_honest,False
V5_T07_compact_best_combined,H1+H2+H3+H5,elimination_fs_v5_compact_best_combined,strict,210,balanced,sigmoid,0.6,0.9534883720930233,0.9554498388691544,0.9765193370165746,0.9401595744680851,0.9707401032702238,0.9579945799457995,0.9810831471783792,0.9887720973777699,0.9335664335664335,0.9392049689440993,0.9863013698630136,0.8944099378881988,0.984,0.9381107491856677,0.9508074534161491,0.972335001253995,0.9265734265734266,0.9258385093167703,0.9375,0.9316770186335404,0.92,0.9345794392523364,0.9682981366459626,0.9792190233908951,0.06470996091508421,0.05897143141617461,0.006708841302699628,0.0076384037144179035,-0.0008944099378881409,0.005316770186335473,0.012844720496894446,False,0,0,low,candidate_honest,False
V5_T08_two_stage_filter,H6,elimination_fs_v5_two_stage_ready,strict,190,balanced,sigmoid,0.3,0.9617404351087772,0.9660904255319149,1.0,0.9321808510638298,1.0,0.9649002064693737,0.9826784341011463,0.9899778271727359,0.9370629370629371,0.9440993788819876,1.0,0.8881987577639752,1.0,0.9407894736842105,0.9499627329192546,0.9725693086473027,0.958041958041958,0.960944099378882,0.9869281045751634,0.937888198757764,0.984,0.9617834394904459,0.9732670807453416,0.9852955997287363,0.2670859849088072,0.2509580153057153,0.0,0.002570518237358069,0.009316770186335477,0.03195031055900621,0.023055900621118064,True,0,0,low,suspicious_perfect_score,False
V5_T09_abstention_ready_refit,H6,elimination_fs_v5_abstention_ready,strict,210,balanced,sigmoid,0.6,0.95423855963991,0.956310424067089,0.9778699861687413,0.9401595744680851,0.9724612736660929,0.9586440677966102,0.9814882630827261,0.9890287447713447,0.9335664335664335,0.9392049689440993,0.9863013698630136,0.8944099378881988,0.984,0.9381107491856677,0.9515527950310559,0.9726678283910367,0.9335664335664335,0.932944099378882,0.94375,0.937888198757764,0.928,0.940809968847352,0.9687453416149068,0.9795499422612877,0.0641624166753299,0.05809953499868185,0.00890107742120834,0.007342398414913419,0.0031055900621117516,0.009316770186335477,0.02795031055900621,False,0,0,low,candidate_honest,False
V5_T10_research_context_optional,context_only,elimination_fs_v5_research_context_only,research,224,balanced,none,0.5499999999999999,0.9609902475618904,0.9646427655912404,0.9943502824858758,0.9361702127659575,0.9931153184165232,0.9643835616438357,0.983722122532684,0.9903908749861461,0.9370629370629371,0.9432049689440993,0.993103448275862,0.8944099378881988,0.992,0.9411764705882353,0.9515527950310559,0.9730042992797043,0.9405594405594405,0.9427329192546583,0.9675324675324676,0.9254658385093167,0.96,0.946031746031746,0.9693416149068322,0.9799392484532856,0.06857060638362383,0.06521935479661214,0.004201150081490733,0.0030176762931666723,0.01642236024844712,0.011527950310558976,0.017316770186335262,False,0,0,low,candidate_honest,True
