domain,mode,metric,ci_low,ci_high,ci_width
adhd,caregiver_1_3,balanced_accuracy,0.834375,0.9033371147219269,0.06896211472192693
adhd,caregiver_1_3,pr_auc,0.5320211745621396,0.7122406987577895,0.1802195241956499
adhd,caregiver_2_3,balanced_accuracy,0.8939560886435775,0.9464389187574671,0.052482830113889656
adhd,caregiver_2_3,pr_auc,0.6141792294508686,0.8053292376045962,0.19115000815372762
adhd,caregiver_full,balanced_accuracy,0.8775550522554892,0.9297408346007147,0.05218578234522542
adhd,caregiver_full,pr_auc,0.5911202595611391,0.7961450940987594,0.20502483453762033
adhd,psychologist_1_3,balanced_accuracy,0.8833961988304093,0.9298737019695611,0.04647750313915178
adhd,psychologist_1_3,pr_auc,0.5316912170837286,0.7251442803464166,0.19345306326268807
adhd,psychologist_2_3,balanced_accuracy,0.8820978028900072,0.9408925712382467,0.05879476834823949
adhd,psychologist_2_3,pr_auc,0.6181459648734257,0.8050783989799569,0.18693243410653126
adhd,psychologist_full,balanced_accuracy,0.9324007046257327,0.9773998510414101,0.04499914641567748
adhd,psychologist_full,pr_auc,0.9241057053184281,0.9917396186314918,0.06763391331306379
anxiety,caregiver_1_3,balanced_accuracy,0.864762848224397,0.9337364756066555,0.06897362738225854
anxiety,caregiver_1_3,pr_auc,0.8058898985336062,0.9128787400844828,0.10698884155087662
anxiety,caregiver_2_3,balanced_accuracy,0.9392258944925199,0.9795860488950058,0.04036015440248586
anxiety,caregiver_2_3,pr_auc,0.9144153742247031,0.97725949320366,0.06284411897895692
anxiety,caregiver_full,balanced_accuracy,0.9458103566580097,0.979859281609012,0.03404892495100231
anxiety,caregiver_full,pr_auc,0.921827505063288,0.9781926247126222,0.05636511964933422
anxiety,psychologist_1_3,balanced_accuracy,0.8434776619508564,0.9133990304682971,0.06992136851744069
anxiety,psychologist_1_3,pr_auc,0.8134272196461598,0.9203812825949312,0.10695406294877141
anxiety,psychologist_2_3,balanced_accuracy,0.9497609414618013,0.9789815658455632,0.02922062438376183
anxiety,psychologist_2_3,pr_auc,0.9323125144329549,0.980465737212147,0.048153222779192095
anxiety,psychologist_full,balanced_accuracy,0.9522175479499717,0.9799738353612804,0.027756287411308644
anxiety,psychologist_full,pr_auc,0.9186167273354847,0.9769341199047838,0.05831739256929913
conduct,caregiver_1_3,balanced_accuracy,0.8599598911479873,0.9137582483781292,0.053798357230141924
conduct,caregiver_1_3,pr_auc,0.8925025590558305,0.9593833354994781,0.06688077644364754
conduct,caregiver_2_3,balanced_accuracy,0.8070099454833114,0.8802328360004051,0.07322289051709374
conduct,caregiver_2_3,pr_auc,0.892101298031893,0.9557589147678632,0.06365761673597026
conduct,psychologist_1_3,balanced_accuracy,0.8393867043638386,0.9066257938721883,0.06723908950834978
conduct,psychologist_1_3,pr_auc,0.8940572583356033,0.9634730345633737,0.0694157762277704
conduct,psychologist_2_3,balanced_accuracy,0.9038445580013976,0.9359699855038838,0.03212542750248615
conduct,psychologist_2_3,pr_auc,0.8682845703740799,0.9436788305240845,0.07539426015000461
depression,caregiver_1_3,balanced_accuracy,0.800472873575812,0.8908410626687708,0.09036818909295885
depression,caregiver_1_3,pr_auc,0.7137985474685946,0.8765902676703198,0.16279172020172517
depression,caregiver_2_3,balanced_accuracy,0.8891960227272727,0.9514503863235417,0.06225436359626901
depression,caregiver_2_3,pr_auc,0.8793226716566593,0.9518527376340999,0.0725300659774406
depression,caregiver_full,balanced_accuracy,0.7859517797017798,0.8927438589071992,0.10679207920541944
depression,caregiver_full,pr_auc,0.8610368733643611,0.9442875287056618,0.08325065534130072
depression,psychologist_1_3,balanced_accuracy,0.8184638614074098,0.9076241670910788,0.08916030568366906
depression,psychologist_1_3,pr_auc,0.6899052567805728,0.855481211587364,0.16557595480679121
depression,psychologist_2_3,balanced_accuracy,0.8950161335578003,0.9557704169938533,0.06075428343605305
depression,psychologist_2_3,pr_auc,0.8797344017065268,0.9556980344599694,0.07596363275344253
depression,psychologist_full,balanced_accuracy,0.8174296875000001,0.9025302579901635,0.0851005704901634
depression,psychologist_full,pr_auc,0.8870194685442894,0.9604595709433835,0.07344010239909415
elimination,caregiver_1_3,balanced_accuracy,0.9000358770276691,0.9686761515861944,0.06864027455852528
elimination,caregiver_1_3,pr_auc,0.8842158818344191,0.967536795486366,0.08332091365194683
elimination,caregiver_2_3,balanced_accuracy,0.9899475524475525,0.9988495449826256,0.008901992535073067
elimination,caregiver_2_3,pr_auc,0.996958314673832,1.0000000000000002,0.0030416853261682197
elimination,caregiver_full,balanced_accuracy,0.9907783795263885,0.9988558352402745,0.008077455713886073
elimination,caregiver_full,pr_auc,0.9980213117542709,1.0000000000000002,0.001978688245729332
elimination,psychologist_1_3,balanced_accuracy,0.9026245210727969,0.9692866167024733,0.0666620956296764
elimination,psychologist_1_3,pr_auc,0.8899189751814428,0.973252905655397,0.08333393047395421
elimination,psychologist_2_3,balanced_accuracy,0.9899475524475525,0.9988495449826256,0.008901992535073067
elimination,psychologist_2_3,pr_auc,0.998021311754271,1.0000000000000002,0.001978688245729221
elimination,psychologist_full,balanced_accuracy,0.9899475524475525,0.9988495449826256,0.008901992535073067
elimination,psychologist_full,pr_auc,0.9962955041412489,1.0000000000000002,0.003704495858751322
