domain,role,mode,old_champion,old_model_family,new_rf_champion,champion_final,promoted,old_f1,new_f1,delta_f1,old_recall,new_recall,delta_recall,old_precision,new_precision,delta_precision,old_specificity,new_specificity,delta_specificity,old_balanced_accuracy,new_balanced_accuracy,delta_balanced_accuracy,old_roc_auc,new_roc_auc,delta_roc_auc,old_pr_auc,new_pr_auc,delta_pr_auc,old_brier,new_brier,delta_brier,old_class,new_class,old_confidence_pct,new_confidence_pct,selection_reason
anxiety,psychologist,psychologist_2_3,anxiety__psychologist_2_3__v6_hotfix_v1__logreg__engineered_pruned_no_eng_v1,logreg,anxiety__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,anxiety__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.8757396449704142,0.8372093023255814,-0.038530342644832793,0.8604651162790697,0.8372093023255814,-0.023255813953488302,0.891566265060241,0.8372093023255814,-0.05435696273465951,0.9771573604060914,0.9644670050761421,-0.012690355329949221,0.9188112383425806,0.9008381537008618,-0.017973084641718762,0.9794593318380356,0.9733945224884901,-0.0060648093495454525,0.931394926615426,0.89612205748892,-0.03527286912650596,0.0520635509085647,0.12154854311232437,0.06948499220375967,ACTIVE_MODERATE_CONFIDENCE,ACTIVE_LIMITED_USE,84.9,63.0,rf_only_mandate_best_valid_rf_even_if_regression
anxiety,psychologist,psychologist_full,anxiety__psychologist_full__hybrid_structural_mode_rescue_v1__hgb__structural_ranked_full,hgb,anxiety__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,anxiety__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.8409090909090909,0.7662337662337663,-0.07467532467532467,0.8604651162790697,0.686046511627907,-0.17441860465116277,0.8222222222222222,0.8676470588235294,0.04542483660130725,0.9593908629441624,0.9771573604060914,0.017766497461928932,0.909927989611616,0.8316019360169992,-0.07832605359461686,0.9744127021603116,0.9554952189824106,-0.018917483177900984,0.8859771705054296,0.8598799565788883,-0.026097213926541296,0.1061830434387351,0.1582824747037536,0.052099431265018495,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,63.0,63.0,rf_only_mandate_best_valid_rf_even_if_regression
conduct,caregiver,caregiver_1_3,conduct__caregiver_1_3__rebuild_v2__rf__precision_oriented_subset,rf,conduct__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,conduct__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.8817891373801917,0.8902077151335311,0.008418577753339429,0.8625,0.9375,0.07499999999999996,0.9019607843137256,0.847457627118644,-0.054503157195081586,0.953125,0.915625,-0.03749999999999998,0.9078125,0.9265625,0.018749999999999933,0.97841796875,0.9798046875,0.001386718750000071,0.9500801871541836,0.9551823306213615,0.005102143467177855,0.0563854385479201,0.057866313543761684,0.0014808749958415829,ACTIVE_MODERATE_CONFIDENCE,ACTIVE_MODERATE_CONFIDENCE,84.9,84.9,rf_improves_or_matches_previous_balance
conduct,caregiver,caregiver_2_3,conduct__caregiver_2_3__hybrid_structural_mode_rescue_v1__logreg__registry_stability_pruned_subset,logreg,conduct__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,conduct__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.8875739644970414,0.8662790697674418,-0.021294894729599556,0.9375,0.93125,-0.006249999999999978,0.8426966292134831,0.8097826086956522,-0.03291402051783088,0.9125,0.890625,-0.021874999999999978,0.925,0.9109375,-0.014062500000000089,0.97568359375,0.9770117187499999,0.0013281249999999023,0.950366891995128,0.9555356459496309,0.0051687539545028915,0.0790929039136678,0.1324384607101465,0.053345556796478705,ACTIVE_LIMITED_USE,ACTIVE_LIMITED_USE,63.0,63.0,rf_only_mandate_best_valid_rf_even_if_regression
conduct,caregiver,caregiver_full,conduct__caregiver_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,rf,conduct__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,conduct__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.8596491228070176,0.8708708708708709,0.011221748063853343,0.91875,0.90625,-0.012499999999999956,0.8076923076923077,0.838150289017341,0.0304579813250333,0.890625,0.9125,0.021874999999999978,0.9046875,0.909375,0.004687500000000067,0.9746875,0.975078125,0.0003906249999999778,0.9499594639068576,0.9496409745851443,-0.0003184893217133,0.0622859399714159,0.06396054965694395,0.0016746096855280515,ACTIVE_MODERATE_CONFIDENCE,ACTIVE_MODERATE_CONFIDENCE,84.4,84.9,rf_improves_or_matches_previous_balance
conduct,psychologist,psychologist_1_3,conduct__psychologist_1_3__rebuild_v2__rf__compact_subset,rf,conduct__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,conduct__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.858085808580858,0.888235294117647,0.030149485536788978,0.8125,0.94375,0.13124999999999998,0.9090909090909092,0.8388888888888889,-0.07020202020202027,0.959375,0.909375,-0.04999999999999993,0.8859375,0.9265625,0.04062499999999991,0.97728515625,0.978828125,0.00154296875000004,0.9542627941351364,0.9555839908013486,0.001321196666212221,0.0585440516294588,0.058995019228393855,0.00045096759893505783,ACTIVE_MODERATE_CONFIDENCE,ACTIVE_MODERATE_CONFIDENCE,81.0,84.9,rf_improves_or_matches_previous_balance
conduct,psychologist,psychologist_2_3,conduct__psychologist_2_3__conduct_honest_retrain_v1__rf__engineered_compact_no_shortcuts_v1,rf,conduct__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,conduct__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.8734177215189873,0.8765432098765432,0.0031254883575558834,0.8625,0.8875,0.02499999999999991,0.8846153846153846,0.8658536585365854,-0.018761726078799223,0.94375,0.93125,-0.012499999999999956,0.903125,0.909375,0.006250000000000089,0.9715234375,0.9762890625,0.0047656249999999956,0.9324443838258124,0.9525368478760669,0.020092464050254444,0.0598157660888244,0.0634952314087904,0.003679465319966005,ACTIVE_HIGH_CONFIDENCE,ACTIVE_MODERATE_CONFIDENCE,91.6,84.9,rf_improves_or_matches_previous_balance
conduct,psychologist,psychologist_full,conduct__psychologist_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,rf,conduct__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,conduct__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.8768768768768769,0.8738461538461538,-0.003030723030723048,0.9125,0.8875,-0.025000000000000022,0.8439306358381503,0.8606060606060606,0.016675424767910285,0.915625,0.928125,0.012499999999999956,0.9140625,0.9078124999999999,-0.006250000000000089,0.975634765625,0.9755468749999999,-8.789062500003109e-05,0.9413294156917726,0.9514690061636442,0.010139590471871518,0.0601968414247834,0.06382669650700531,0.003629855082221918,ACTIVE_MODERATE_CONFIDENCE,ACTIVE_MODERATE_CONFIDENCE,84.9,84.9,rf_only_mandate_best_valid_rf_even_if_regression
depression,caregiver,caregiver_1_3,depression__caregiver_1_3__hybrid_structural_mode_rescue_v1__rf__structural_ranked_1_3,rf,depression__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,depression__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.8457142857142858,0.8488372093023255,0.003122923588039783,0.902439024390244,0.8902439024390244,-0.012195121951219634,0.7956989247311828,0.8111111111111111,0.015412186379928361,0.9522613065326632,0.957286432160804,0.005025125628140836,0.9273501654614535,0.9237651672999142,-0.0035849981615393434,0.9798994974874372,0.9775094987130776,-0.0023899987743596363,0.91517180652367,0.8476576091976749,-0.06751419732599517,0.0501742162589722,0.05637131723100386,0.0061971009720316605,ACTIVE_LIMITED_USE,ACTIVE_MODERATE_CONFIDENCE,63.0,83.7,rf_improves_or_matches_previous_balance
depression,caregiver,caregiver_2_3,depression__caregiver_2_3__hybrid_structural_mode_rescue_v1__extra_trees__structural_compact_2_3,extra_trees,depression__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,depression__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,0.8522727272727273,0.847457627118644,-0.004815100154083263,0.9146341463414634,0.9146341463414634,0.0,0.7978723404255319,0.7894736842105263,-0.008398656215005573,0.9522613065326632,0.949748743718593,-0.002512562814070196,0.9334477264370632,0.9321914450300282,-0.0012562814070350425,0.9797156514278712,0.9769273195244514,-0.0027883319034197607,0.9079978667723728,0.8443997129407212,-0.06359815383165157,0.0584251216087021,0.05908261495768612,0.0006574933489840243,ACTIVE_LIMITED_USE,ACTIVE_MODERATE_CONFIDENCE,63.0,84.9,rf_recall_gain_with_small_f1_cost
