mode,domain,target_variant,round_id,family,feature_variant,seed,status,error,n_features,config_id,calibration,threshold_policy,threshold,abstention_band,abstention_coverage,val_objective,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,high_conf_precision,input_missing_ratio
psychologist,adhd,baseline,1,rf,base,11,ok,,35,rf_default,isotonic,precision_guarded,0.605,0.05,0.965034965034965,0.9319632960130166,0.9562043795620438,0.8136645962732919,0.952,0.8828322981366459,0.8791946308724832,0.9521739130434783,0.9543500411341214,0.08288522652142746,0.9558823529411765,0.36333666333666326
psychologist,adhd,baseline,1,rf,engineered,11,ok,,47,rf_default,isotonic,precision_guarded,0.62,0.05,0.9545454545454546,0.9339068800738414,0.948905109489051,0.8074534161490683,0.944,0.8757267080745341,0.87248322147651,0.9497639751552795,0.950611612459251,0.08434678896655694,0.948905109489051,0.29378068739770863
psychologist,adhd,baseline,1,xgboost,base,11,ok,,35,xgboost_default,isotonic,precision_guarded,0.67,0.05,0.9895104895104895,0.9295111287113773,0.9618320610687023,0.782608695652174,0.96,0.8713043478260869,0.863013698630137,0.9455652173913045,0.9469494988778999,0.08777260780334473,0.9615384615384616,0.36333666333666326
psychologist,adhd,baseline,1,xgboost,engineered,11,ok,,47,xgboost_default,isotonic,precision_guarded,0.5750000000000001,0.05,0.9755244755244755,0.9253009711705843,0.9230769230769231,0.8198757763975155,0.912,0.8659378881987578,0.868421052631579,0.9517018633540372,0.954518040887292,0.08543573319911957,0.9295774647887324,0.29378068739770863
psychologist,adhd,baseline,1,lightgbm,base,11,ok,,35,lightgbm_default,isotonic,precision_guarded,0.42000000000000004,0.05,0.8321678321678322,0.9327671902263457,0.9347826086956522,0.8012422360248447,0.928,0.8646211180124224,0.862876254180602,0.9388819875776397,0.9377798683351533,0.0945779649436326,0.9347826086956522,0.36333666333666326
psychologist,adhd,baseline,1,lightgbm,engineered,11,ok,,47,lightgbm_default,isotonic,precision_guarded,0.69,0.05,0.9125874125874126,0.9239042556727267,0.9724770642201835,0.6583850931677019,0.976,0.817192546583851,0.7851851851851852,0.9424099378881988,0.9400568380052978,0.09263017174866868,0.9724770642201835,0.29378068739770863
psychologist,adhd,baseline,1,catboost,base,11,ok,,35,catboost_default,isotonic,precision_guarded,0.5750000000000001,0.05,0.8531468531468531,0.9279894322314866,0.96,0.7453416149068323,0.96,0.8526708074534162,0.8391608391608392,0.9502608695652174,0.9534585743898378,0.0856893195594891,0.96,0.36333666333666326
psychologist,adhd,baseline,1,catboost,engineered,11,ok,,47,catboost_default,isotonic,precision_guarded,0.715,0.05,0.8811188811188811,0.9208440485426687,0.96,0.7453416149068323,0.96,0.8526708074534162,0.8391608391608392,0.9490434782608697,0.9552476089927062,0.08974596863843434,0.9739130434782609,0.29378068739770863
psychologist,adhd,baseline,1,tabpfn,base,11,error,"Running on CPU with more than 1000 samples is not allowed by default due to slow performance.
To override this behavior, set the environment variable TABPFN_ALLOW_CPU_LARGE_DATASET=1 or set ignore_pretraining_limits=True.
Alternatively, consider using a GPU or the tabpfn-client API: https://github.com/PriorLabs/tabpfn-client",35,,,,,,,,,,,,,,,,,
psychologist,adhd,baseline,1,tabpfn,engineered,11,error,"Running on CPU with more than 1000 samples is not allowed by default due to slow performance.
To override this behavior, set the environment variable TABPFN_ALLOW_CPU_LARGE_DATASET=1 or set ignore_pretraining_limits=True.
Alternatively, consider using a GPU or the tabpfn-client API: https://github.com/PriorLabs/tabpfn-client",47,,,,,,,,,,,,,,,,,
psychologist,adhd,baseline,2,rf,engineered,11,ok,,47,rf_stability,isotonic,precision_guarded,0.62,0.05,0.9545454545454546,0.9339068800738414,0.948905109489051,0.8074534161490683,0.944,0.8757267080745341,0.87248322147651,0.9497639751552795,0.950611612459251,0.08434678896655694,0.948905109489051,0.29378068739770863
psychologist,adhd,baseline,2,rf,engineered,29,ok,,47,rf_stability,isotonic,precision_guarded,0.67,0.08,0.9230769230769231,0.9310173881178467,0.9485294117647058,0.8012422360248447,0.944,0.8726211180124224,0.8686868686868687,0.9501614906832299,0.9538703637468049,0.08525927791481912,0.9485294117647058,0.29378068739770863
