trial_id,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,support_negative,support_positive,false_positive_rate,false_negative_rate,method,recall_floor,balanced_accuracy_tolerance
domain_conduct_strict_compact,0.05,0.8741258741258742,0.912621359223301,0.6896551724137931,1.0,0.8252427184466019,0.8163265306122449,0.9912924757281554,0.9798760905680031,0.03104676512291117,170,36,0,80,206,80,0.17475728155339806,0.0,grid,,
domain_conduct_strict_compact,0.1,0.9090909090909091,0.9254247572815535,0.77,0.9625,0.8883495145631068,0.8555555555555555,0.9912924757281554,0.9798760905680031,0.03104676512291117,183,23,3,77,206,80,0.11165048543689321,0.0375,grid,,
domain_conduct_strict_compact,0.15,0.9195804195804196,0.9327063106796116,0.7938144329896907,0.9625,0.9029126213592233,0.8700564971751412,0.9912924757281554,0.9798760905680031,0.03104676512291117,186,20,3,77,206,80,0.0970873786407767,0.0375,grid,,
domain_conduct_strict_compact,0.2,0.9370629370629371,0.9448422330097088,0.8369565217391305,0.9625,0.9271844660194175,0.8953488372093024,0.9912924757281554,0.9798760905680031,0.03104676512291117,191,15,3,77,206,80,0.07281553398058252,0.0375,grid,,
domain_conduct_strict_compact,0.25,0.9475524475524476,0.952123786407767,0.8651685393258427,0.9625,0.941747572815534,0.9112426035502958,0.9912924757281554,0.9798760905680031,0.03104676512291117,194,12,3,77,206,80,0.05825242718446602,0.0375,grid,,
domain_conduct_strict_compact,0.3,0.9545454545454546,0.9569781553398058,0.8850574712643678,0.9625,0.9514563106796117,0.9221556886227545,0.9912924757281554,0.9798760905680031,0.03104676512291117,196,10,3,77,206,80,0.04854368932038835,0.0375,grid,,
domain_conduct_strict_compact,0.35,0.9545454545454546,0.9531553398058252,0.8941176470588236,0.95,0.9563106796116505,0.9212121212121213,0.9912924757281554,0.9798760905680031,0.03104676512291117,197,9,4,76,206,80,0.043689320388349516,0.05,grid,,
domain_conduct_strict_compact,0.39999999999999997,0.9545454545454546,0.9531553398058252,0.8941176470588236,0.95,0.9563106796116505,0.9212121212121213,0.9912924757281554,0.9798760905680031,0.03104676512291117,197,9,4,76,206,80,0.043689320388349516,0.05,grid,,
domain_conduct_strict_compact,0.44999999999999996,0.958041958041958,0.9555825242718446,0.9047619047619048,0.95,0.9611650485436893,0.926829268292683,0.9912924757281554,0.9798760905680031,0.03104676512291117,198,8,4,76,206,80,0.038834951456310676,0.05,grid,,
domain_conduct_strict_compact,0.49999999999999994,0.9615384615384616,0.9580097087378641,0.9156626506024096,0.95,0.9660194174757282,0.9325153374233128,0.9912924757281554,0.9798760905680031,0.03104676512291117,199,7,4,76,206,80,0.03398058252427184,0.05,grid,,
domain_conduct_strict_compact,0.5,0.9615384615384616,0.9580097087378641,0.9156626506024096,0.95,0.9660194174757282,0.9325153374233128,0.9912924757281554,0.9798760905680031,0.03104676512291117,199,7,4,76,206,80,0.03398058252427184,0.05,grid,,
domain_conduct_strict_compact,0.5499999999999999,0.958041958041958,0.9517597087378641,0.9146341463414634,0.9375,0.9660194174757282,0.9259259259259259,0.9912924757281554,0.9798760905680031,0.03104676512291117,199,7,5,75,206,80,0.03398058252427184,0.0625,grid,,
domain_conduct_strict_compact,0.6,0.9545454545454546,0.937864077669903,0.935064935064935,0.9,0.9757281553398058,0.9171974522292994,0.9912924757281554,0.9798760905680031,0.03104676512291117,201,5,8,72,206,80,0.024271844660194174,0.1,grid,,
domain_conduct_strict_compact,0.65,0.9545454545454546,0.9340412621359223,0.9466666666666667,0.8875,0.9805825242718447,0.9161290322580645,0.9912924757281554,0.9798760905680031,0.03104676512291117,202,4,9,71,206,80,0.019417475728155338,0.1125,grid,,
domain_conduct_strict_compact,0.7,0.958041958041958,0.9364684466019417,0.9594594594594594,0.8875,0.9854368932038835,0.922077922077922,0.9912924757281554,0.9798760905680031,0.03104676512291117,203,3,9,71,206,80,0.014563106796116505,0.1125,grid,,
domain_conduct_strict_compact,0.75,0.958041958041958,0.9326456310679612,0.9722222222222222,0.875,0.9902912621359223,0.9210526315789473,0.9912924757281554,0.9798760905680031,0.03104676512291117,204,2,10,70,206,80,0.009708737864077669,0.125,grid,,
domain_conduct_strict_compact,0.7999999999999999,0.958041958041958,0.9326456310679612,0.9722222222222222,0.875,0.9902912621359223,0.9210526315789473,0.9912924757281554,0.9798760905680031,0.03104676512291117,204,2,10,70,206,80,0.009708737864077669,0.125,grid,,
domain_conduct_strict_compact,0.85,0.958041958041958,0.9288228155339806,0.9857142857142858,0.8625,0.9951456310679612,0.92,0.9912924757281554,0.9798760905680031,0.03104676512291117,205,1,11,69,206,80,0.0048543689320388345,0.1375,grid,,
domain_conduct_strict_compact,0.9,0.9545454545454546,0.9225728155339805,0.9855072463768116,0.85,0.9951456310679612,0.912751677852349,0.9912924757281554,0.9798760905680031,0.03104676512291117,205,1,12,68,206,80,0.0048543689320388345,0.15,grid,,
domain_conduct_strict_compact,0.95,0.9370629370629371,0.8913228155339805,0.984375,0.7875,0.9951456310679612,0.875,0.9912924757281554,0.9798760905680031,0.03104676512291117,205,1,17,63,206,80,0.0048543689320388345,0.2125,grid,,
domain_conduct_strict_compact,0.5,0.9615384615384616,0.9580097087378641,0.9156626506024096,0.95,0.9660194174757282,0.9325153374233128,0.9912924757281554,0.9798760905680031,0.03104676512291117,199,7,4,76,206,80,0.03398058252427184,0.05,default_0_5,0.6,0.05
domain_conduct_strict_compact,0.531986531986532,0.9615384615384616,0.9580097087378641,0.9156626506024096,0.95,0.9660194174757282,0.9325153374233128,0.9912924757281554,0.9798760905680031,0.03104676512291117,199,7,4,76,206,80,0.03398058252427184,0.05,youden_j,0.6,0.05
domain_conduct_strict_compact,0.49999999999999994,0.9615384615384616,0.9580097087378641,0.9156626506024096,0.95,0.9660194174757282,0.9325153374233128,0.9912924757281554,0.9798760905680031,0.03104676512291117,199,7,4,76,206,80,0.03398058252427184,0.05,best_f1,0.6,0.05
domain_conduct_strict_compact,0.85,0.958041958041958,0.9288228155339806,0.9857142857142858,0.8625,0.9951456310679612,0.92,0.9912924757281554,0.9798760905680031,0.03104676512291117,205,1,11,69,206,80,0.0048543689320388345,0.1375,sensitivity_priority,0.6,0.05
domain_conduct_strict_compact,0.85,0.958041958041958,0.9288228155339806,0.9857142857142858,0.8625,0.9951456310679612,0.92,0.9912924757281554,0.9798760905680031,0.03104676512291117,205,1,11,69,206,80,0.0048543689320388345,0.1375,precision_constrained,0.6,0.05
