mode,strategy,feature_set,family,threshold,uncertainty_band,precision,recall,specificity,balanced_accuracy,f1,pr_auc,brier,uncertain_rate,uncertainty_usefulness,output_realism_score,fn_optimization_objective
caregiver,balanced,r3_hybrid_clean_best_effort,rf,0.31000000000000005,0.08,0.8607594936708861,0.84472049689441,0.824,0.834360248447205,0.8526645768025078,0.9115229294695697,0.13267820024478835,0.17482517482517482,0.11593220338983051,0.8632867132867132,0.8558847626934459
caregiver,recall_first,r3_hybrid_clean_best_effort,rf,0.32,0.1,0.8607594936708861,0.84472049689441,0.824,0.834360248447205,0.8526645768025078,0.9115229294695697,0.13267820024478835,0.23776223776223776,0.11238532110091742,0.8216783216783217,0.8558847626934459
caregiver,precision_guarded,r3_hybrid_clean_best_effort,rf,0.76,0.06,0.9142857142857143,0.5962732919254659,0.928,0.762136645962733,0.7218045112781954,0.9115229294695697,0.13267820024478835,0.0,-0.25874125874125875,0.6783216783216783,0.7551593031447392
psychologist,balanced,r1_v12_replay,rf,0.37500000000000006,0.08,0.8475609756097561,0.8633540372670807,0.8,0.8316770186335404,0.8553846153846154,0.9121638790674771,0.13463079845418852,0.1258741258741259,0.034444444444444444,0.8513986013986015,0.8599418780702635
psychologist,recall_first,r1_v12_replay,rf,0.28500000000000003,0.1,0.7346938775510204,0.8944099378881988,0.584,0.7392049689440994,0.8067226890756303,0.9121638790674771,0.13463079845418852,0.2097902097902098,0.4750737463126844,0.8692307692307693,0.8276533858504698
psychologist,precision_guarded,r1_v12_replay,rf,0.8,0.06,0.9347826086956522,0.5341614906832298,0.952,0.7430807453416148,0.6798418972332015,0.9121638790674771,0.13463079845418852,0.04195804195804196,0.48722627737226276,0.7800699300699301,0.7306085588762019
