mode,domain,stress_type,scenario,precision,recall,balanced_accuracy,pr_auc,brier,delta_ba
caregiver_1_3,adhd,missingness,missing_10pct,0.6339285714285714,0.7553191489361702,0.8245507661779297,0.6068342302387788,0.09646303496408747,-0.046852607209789454
caregiver_1_3,adhd,missingness,missing_20pct,0.6818181818181818,0.6382978723404256,0.7828795061183993,0.6395656490293936,0.09689065132502614,-0.08852386726931982
caregiver_1_3,adhd,threshold,threshold_shift_-0.10,0.6212121212121212,0.8723404255319149,0.8714033733877191,0.6319179403335605,0.08682787280441553,0.0
caregiver_1_3,adhd,threshold,threshold_shift_-0.05,0.6212121212121212,0.8723404255319149,0.8714033733877191,0.6319179403335605,0.08682787280441553,0.0
caregiver_1_3,adhd,threshold,threshold_shift_+0.05,0.6212121212121212,0.8723404255319149,0.8714033733877191,0.6319179403335605,0.08682787280441553,0.0
caregiver_1_3,adhd,threshold,threshold_shift_+0.10,0.6228070175438597,0.7553191489361702,0.8219600926028001,0.6319179403335605,0.08682787280441553,-0.049443280784919
caregiver_1_3,conduct,missingness,missing_10pct,0.9124087591240876,0.78125,0.871875,0.9491637293520867,0.06154972690431735,-0.03593750000000007
caregiver_1_3,conduct,missingness,missing_20pct,0.9565217391304348,0.6875,0.8359375,0.9446155800021288,0.0732174054085001,-0.07187500000000002
caregiver_1_3,conduct,threshold,threshold_shift_-0.10,0.8773006134969326,0.89375,0.915625,0.9500801871541836,0.056385438547920136,0.0078125
caregiver_1_3,conduct,threshold,threshold_shift_-0.05,0.8930817610062893,0.8875,0.9171875,0.9500801871541836,0.056385438547920136,0.009375000000000022
caregiver_1_3,conduct,threshold,threshold_shift_+0.05,0.9343065693430657,0.8,0.8859375,0.9500801871541836,0.056385438547920136,-0.021874999999999978
caregiver_1_3,conduct,threshold,threshold_shift_+0.10,0.952,0.74375,0.8625,0.9500801871541836,0.056385438547920136,-0.04531249999999998
caregiver_1_3,elimination,missingness,missing_10pct,0.9333333333333333,0.5384615384615384,0.7668943206326384,0.8301757710723305,0.030669695060106146,-0.03846153846153855
caregiver_1_3,elimination,missingness,missing_20pct,1.0,0.36538461538461536,0.6826923076923077,0.8663364760893889,0.0352569644468942,-0.12266355140186924
caregiver_1_3,elimination,threshold,threshold_shift_-0.10,0.9210526315789473,0.6730769230769231,0.8330337886412653,0.8786487353369938,0.021928697331088157,0.027677929547088365
caregiver_1_3,elimination,threshold,threshold_shift_-0.05,0.9444444444444444,0.6538461538461539,0.8245866283249461,0.8786487353369938,0.021928697331088157,0.019230769230769162
caregiver_1_3,elimination,threshold,threshold_shift_+0.05,0.9411764705882353,0.6153846153846154,0.805355859094177,0.8786487353369938,0.021928697331088157,0.0
caregiver_1_3,elimination,threshold,threshold_shift_+0.10,0.9666666666666667,0.5576923076923077,0.7776779295470884,0.8786487353369938,0.021928697331088157,-0.027677929547088587
caregiver_1_3,anxiety,missingness,missing_10pct,0.9104477611940298,0.7093023255813954,0.8470369495927281,0.8895672774480397,0.04808674341364648,-0.05433242828473617
caregiver_1_3,anxiety,missingness,missing_20pct,0.9365079365079365,0.686046511627907,0.8379471136819738,0.8801819554669987,0.04864087238045087,-0.06342226419549046
caregiver_1_3,anxiety,threshold,threshold_shift_-0.10,0.8404255319148937,0.9186046511627907,0.9402667925864715,0.9266917820093952,0.03683583941159821,0.038897414709007205
caregiver_1_3,anxiety,threshold,threshold_shift_-0.05,0.8494623655913979,0.9186046511627907,0.9415358281194663,0.9266917820093952,0.03683583941159821,0.04016645024200205
caregiver_1_3,anxiety,threshold,threshold_shift_+0.05,0.8875,0.8255813953488372,0.9013693778774643,0.9266917820093952,0.03683583941159821,0.0
caregiver_1_3,anxiety,threshold,threshold_shift_+0.10,0.8875,0.8255813953488372,0.9013693778774643,0.9266917820093952,0.03683583941159821,0.0
caregiver_1_3,depression,missingness,missing_10pct,0.8032786885245902,0.5975609756097561,0.7837051109204559,0.8211345064708307,0.06253008288126495,-0.029231523471013654
caregiver_1_3,depression,missingness,missing_20pct,0.8958333333333334,0.524390243902439,0.7559137149160436,0.8320499222072001,0.06482182999775797,-0.057022919475425926
caregiver_1_3,depression,threshold,threshold_shift_-0.10,0.7555555555555555,0.8292682926829268,0.8869959553866895,0.764765007527117,0.0600670985657974,0.07405932099521995
caregiver_1_3,depression,threshold,threshold_shift_-0.05,0.7777777777777778,0.7682926829268293,0.8615332761367815,0.764765007527117,0.0600670985657974,0.048596641745311975
