trial_id,stage,mode,role,domain,feature_set_id,config_id,seed,calibration,threshold_policy,threshold,n_features,selected_for_stage2,is_winner_trial,val_objective,overfit_gap_ba
1,stage1_coarse,caregiver_1_3,caregiver,adhd,full_eligible,rf_baseline,20260712,none,default_0_5,0.5,59,yes,no,0.7101019503188867,0.1622202623746004
2,stage1_coarse,caregiver_1_3,caregiver,adhd,full_eligible,rf_balanced_subsample,20260712,none,default_0_5,0.5,59,no,no,0.717848546784189,0.1331716459045309
3,stage1_coarse,caregiver_1_3,caregiver,adhd,full_eligible,rf_precision_push,20260712,none,default_0_5,0.5,59,no,no,0.7299412171806148,0.1170763973101091
4,stage1_coarse,caregiver_1_3,caregiver,adhd,full_eligible,rf_recall_guard,20260712,none,default_0_5,0.5,59,no,no,0.7061432241864312,0.16481093594972995
5,stage1_coarse,caregiver_1_3,caregiver,adhd,full_eligible,rf_regularized,20260712,none,default_0_5,0.5,59,no,no,0.7495837511412671,0.03911733362731051
6,stage1_coarse,caregiver_1_3,caregiver,adhd,full_eligible,rf_positive_push_strong,20260712,none,default_0_5,0.5,59,no,no,0.7231308439932348,0.11693859552419794
7,stage1_coarse,caregiver_1_3,caregiver,adhd,top_importance_filtered,rf_baseline,20260712,none,default_0_5,0.5,41,no,no,0.6880025156817771,0.1807683827582406
8,stage1_coarse,caregiver_1_3,caregiver,adhd,top_importance_filtered,rf_balanced_subsample,20260712,none,default_0_5,0.5,41,no,no,0.7236445516897436,0.11894131481277337
9,stage1_coarse,caregiver_1_3,caregiver,adhd,top_importance_filtered,rf_precision_push,20260712,none,default_0_5,0.5,41,no,no,0.7336658047709079,0.1126208062323154
10,stage1_coarse,caregiver_1_3,caregiver,adhd,top_importance_filtered,rf_recall_guard,20260712,none,default_0_5,0.5,41,no,no,0.7052563736722546,0.16437915702054162
11,stage1_coarse,caregiver_1_3,caregiver,adhd,top_importance_filtered,rf_regularized,20260712,none,default_0_5,0.5,41,no,no,0.7519844003995092,0.03566310219380453
12,stage1_coarse,caregiver_1_3,caregiver,adhd,top_importance_filtered,rf_positive_push_strong,20260712,none,default_0_5,0.5,41,no,no,0.7276077335735985,0.12096240767280342
13,stage1_coarse,caregiver_1_3,caregiver,adhd,compact_robust_subset,rf_baseline,20260712,none,default_0_5,0.5,27,no,no,0.6917919536183206,0.17803990739719988
14,stage1_coarse,caregiver_1_3,caregiver,adhd,compact_robust_subset,rf_balanced_subsample,20260712,none,default_0_5,0.5,27,no,no,0.7233986323404997,0.11462352552089072
15,stage1_coarse,caregiver_1_3,caregiver,adhd,compact_robust_subset,rf_precision_push,20260712,none,default_0_5,0.5,27,no,no,0.7287565690675036,0.11041597765773714
