mode,domain,base_threshold,trial_threshold,delta_threshold,precision,recall,specificity,balanced_accuracy,f1,delta_precision,delta_recall,delta_balanced_accuracy,delta_f1,floor_ok,objective
caregiver,adhd,0.605,0.45499999999999996,-0.15,0.9183673469387755,0.8385093167701864,0.904,0.8712546583850932,0.8766233766233766,0.0,0.0,0.0,0.0,yes,1.3404205856255547
caregiver,adhd,0.605,0.505,-0.1,0.9183673469387755,0.8385093167701864,0.904,0.8712546583850932,0.8766233766233766,0.0,0.0,0.0,0.0,yes,1.3404205856255547
caregiver,adhd,0.605,0.525,-0.08,0.9183673469387755,0.8385093167701864,0.904,0.8712546583850932,0.8766233766233766,0.0,0.0,0.0,0.0,yes,1.3404205856255547
caregiver,adhd,0.605,0.5449999999999999,-0.06,0.9183673469387755,0.8385093167701864,0.904,0.8712546583850932,0.8766233766233766,0.0,0.0,0.0,0.0,yes,1.3404205856255547
caregiver,adhd,0.605,0.565,-0.04,0.9183673469387755,0.8385093167701864,0.904,0.8712546583850932,0.8766233766233766,0.0,0.0,0.0,0.0,yes,1.3404205856255547
caregiver,adhd,0.605,0.585,-0.02,0.9183673469387755,0.8385093167701864,0.904,0.8712546583850932,0.8766233766233766,0.0,0.0,0.0,0.0,yes,1.3404205856255547
caregiver,adhd,0.605,0.605,0.0,0.9183673469387755,0.8385093167701864,0.904,0.8712546583850932,0.8766233766233766,0.0,0.0,0.0,0.0,yes,1.3404205856255547
caregiver,adhd,0.605,0.625,0.02,0.9183673469387755,0.8385093167701864,0.904,0.8712546583850932,0.8766233766233766,0.0,0.0,0.0,0.0,yes,1.3404205856255547
caregiver,adhd,0.605,0.645,0.04,0.9183673469387755,0.8385093167701864,0.904,0.8712546583850932,0.8766233766233766,0.0,0.0,0.0,0.0,yes,1.3404205856255547
caregiver,adhd,0.605,0.665,0.06,0.9183673469387755,0.8385093167701864,0.904,0.8712546583850932,0.8766233766233766,0.0,0.0,0.0,0.0,yes,1.3404205856255547
psychologist,adhd,0.605,0.45499999999999996,-0.15,0.9178082191780822,0.8322981366459627,0.904,0.8681490683229813,0.8729641693811075,-0.006329711856400522,0.0,-0.0040000000000000036,-0.002852824082944738,yes,1.3344640517314728
psychologist,adhd,0.605,0.505,-0.1,0.9241379310344827,0.8322981366459627,0.912,0.8721490683229813,0.8758169934640523,0.0,0.0,0.0,0.0,yes,1.3390970229171129
psychologist,adhd,0.605,0.525,-0.08,0.9241379310344827,0.8322981366459627,0.912,0.8721490683229813,0.8758169934640523,0.0,0.0,0.0,0.0,yes,1.3390970229171129
psychologist,adhd,0.605,0.5449999999999999,-0.06,0.9241379310344827,0.8322981366459627,0.912,0.8721490683229813,0.8758169934640523,0.0,0.0,0.0,0.0,yes,1.3390970229171129
psychologist,adhd,0.605,0.565,-0.04,0.9241379310344827,0.8322981366459627,0.912,0.8721490683229813,0.8758169934640523,0.0,0.0,0.0,0.0,yes,1.3390970229171129
psychologist,adhd,0.605,0.585,-0.02,0.9241379310344827,0.8322981366459627,0.912,0.8721490683229813,0.8758169934640523,0.0,0.0,0.0,0.0,yes,1.3390970229171129
psychologist,adhd,0.605,0.605,0.0,0.9241379310344827,0.8322981366459627,0.912,0.8721490683229813,0.8758169934640523,0.0,0.0,0.0,0.0,yes,1.3390970229171129
psychologist,adhd,0.605,0.625,0.02,0.9241379310344827,0.8322981366459627,0.912,0.8721490683229813,0.8758169934640523,0.0,0.0,0.0,0.0,yes,1.3390970229171129
psychologist,adhd,0.605,0.645,0.04,0.9241379310344827,0.8322981366459627,0.912,0.8721490683229813,0.8758169934640523,0.0,0.0,0.0,0.0,yes,1.3390970229171129
psychologist,adhd,0.605,0.665,0.06,0.9241379310344827,0.8322981366459627,0.912,0.8721490683229813,0.8758169934640523,0.0,0.0,0.0,0.0,yes,1.3390970229171129
caregiver,depression,0.12,0.01,-0.15,0.5778894472361809,1.0,0.5087719298245614,0.7543859649122807,0.732484076433121,-0.29711055276381915,0.08695652173913049,-0.15827612509534694,-0.16113294484347473,no,1.2832804372740898
caregiver,depression,0.12,0.01999999999999999,-0.1,0.5808080808080808,1.0,0.5146198830409356,0.7573099415204678,0.7348242811501597,-0.2941919191919192,0.08695652173913049,-0.15535214848715984,-0.15879274012643596,no,1.2863503455608718
caregiver,depression,0.12,0.039999999999999994,-0.08,0.7902097902097902,0.9826086956521739,0.8245614035087719,0.9035850495804729,0.875968992248062,-0.08479020979020979,0.06956521739130439,-0.009077040427154737,-0.017648029028533685,no,1.4343998869170493
caregiver,depression,0.12,0.06,-0.06,0.7902097902097902,0.9826086956521739,0.8245614035087719,0.9035850495804729,0.875968992248062,-0.08479020979020979,0.06956521739130439,-0.009077040427154737,-0.017648029028533685,no,1.4343998869170493
caregiver,depression,0.12,0.07999999999999999,-0.04,0.7902097902097902,0.9826086956521739,0.8245614035087719,0.9035850495804729,0.875968992248062,-0.08479020979020979,0.06956521739130439,-0.009077040427154737,-0.017648029028533685,no,1.4343998869170493
caregiver,depression,0.12,0.09999999999999999,-0.02,0.875,0.9130434782608695,0.9122807017543859,0.9126620900076277,0.8936170212765957,0.0,0.0,0.0,0.0,yes,1.4129338291380624
caregiver,depression,0.12,0.12,0.0,0.875,0.9130434782608695,0.9122807017543859,0.9126620900076277,0.8936170212765957,0.0,0.0,0.0,0.0,yes,1.4129338291380624
caregiver,depression,0.12,0.13999999999999999,0.02,0.875,0.9130434782608695,0.9122807017543859,0.9126620900076277,0.8936170212765957,0.0,0.0,0.0,0.0,yes,1.4129338291380624
caregiver,depression,0.12,0.16,0.04,0.8739495798319328,0.9043478260869565,0.9122807017543859,0.9083142639206712,0.8888888888888888,-0.0010504201680672232,-0.008695652173912993,-0.004347826086956497,-0.004728132387706863,yes,1.4041856559557462
caregiver,depression,0.12,0.18,0.06,0.8739495798319328,0.9043478260869565,0.9122807017543859,0.9083142639206712,0.8888888888888888,-0.0010504201680672232,-0.008695652173912993,-0.004347826086956497,-0.004728132387706863,yes,1.4041856559557462
psychologist,depression,0.12,0.01,-0.15,0.5927835051546392,1.0,0.5380116959064327,0.7690058479532164,0.7443365695792881,-0.2792164948453608,0.05217391304347829,-0.1581235697940503,-0.16399676375404526,no,1.2079233737264121
psychologist,depression,0.12,0.01999999999999999,-0.1,0.5927835051546392,1.0,0.5380116959064327,0.7690058479532164,0.7443365695792881,-0.2792164948453608,0.05217391304347829,-0.1581235697940503,-0.16399676375404526,no,1.2079233737264121
psychologist,depression,0.12,0.039999999999999994,-0.08,0.5927835051546392,1.0,0.5380116959064327,0.7690058479532164,0.7443365695792881,-0.2792164948453608,0.05217391304347829,-0.1581235697940503,-0.16399676375404526,no,1.2079233737264121
psychologist,depression,0.12,0.06,-0.06,0.8650793650793651,0.9478260869565217,0.9005847953216374,0.9242054411390795,0.9045643153526971,-0.006920634920634883,0.0,-0.0029239766081871066,-0.0037690179806362245,yes,1.385706476335767
psychologist,depression,0.12,0.07999999999999999,-0.04,0.872,0.9478260869565217,0.9064327485380117,0.9271294177472666,0.9083333333333333,0.0,0.0,0.0,0.0,yes,1.3896685481820492
psychologist,depression,0.12,0.09999999999999999,-0.02,0.872,0.9478260869565217,0.9064327485380117,0.9271294177472666,0.9083333333333333,0.0,0.0,0.0,0.0,yes,1.3896685481820492
psychologist,depression,0.12,0.12,0.0,0.872,0.9478260869565217,0.9064327485380117,0.9271294177472666,0.9083333333333333,0.0,0.0,0.0,0.0,yes,1.3896685481820492
psychologist,depression,0.12,0.13999999999999999,0.02,0.872,0.9478260869565217,0.9064327485380117,0.9271294177472666,0.9083333333333333,0.0,0.0,0.0,0.0,yes,1.3896685481820492
psychologist,depression,0.12,0.16,0.04,0.872,0.9478260869565217,0.9064327485380117,0.9271294177472666,0.9083333333333333,0.0,0.0,0.0,0.0,yes,1.3896685481820492
psychologist,depression,0.12,0.18,0.06,0.8709677419354839,0.9391304347826087,0.9064327485380117,0.9227815916603102,0.9037656903765691,-0.0010322580645161228,-0.008695652173912993,-0.004347826086956497,-0.004567642956764262,yes,1.3821224051245458
