domain,mode,old_active_model_id,promotion_decision,new_model_family,new_feature_set_id,delta_balanced_accuracy,delta_f1,delta_pr_auc,delta_brier,root_cause_hypothesis
adhd,psychologist_full,adhd__psychologist_full__rebuild_v2__rf__engineered_full,HOLD_FOR_LIMITATION,extra_trees,engineered_full,0.05749090508212984,0.03274132132632934,0.055627676329273235,-0.008456990521477043,secondary_metric_anomaly
anxiety,caregiver_2_3,anxiety__caregiver_2_3__final_honest_improvement_v1__rf__engineered_pruned,HOLD_FOR_LIMITATION,logreg,engineered_pruned_no_eng_v1,-0.03562153228662501,-0.0251854877135661,-0.027594875506536054,0.029975934029676896,secondary_metric_anomaly
anxiety,caregiver_full,anxiety__caregiver_full__final_honest_improvement_v1__rf__engineered_compact,HOLD_FOR_LIMITATION,logreg,full_eligible,-0.04323574548459452,-0.054945768656231686,-0.053985656363689016,0.027384119446623705,secondary_metric_anomaly
anxiety,psychologist_2_3,anxiety__psychologist_2_3__final_honest_improvement_v1__rf__engineered_pruned,HOLD_FOR_LIMITATION,logreg,engineered_pruned_no_eng_v1,-0.029276354621650347,-6.544288472232207e-05,-0.04067425715947459,0.026371772609976155,secondary_metric_anomaly
anxiety,psychologist_full,anxiety__psychologist_full__final_honest_improvement_v1__rf__engineered_pruned,HOLD_FOR_LIMITATION,hgb,full_eligible,0.025793885019478213,0.03405488633275977,0.012659092716503006,-0.004829462693254495,secondary_metric_anomaly
depression,caregiver_1_3,depression__caregiver_1_3__rebuild_v2__rf__precision_oriented_subset,HOLD_FOR_LIMITATION,rf,precision_oriented_subset,0.09287290109081991,0.032743542810656945,0.04244951789941209,6.794033051083642e-05,limited_separability_or_underfit|recall_tradeoff
depression,caregiver_2_3,depression__caregiver_2_3__rebuild_v2__rf__full_eligible,PROMOTE_NOW,rf,precision_oriented_subset,0.0216938350288024,-0.00020544427324087344,0.07509088309564538,-0.0014748973893349906,confidence_alignment_check
depression,caregiver_full,depression__caregiver_full__boosted_v3__catboost__full_eligible,HOLD_FOR_LIMITATION,rf,precision_oriented_subset,-0.018473186970387023,-0.019473241804427,-0.01712810295672984,0.010475085579908821,secondary_metric_anomaly
depression,psychologist_1_3,depression__psychologist_1_3__rebuild_v2__rf__stability_pruned_subset,HOLD_FOR_LIMITATION,rf,stability_pruned_subset,0.04590023287167544,0.015205511998099275,0.06253796044279347,0.0032295767929405306,limited_separability_or_underfit|precision_tradeoff
depression,psychologist_full,depression__psychologist_full__boosted_v3__hgb__full_eligible,HOLD_FOR_LIMITATION,hgb,full_eligible,-0.007184150054032612,-0.012345679012345734,-0.022910874102065937,0.011016823918560858,secondary_metric_anomaly
elimination,caregiver_1_3,elimination__caregiver_1_3__boosted_v3__extra_trees__boosted_eng_full,HOLD_FOR_LIMITATION,logreg,boosted_eng_full,-0.006085722963128148,-0.04532967032967028,-0.044580394191690575,0.01810575640018732,secondary_metric_anomaly
elimination,caregiver_2_3,elimination__caregiver_2_3__final_honest_improvement_v1__rf__engineered_compact,HOLD_FOR_LIMITATION,hgb,engineered_compact_no_eng_v1,0.00116822429906549,0.009169458649268103,0.056069857417926694,-0.0034492059141288597,secondary_metric_anomaly
elimination,caregiver_full,elimination__caregiver_full__final_honest_improvement_v1__rf__engineered_compact,HOLD_FOR_LIMITATION,rf,engineered_compact_no_eng_v1,0.0,-1.1102230246251565e-16,0.056285207754757205,-0.0019914784457666177,secondary_metric_anomaly
elimination,psychologist_1_3,elimination__psychologist_1_3__boosted_v3__extra_trees__boosted_eng_full,HOLD_FOR_LIMITATION,logreg,boosted_eng_full,-0.027647494524899563,-0.08377896613190738,-0.0561502964270425,0.019733539091716535,secondary_metric_anomaly
elimination,psychologist_2_3,elimination__psychologist_2_3__final_honest_improvement_v1__rf__engineered_pruned,HOLD_FOR_LIMITATION,hgb,engineered_pruned_no_eng_v1,0.0,-1.1102230246251565e-16,0.03061513581958808,-0.0032294491038081926,secondary_metric_anomaly
elimination,psychologist_full,elimination__psychologist_full__final_honest_improvement_v1__rf__engineered_compact,HOLD_FOR_LIMITATION,rf,engineered_compact_no_shortcut_v1,0.0,-1.1102230246251565e-16,0.006749197651682914,-0.0018452539408034879,secondary_metric_anomaly
