mode,domain,target_variant,family,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,available
caregiver,adhd,baseline,catboost,0.9560706967213116,0.7422360248447205,0.956,0.8491180124223602,0.835572890557179,0.9502981366459629,0.9535168707846696,0.0872304626644144,yes
caregiver,adhd,baseline,lightgbm,0.9538461587051102,0.7829968944099379,0.9505,0.8667484472049689,0.8594299280045777,0.9423198757763976,0.9410730668897171,0.090510662097576,yes
caregiver,adhd,baseline,rf,0.9479545873014816,0.8198757763975155,0.942,0.8809378881987577,0.8792622206471904,0.9497950310559008,0.9516252641200214,0.0838385888986835,yes
caregiver,adhd,baseline,xgboost,0.9579450418160096,0.7701863354037266,0.956,0.8630931677018634,0.8534850640113798,0.9443229813664598,0.945546057373949,0.0912663154304027,yes
caregiver,conduct,baseline,catboost,0.9583252942311402,0.8625,0.9854368932038836,0.9239684466019418,0.9078474656970956,0.9771086165048544,0.9517138475272016,0.0389509375707496,yes
caregiver,conduct,baseline,lightgbm,0.968048326189018,0.8500000000000001,0.9890776699029128,0.9195388349514564,0.9051149349327808,0.9756978155339806,0.9292450446558777,0.0443366560127709,yes
caregiver,conduct,baseline,rf,0.9719287949921752,0.8656250000000001,0.9902912621359224,0.9279581310679612,0.9156936214708956,0.9769796723300972,0.9454487473197978,0.0406914267710174,yes
caregiver,conduct,baseline,xgboost,0.9718137254901962,0.8500000000000001,0.9902912621359224,0.9201456310679612,0.9066500711237552,0.982251213592233,0.9455348704244118,0.0400354396551847,yes
caregiver,elimination,elimination_any_baseline,catboost,0.9330357142857144,0.5621118012422359,0.948,0.7550559006211179,0.7015459038805343,0.8795031055900622,0.8917033561153661,0.1393892564782092,yes
caregiver,elimination,elimination_any_baseline,lightgbm,0.9361048875611984,0.639751552795031,0.944,0.7918757763975155,0.7593198168737737,0.8681242236024844,0.8813695842693255,0.1411011112672969,yes
caregiver,elimination,elimination_any_baseline,rf,0.922346950869875,0.6338854382332644,0.9306666666666668,0.7822760524499655,0.7507057773123031,0.86791994478951,0.8731123934141846,0.1480446479689332,yes
caregiver,elimination,elimination_any_baseline,xgboost,0.9401573485102108,0.639751552795031,0.948,0.7938757763975155,0.7607482769937643,0.8721490683229813,0.888156456917954,0.1402753517031669,yes
caregiver,elimination,elimination_union_internal,catboost,0.9330357142857144,0.5621118012422359,0.948,0.7550559006211179,0.7015459038805343,0.8795031055900622,0.8917033561153661,0.1393892564782092,yes
caregiver,elimination,elimination_union_internal,lightgbm,0.9361048875611984,0.639751552795031,0.944,0.7918757763975155,0.7593198168737737,0.8681242236024844,0.8813695842693255,0.1411011112672969,yes
caregiver,elimination,elimination_union_internal,rf,0.922346950869875,0.6338854382332644,0.9306666666666668,0.7822760524499655,0.7507057773123031,0.86791994478951,0.8731123934141846,0.1480446479689332,yes
caregiver,elimination,elimination_union_internal,xgboost,0.9401573485102108,0.639751552795031,0.948,0.7938757763975155,0.7607482769937643,0.8721490683229813,0.888156456917954,0.1402753517031669,yes
caregiver,elimination,elimination_overlap_strict,catboost,0.8322714240203887,0.5053191489361702,0.9453125,0.7253158244680851,0.6186896280431837,0.8613973847517731,0.7544347375543077,0.1408902363937465,yes
caregiver,elimination,elimination_overlap_strict,lightgbm,0.770476545048399,0.601063829787234,0.9114583333333334,0.7562610815602837,0.6743737957610789,0.8391650044326242,0.7319915533697179,0.1423182784915365,yes
caregiver,elimination,elimination_overlap_strict,rf,0.7582630609192539,0.549645390070922,0.9137731481481484,0.731709269109535,0.636687318015304,0.852202767927502,0.7357827918292749,0.1448869103848151,yes
caregiver,elimination,elimination_overlap_strict,xgboost,0.7506944444444444,0.6063829787234043,0.9010416666666669,0.7537123226950355,0.6704057609749342,0.8503435283687943,0.7478400122439726,0.1385771408677101,yes
caregiver,elimination,elimination_clear_cases,catboost,0.9330357142857144,0.5621118012422359,0.948,0.7550559006211179,0.7015459038805343,0.8795031055900622,0.8917033561153661,0.1393892564782092,yes
caregiver,elimination,elimination_clear_cases,lightgbm,0.9361048875611984,0.639751552795031,0.944,0.7918757763975155,0.7593198168737737,0.8681242236024844,0.8813695842693255,0.1411011112672969,yes
caregiver,elimination,elimination_clear_cases,rf,0.922346950869875,0.6338854382332644,0.9306666666666668,0.7822760524499655,0.7507057773123031,0.86791994478951,0.8731123934141846,0.1480446479689333,yes
caregiver,elimination,elimination_clear_cases,xgboost,0.9401573485102108,0.639751552795031,0.948,0.7938757763975155,0.7607482769937643,0.8721490683229813,0.888156456917954,0.1402753517031669,yes
caregiver,anxiety,baseline,catboost,0.8273026315789473,0.9772727272727272,0.9386363636363636,0.9579545454545454,0.8959097048041675,0.9857610192837464,0.9714302173155992,0.0242577583332738,yes
caregiver,anxiety,baseline,lightgbm,0.8635893755629781,0.9668560606060608,0.9519886363636364,0.9594223484848484,0.9102800827726224,0.9862538739669422,0.9678629977782628,0.0267628227724105,yes
caregiver,anxiety,baseline,rf,0.8456990122652773,0.981060606060606,0.9454545454545455,0.9632575757575758,0.9079008656154164,0.9854166666666666,0.9575831209501176,0.0247266142633254,yes
caregiver,anxiety,baseline,xgboost,0.8076200907526209,0.9772727272727272,0.9295454545454546,0.9534090909090908,0.8840756558877364,0.987534435261708,0.96474773400376,0.025602581910789,yes
caregiver,depression,baseline,catboost,0.9645207884898608,0.8130434782608695,0.97953216374269,0.8962878210017798,0.8820051802655738,0.9784324942791762,0.9617105124025842,0.0627223022010922,yes
caregiver,depression,baseline,lightgbm,0.936966680211296,0.808695652173913,0.9619883040935672,0.8853419781337402,0.866888627758193,0.9724383422323926,0.9475351939331484,0.0661444154191346,yes
caregiver,depression,baseline,rf,0.957061266874351,0.817391304347826,0.9736842105263156,0.8955377574370709,0.8800922874093606,0.9757945588609204,0.9583070306309356,0.0573762816348855,yes
caregiver,depression,baseline,xgboost,0.926646593014846,0.8375,0.9550438596491228,0.8962719298245614,0.8792850319048561,0.9711591024663108,0.9478124276469216,0.0687270648777484,yes
psychologist,adhd,baseline,catboost,0.96,0.7453416149068323,0.96,0.8526708074534162,0.8391608391608392,0.9496521739130436,0.954353091691272,0.0877176440989617,yes
